sector,Name,symbol,code,year,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
Academic & Education,Global Education Communities,GEC,A&E 01,2013,0.63,0.61,0.2,-0.1,0.63,-0.1244,-0.0595,0.7228,-0.0373,-0.032,0.6541,0.3459,1.8909,44.83,0.97,-18.46,-0.06,33.57,4.63,0.72,-4.52,"-1,507.171",-13.7,-6.2,-4.0,0.9,0.9,-5.9,1.1,0.0,-3.1,0,0
Academic & Education,Global Education Communities,GEC,A&E 01,2014,0.78,0.76,0.16,-0.25,0.78,0.2191,0.1669,0.7415,0.1274,-0.028,0.4352,0.5648,0.7705,-131.62,1.65,-15.33,-0.24,31.24,4.22,0.74,-8.18,"-1,183.601",-82.4,-9.0,-2.6,0.7,0.5,-14.3,1.0,0.0,-0.9,6,0
Academic & Education,Global Education Communities,GEC,A&E 01,2015,0.27,0.26,0.05,0.08,0.27,0.0288,0.0323,0.3989,0.0744,0.016,0.5522,0.4478,1.233,-71.82,4.54,64.40,0.07,27.31,4.03,0.4,-1.02,691.627,-40.0,-22.7,16.6,1.0,1.9,-18.7,1.1,0.0,-0.7,4,0
Academic & Education,Global Education Communities,GEC,A&E 01,2016,0.76,0.73,0.27,-0.04,0.76,0.0711,0.1082,0.3529,0.09,0.057,0.4632,0.5368,0.8629,-79.23,0.04,-89.90,-0.01,46.20,5.31,0.35,-9.04,-527.312,33.8,54.3,84.6,1.1,2.4,6.4,1.5,0.0,2.9,4,1
Academic & Education,Global Education Communities,GEC,A&E 01,2017,0.32,0.31,0.12,0.18,0.32,0.031,0.0446,0.3209,0.0496,0.033,0.5388,0.4612,1.1685,-111.70,1.09,19.86,0.12,41.31,5.78,0.32,-1.32,"4,528.612",84.0,162.1,28.4,1.2,3.4,30.6,1.8,0.0,1.9,4,1
Academic & Education,Global Education Communities,GEC,A&E 01,2018,0.75,0.74,0.45,0.27,0.75,0.1162,0.2662,0.2198,0.1331,0.25,0.4964,0.5036,0.9856,-21.73,1.95,12.69,0.12,38.32,6.08,0.22,-4.02,"13,337",23.8,28.0,15.1,1.0,3.6,5.5,1.5,0.0,4.1,7,2
Academic & Education,Global Education Communities,GEC,A&E 01,2019,0.62,0.61,0.19,-0.12,0.62,0.0135,0.0368,0.1822,0.0383,0.034,0.5017,0.4983,1.007,-3.38,0.74,32.62,-0.05,43.03,5.71,0.18,-2.28,"5,994",51.0,88.4,63.7,0.9,3.9,4.5,0.9,0.0,3.8,1,2
Academic & Education,Global Education Communities,GEC,A&E 01,2020,0.34,0.34,0.14,0.05,0.34,0.0068,0.0196,0.1381,-0.0105,0.017,0.6012,0.3988,1.5073,-0.22,0.69,46.86,0.03,39.08,4.35,0.14,-0.59,"5,809",41.3,71.9,-26.1,0.9,5.5,7.1,0.8,0.0,2.4,3,1
Academic & Education,Global Education Communities,GEC,A&E 01,2021,0.34,0.34,0.09,0.08,0.34,0.0231,0.0773,0.1173,0.01,0.066,0.6078,0.3922,1.5495,-1.60,1.16,87.92,0.05,30.13,5.15,0.12,-0.45,"3,588",66.4,137.8,-49.0,0.9,7.1,19.5,0.8,0.0,2.2,6,1
Academic & Education,Global Education Communities,GEC,A&E 01,2022,0.15,0.15,0.04,0.03,0.15,-0.0946,-0.2094,0.1533,-0.1167,-0.22,0.6608,0.3392,1.9484,3.89,0.40,-17.62,0.02,42.28,8.21,0.15,-0.38,"-17,913",62.3,89.4,48.1,1.0,6.7,-22.1,0.9,0.0,0.6,4,0
Basic Material,Agnico Eagle Mines,AEM,BM 01,2013,3.79,2.15,0.66,2.29,3.79,-0.2527,-0.4191,0.3577,-0.1499,-4.22,0.4067,0.5933,0.6855,14.42,2.62,3.07,0.26,2.50,24.34,0.36,2.79,644.544,8.8,17.2,-22.3,1.2,3.2,25.9,1.3,0.4674,4.8,3,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2014,2.73,1.39,0.53,2.01,2.73,0.0204,0.0437,0.2786,0.0122,0.49,0.4025,0.5975,0.6737,-3.97,0.82,3.78,0.24,2.24,31.76,0.28,3.29,840.003,9.1,-41.2,24.7,1.2,3.5,-7.9,1.3,0.3706,5.3,5,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2015,2.66,1.18,0.4,1.98,2.66,0.0059,0.0124,0.2971,0.0037,0.16,0.3804,0.6196,0.6139,-2.23,0.78,3.32,0.24,2.14,257.38,0.3,3.83,"1,062.305",9.1,45.7,31.9,1.2,3.3,303.4,1.4,0.444,5.3,6,2
Basic Material,Agnico Eagle Mines,AEM,BM 01,2016,2.9,1.86,1.27,1.84,2.9,0.0354,0.0743,0.3008,0.0223,0.95,0.368,0.632,0.5822,-5.10,1.61,2.76,0.3,2.31,261.24,0.3,2.65,"1,274.002",11.2,36.8,21.1,1.7,4.7,117.0,2.1,0.5371,5.9,8,2
