Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Alamos Gold Inc,2.56,1.82,1.25,0.55,2.56,-0.0989,-0.7766,0.0924,-0.0718,-0.7500,0.2739,0.7261,0.3773,88.88,9.25,-17.14,0.09,1.41,224.95,0.09,1.28,-41.812,97.0x,-16.8x,3.1x,0.5x,3.9x,-4.4x,0.5x,,5.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Alamos Gold Inc,3.54,2.13,1.71,1.49,3.54,-0.1040,-0.5883,0.1263,-0.0743,-1.5600,0.2851,0.7149,0.3988,9.56,0.28,6.85,0.12,2.46,165.73,0.13,2.18,109.901,24.4x,-10.6x,-6.3x,0.5x,3.9x,-4.9x,0.5x,,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Alamos Gold Inc,4.84,3.57,2.83,0.60,4.84,-0.2952,-1.4331,0.1442,-0.2067,-3.6400,0.2997,0.7003,0.4280,23.08,1.95,8.82,0.08,1.88,198.33,0.14,0.93,116.132,10.1x,-3.8x,-19.7x,0.4x,2.7x,-1.5x,0.5x,0,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Alamos Gold Inc,4.56,3.24,2.53,1.36,4.56,-0.0102,-0.0371,0.1935,-0.0072,-0.0910,0.2940,0.7060,0.4165,-0.65,4.29,5.22,0.19,2.35,219.20,0.19,1.36,188.398,14.0x,105.8x,-212.1x,0.9x,4.0x,-31.9x,1.0x,0.02686,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Alamos Gold Inc,4.00,2.58,1.77,1.44,4.00,0.0099,0.0490,0.1635,0.0080,0.1100,0.1925,0.8075,0.2384,-4.36,0.48,3.52,0.26,2.05,169.63,0.16,1.60,228.306,15.0x,55.9x,-51.8x,1.2x,4.6x,236.9x,1.2x,0.02514,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Alamos Gold Inc,2.93,2.10,1.56,1.62,2.93,-0.0279,-0.1114,0.1992,-0.0222,-0.2500,0.2047,0.7953,0.2574,11.80,30.13,4.65,0.32,4.28,283.43,0.20,2.56,196.557,5.6x,26.1x,34.6x,0.4x,1.8x,-242.6x,0.5x,0.0273,6.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Alamos Gold Inc,3.10,2.10,1.44,2.05,3.10,0.0357,0.1407,0.2011,0.0283,0.3200,0.2064,0.7936,0.2602,-52.56,44.90,2.42,0.37,2.80,247.70,0.20,2.56,376.432,11.0x,65.0x,-47.2x,0.8x,3.3x,-176.0x,0.9x,0.05194,7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Alamos Gold Inc,3.22,2.21,1.50,2.51,3.22,0.0506,0.1928,0.2057,0.0397,0.4700,0.2159,0.7841,0.2753,-51.75,76.76,2.02,0.47,2.16,283.30,0.21,2.29,493.572,9.3x,16.5x,-103.1x,1.1x,4.5x,32.6x,1.2x,0.1018,7.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Alamos Gold Inc,2.92,1.65,1.10,2.26,2.92,-0.0244,-0.0810,0.2274,-0.0184,-0.2100,0.2446,0.7554,0.3238,-1.51,75.85,2.16,0.40,1.82,300.09,0.23,2.73,518.584,6.3x,10.3x,-206.2x,1.0x,3.3x,-156.3x,1.1x,0.1265,6.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Alamos Gold Inc,2.42,1.14,0.71,1.64,2.42,0.0136,0.0452,0.2235,0.0101,0.1300,0.2594,0.7406,0.3503,-18.96,49.51,2.97,0.31,1.86,325.56,0.22,3.17,434.889,15.6x,33.5x,-118.1x,1.8x,6.1x,139.4x,1.9x,0.1354,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
