Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Allkem Ltd,2.36,1.61,0.99,-0.11,2.36,0.5194,5.4200,0.0823,0.4456,0.8200,0.1409,0.8591,0.1641,132.40,4.87,-2.73,-0.04,2.13,4.05,0.08,1.22,-10.664,-12.7x,-12.6x,-3.6x,0.6x,9.0x,1.5x,0.8x,,11,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Allkem Ltd,3.69,3.18,2.45,0.01,3.69,-0.0342,-0.2356,0.1237,-0.0297,-0.0430,0.1477,0.8523,0.1733,-49.83,0.30,-3.77,0.00,3.80,3.95,0.12,0.80,-7.37,-29.3x,-27.0x,-22.0x,1.7x,11.9x,-60.0x,1.9x,,11.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Allkem Ltd,1.37,0.87,0.43,-0.46,1.37,-0.0052,-0.0435,0.1001,-0.0045,-0.0076,0.1586,0.8414,0.1885,0.68,4.55,-3.21,-0.25,2.24,3.86,0.10,3.08,-11.95,-28.1x,-24.9x,-31.5x,1.5x,14.4x,-206.4x,1.5x,,10,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Allkem Ltd,3.93,3.42,2.82,-0.46,3.93,-0.1156,-1.4100,0.0719,-0.1016,-0.1500,0.1223,0.8777,0.1394,-16.59,11.07,-2.46,-0.22,2.24,2.29,0.07,0.42,-13.926,-72.5x,-62.5x,-53.6x,3.9x,42.9x,-34.2x,3.9x,,12.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Allkem Ltd,8.64,8.03,4.87,-0.61,8.64,0.0892,1.1302,0.0716,0.0809,0.0290,0.0921,0.9079,0.1015,1.02,3.76,-2.06,-0.29,2.70,3.36,0.07,0.21,-13.909,NA,NA,-29.2x,2.3x,NA,NA,2.6x,,16.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Allkem Ltd,42.57,41.83,35.89,-1.58,42.57,0.0038,0.1105,0.0332,0.0037,0.0110,0.0396,0.9604,0.0413,-0.44,5.68,-1.66,-0.67,1.95,0.36,0.03,0.05,-16.451,NA,NA,-31.1x,1.9x,NA,NA,2.0x,,33.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Allkem Ltd,3.27,2.86,2.52,0.08,3.27,0.0743,0.6730,0.0729,0.0490,0.2700,0.3399,0.6601,0.5150,10.26,1.18,30.27,0.02,0.96,16.41,0.07,0.32,16.368,137.2x,-80.3x,-10.1x,0.3x,4.7x,14.3x,0.8x,,7.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Allkem Ltd,2.15,1.86,1.63,-0.10,2.15,-0.0753,-0.6745,0.0673,-0.0586,-0.2700,0.3972,0.6028,0.6590,5.39,0.15,-22.75,-0.02,2.37,69.95,0.07,0.64,-27.152,-342.7x,-31.1x,-6.1x,0.6x,5.6x,-24.3x,0.7x,,5.5,0,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Allkem Ltd,4.33,3.74,3.38,-0.24,4.33,-0.0822,-0.7035,0.0628,-0.0663,-0.2200,0.4624,0.5376,0.8600,0.43,0.37,28.84,-0.03,0.83,12.91,0.06,0.33,26.81,"3,388.9x",-102.6x,-15.2x,1.7x,23.7x,-28.9x,2.5x,,5.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Allkem Ltd,3.74,3.40,2.98,1.98,3.74,0.0992,0.3971,0.1713,0.0751,0.6600,0.3141,0.6859,0.4580,-45.02,8.35,2.86,0.31,2.16,17.53,0.17,1.26,636.178,15.1x,17.9x,49.3x,1.3x,9.2x,32.3x,1.5x,,7.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
