Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,B2Gold Corp,3.79,3.02,2.56,1.50,3.79,0.0403,0.1237,0.2356,0.0291,0.1100,0.2764,0.7236,0.3819,-16.56,1.79,3.00,0.23,3.68,20.72,0.24,1.97,226.419,6.7x,11.5x,-8.9x,0.7x,2.6x,26.6x,0.9x,,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,B2Gold Corp,3.10,1.96,1.56,1.38,3.10,-0.4361,-1.3671,0.2297,-0.3145,-1.0400,0.2800,0.7200,0.3889,130.95,4.18,4.58,0.20,2.92,33.69,0.23,2.74,150.155,9.3x,27.1x,-10.3x,0.8x,3.3x,-5.3x,0.8x,,4.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2015,B2Gold Corp,2.06,1.19,0.86,1.77,2.06,-0.1142,-0.2708,0.2735,-0.0717,-0.2300,0.3516,0.6484,0.5423,12.55,1.04,4.84,0.25,3.73,48.01,0.27,5.29,204.147,9.6x,-2.5x,25.7x,0.7x,2.2x,-2.4x,0.7x,,4.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,B2Gold Corp,1.57,0.98,0.82,2.34,1.57,0.0269,0.0573,0.2925,0.0165,0.0560,0.3774,0.6226,0.6061,-7.73,2.83,2.70,0.47,2.87,63.72,0.29,6.76,437.963,9.3x,119.4x,-34.2x,1.4x,4.0x,-26.3x,1.6x,,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,B2Gold Corp,0.80,0.38,0.30,0.31,0.80,0.0363,0.0890,0.2379,0.0229,0.0730,0.4166,0.5834,0.7142,-6.34,5.22,4.41,0.14,1.59,43.74,0.24,-6.47,319.154,12.9x,33.9x,-18.6x,1.6x,5.5x,91.1x,2.0x,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,B2Gold Corp,1.75,0.62,0.50,2.18,1.75,0.0175,0.0275,0.4127,0.0177,0.1600,0.3513,0.6487,0.5415,-9.72,0.87,1.61,0.50,1.81,#DIV/0!,0.41,6.75,758.959,6.1x,11.5x,18.7x,1.4x,3.3x,18.6x,1.8x,,5.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,B2Gold Corp,2.60,1.28,0.85,2.98,2.60,0.1430,0.2539,0.4307,0.1177,0.3700,0.2353,0.7647,0.3078,-19.17,1.94,1.01,0.78,2.08,#DIV/0!,0.43,4.37,811.916,7.9x,14.8x,46.1x,2.0x,4.0x,39.2x,2.3x,0.05194,7.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,B2Gold Corp,2.67,1.83,1.68,3.32,2.67,0.2361,0.3511,0.5320,0.2000,0.7700,0.2087,0.7913,0.2638,-66.46,1.91,0.60,1.35,2.22,#DIV/0!,0.53,3.75,"1,497.402",5.4x,7.7x,9.7x,2.2x,3.4x,9.3x,2.4x,0.2036,10.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,B2Gold Corp,4.52,3.35,2.91,3.13,4.52,0.1419,0.2384,0.4948,0.1294,0.5000,0.1686,0.8314,0.2027,-83.41,17.45,0.55,1.21,2.26,#DIV/0!,0.49,2.16,"1,374.727",3.5x,5.0x,12.7x,1.3x,2.1x,9.2x,1.5x,0.2023,11.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,B2Gold Corp,4.43,3.01,2.79,2.55,4.43,0.0813,0.1460,0.4707,0.0779,0.3200,0.1547,0.8453,0.1830,471.96,23.55,0.62,1.05,2.24,#DIV/0!,0.47,2.16,"1,241.465",4.1x,7.1x,11.4x,1.2x,2.1x,17.3x,1.5x,0.2166,11.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
