Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canfor Corporation,1.71,0.64,0.20,1.11,1.71,0.1431,0.0716,1.1862,0.0930,1.6100,0.4069,0.5931,0.6861,-35.21,2.42,2.07,0.45,4.32,28.37,1.19,10.24,528.6,7.8x,12.4x,23.7x,2.3x,1.3x,16.9x,2.8x,,7.3,9,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canfor Corporation,2.12,0.90,0.37,0.91,2.12,0.1070,0.0523,1.1759,0.0779,1.2800,0.4248,0.5752,0.7384,-27.14,1.98,2.36,0.32,4.25,36.67,1.18,7.02,512.2,8.4x,13.0x,33.8x,2.3x,1.3x,23.2x,2.9x,,7.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canfor Corporation,1.56,0.64,0.15,0.40,1.56,0.0152,0.0063,1.1914,0.0279,0.1800,0.5059,0.4941,1.0241,-8.17,1.34,4.51,0.15,4.72,20.47,1.19,11.04,369.9,8.3x,17.0x,20.2x,1.6x,0.9x,51.0x,2.0x,,5.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canfor Corporation,1.96,0.87,0.31,1.16,1.96,0.0868,0.0356,1.2923,0.0622,1.1400,0.4695,0.5305,0.8850,-13.23,4.34,2.94,0.38,5.40,25.79,1.29,8.74,522.8,5.5x,11.1x,21.3x,1.2x,0.6x,17.7x,1.4x,,6.9,9,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canfor Corporation,2.32,1.11,0.55,1.17,2.32,0.1726,0.0757,1.3082,0.1128,2.6300,0.4264,0.5736,0.7433,-29.00,8.83,1.87,0.41,4.71,23.64,1.31,6.64,796.3,5.5x,8.8x,10.3x,1.6x,0.8x,12.7x,2.0x,,8.4,9,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canfor Corporation,2.63,1.15,0.49,1.05,2.63,0.1517,0.0704,1.3119,0.1142,2.7800,0.3915,0.6085,0.6433,-37.35,32.30,1.73,0.36,4.26,27.70,1.31,6.03,870.8,1.9x,2.5x,4.1x,0.8x,0.4x,3.9x,1.0x,,9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canfor Corporation,1.46,0.63,0.06,0.21,1.46,-0.1271,-0.0565,1.0290,-0.0596,-2.1000,0.5430,0.4570,1.1881,6.63,3.05,36.91,0.08,4.50,17.94,1.03,10.52,66.6,91.5x,-9.9x,-4.5x,0.9x,0.7x,-5.5x,0.9x,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canfor Corporation,2.11,1.12,0.49,1.27,2.11,0.2067,0.0998,1.0676,0.1096,4.3500,0.4845,0.5155,0.9398,-26.09,17.57,2.27,0.43,4.21,15.18,1.07,5.77,"1,091.1",6.4x,15.7x,6.5x,1.3x,0.8x,17.0x,1.5x,,8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canfor Corporation,2.92,1.84,1.25,1.77,2.92,0.3346,0.1746,1.2447,0.2363,10.7400,0.3506,0.6494,0.5400,-107.56,4.11,0.86,0.88,3.56,17.86,1.24,3.69,"2,531.3",1.2x,1.4x,1.9x,0.8x,0.4x,2.3x,1.1x,,12.1,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canfor Corporation,3.47,2.13,1.44,1.26,3.47,0.1653,0.1060,1.1020,0.1278,6.3900,0.2933,0.7067,0.4150,155.13,55.10,1.24,0.56,4.06,22.10,1.10,3.40,"1,590.1",1.5x,1.9x,5.5x,0.5x,0.3x,3.4x,0.6x,,11.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
