Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Capstone Mining Corp,1.98,0.98,0.73,0.69,1.98,-0.0083,-0.0329,0.1744,-0.0062,-0.0310,0.3123,0.6877,0.4541,-1.79,23.86,22.14,0.16,1.47,29.44,0.17,2.37,28.537,9.8x,22.0x,-37.7x,0.6x,3.2x,35.2x,1.0x,,6.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Capstone Mining Corp,1.66,1.12,0.93,1.19,1.66,-0.0166,-0.0322,0.3551,-0.0121,-0.0640,0.3087,0.6913,0.4465,-2.02,2.33,2.88,0.34,4.73,68.75,0.36,6.16,229.614,7.1x,21.1x,-42.7x,0.6x,1.5x,-63.5x,0.6x,,6.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Capstone Mining Corp,3.49,2.16,1.56,0.39,3.49,-0.2008,-0.4820,0.2684,-0.1605,-0.7400,0.3560,0.6440,0.5527,14.34,0.08,6.97,0.05,3.89,70.46,0.27,2.59,110.986,5.9x,-2.1x,20.3x,0.4x,1.1x,-0.6x,0.1x,,4.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Capstone Mining Corp,2.96,2.08,1.50,1.44,2.96,-0.1711,-0.2645,0.3795,-0.1415,-0.4900,0.4131,0.5869,0.7040,8.48,3.11,4.99,0.22,4.38,19.93,0.38,3.09,155.145,6.9x,835.4x,61.3x,0.6x,1.6x,-10.7x,0.4x,,4.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Capstone Mining Corp,4.17,2.67,1.94,1.88,4.17,0.0622,0.1283,0.3074,0.0393,0.1500,0.3659,0.6341,0.5771,-4.71,1.59,4.22,0.22,3.01,33.47,0.31,2.27,152.561,9.7x,-4.8x,15.3x,0.7x,1.6x,-3.9x,0.6x,,6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Capstone Mining Corp,2.01,1.36,0.29,1.27,2.01,-0.0266,-0.0545,0.3113,-0.0176,0.0290,0.3621,0.6379,0.5676,-3.36,1.81,3.90,0.27,4.09,48.79,0.31,4.01,169.3,2.7x,5.8x,18.1x,0.4x,1.0x,2.9x,0.2x,,5.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Capstone Mining Corp,2.23,1.36,0.72,1.68,2.23,-0.0184,-0.0383,0.3145,-0.0122,0.0370,0.3455,0.6545,0.5279,-0.74,1.76,5.69,0.20,6.20,20.65,0.31,6.16,104.991,5.3x,16.9x,9.9x,0.5x,1.3x,-13.4x,0.3x,,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Capstone Mining Corp,1.68,1.06,0.60,1.57,1.68,0.0141,0.0277,0.3261,0.0089,0.0410,0.3610,0.6390,0.5650,-2.69,1.69,5.19,0.29,5.00,24.47,0.33,7.09,123.13,14.4x,"4,987.7x",-184.5x,1.0x,2.5x,-461.3x,1.0x,,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Capstone Mining Corp,1.57,1.30,1.14,2.40,1.57,0.2232,0.2854,0.4599,0.1463,0.7100,0.4118,0.5882,0.7000,-18.79,2.32,1.64,0.78,5.45,32.20,0.46,6.05,549.164,4.3x,5.0x,5.7x,1.6x,2.2x,8.6x,1.9x,,6.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Capstone Mining Corp,1.40,1.05,0.42,0.21,1.40,0.0384,0.0943,0.2409,0.0253,0.2600,0.4090,0.5910,0.6922,-215.46,0.32,6.38,0.04,6.36,9.03,0.24,7.92,467.076,13.1x,20.2x,-10.6x,1.1x,3.5x,28.8x,1.3x,,5.4,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
