Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,CCL Industries Inc,1.41,1.08,0.38,0.61,1.41,0.1017,0.0548,0.7867,0.0431,0.6100,0.5761,0.4239,1.3589,-7.38,1.35,4.08,0.24,7.78,5.44,0.79,8.37,338.776,10.9x,17.4x,34.7x,1.8x,2.0x,26.2x,2.8x,0.086,7.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,CCL Industries Inc,1.37,1.05,0.37,0.67,1.37,0.1781,0.0838,0.9875,0.0827,1.2600,0.5355,0.4645,1.1529,-14.34,1.48,2.91,0.29,9.84,7.10,0.99,11.66,481.471,10.3x,14.9x,18.3x,2.5x,1.9x,22.7x,3.6x,0.24,7.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,CCL Industries Inc,1.35,1.06,0.44,0.52,1.35,0.1819,0.0971,0.8484,0.0824,1.7000,0.5473,0.4527,1.2087,-19.26,3.88,3.22,0.24,8.36,6.15,0.85,9.59,608.224,14.5x,20.0x,28.8x,3.7x,2.8x,29.0x,5.2x,0.3,7.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,CCL Industries Inc,1.83,1.44,0.65,0.62,1.83,0.1954,0.0873,0.8495,0.0740,1.9800,0.6206,0.3794,1.6356,-15.54,1.68,3.83,0.19,7.99,6.30,0.85,5.27,758.2,13.9x,18.8x,48.9x,3.0x,2.8x,28.4x,5.2x,0.4,8.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,CCL Industries Inc,1.42,1.10,0.43,0.55,1.42,0.2197,0.0997,0.7740,0.0772,2.7000,0.6488,0.3512,1.8472,-9.87,1.57,4.19,0.18,7.77,6.30,0.77,8.62,950.9,14.0x,19.5x,32.0x,2.7x,2.7x,25.3x,5.1x,0.46,7.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,CCL Industries Inc,1.58,1.19,0.44,0.57,1.58,0.1746,0.0904,0.7345,0.0664,2.6400,0.6196,0.3804,1.6290,-9.01,0.80,4.41,0.18,6.97,6.09,0.73,6.63,987.2,10.9x,15.0x,24.0x,2.2x,2.2x,16.9x,3.6x,0.52,8.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,CCL Industries Inc,1.83,1.41,0.61,0.68,1.83,0.1646,0.0897,0.7561,0.0678,2.6800,0.5883,0.4117,1.4288,-8.36,1.86,4.06,0.19,7.91,7.07,0.76,5.56,"1,019.4",11.6x,16.2x,27.1x,2.2x,2.2x,20.3x,3.5x,0.68,8.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,CCL Industries Inc,1.76,1.34,0.56,0.70,1.76,0.1614,0.1010,0.7145,0.0722,2.9600,0.5526,0.4474,1.2353,-10.95,0.66,3.77,0.22,7.01,6.47,0.71,5.45,"1,075.6",11.6x,16.2x,20.4x,2.1x,2.3x,21.2x,3.3x,0.72,8.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,CCL Industries Inc,1.73,1.25,0.42,0.59,1.73,0.1599,0.1045,0.7516,0.0785,3.3300,0.5088,0.4912,1.0357,-13.71,2.25,3.44,0.22,6.11,6.04,0.75,5.57,"1,127.9",11.9x,16.2x,23.8x,2.4x,2.4x,20.3x,3.3x,0.84,9.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,CCL Industries Inc,1.88,1.36,0.56,0.66,1.88,0.1460,0.0976,0.7366,0.0719,3.5000,0.5077,0.4923,1.0314,-12.50,1.26,3.73,0.23,5.94,6.55,0.74,4.84,"1,179.4",11.0x,15.2x,27.3x,2.0x,2.0x,18.5x,2.7x,0.96,9.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
