Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Centamin PLC,3.44,1.71,1.35,3.13,3.44,0.1517,0.3651,0.3879,0.1416,0.1800,0.0661,0.9339,0.0708,265.63,355.29,0.29,2.85,1.67,20.43,0.39,2.64,317.345,2.1x,2.4x,9.4x,0.6x,1.3x,4.0x,0.7x,,21.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Centamin PLC,8.54,4.45,3.66,3.39,8.54,0.0612,0.1726,0.3448,0.0595,0.0830,0.0273,0.9727,0.0280,197.85,283.79,0.16,3.12,2.10,19.64,0.34,1.82,271.837,4.5x,7.3x,19.7x,0.7x,2.2x,13.4x,0.8x,0,44.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Centamin PLC,6.65,4.18,3.66,3.40,6.65,0.0381,0.1014,0.3593,0.0364,0.0630,0.0436,0.9564,0.0456,657.85,"2,092.98",0.30,3.01,2.74,24.83,0.36,1.65,282.021,3.7x,6.3x,5.0x,0.7x,1.7x,12.4x,0.8x,0.02692,29.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Centamin PLC,10.79,8.30,7.69,7.05,10.79,0.1409,0.3124,0.4339,0.1679,0.2500,0.0377,0.9623,0.0391,392.74,540.51,0.15,6.14,2.82,29.87,0.43,1.35,527.525,4.5x,6.7x,6.2x,1.1x,2.4x,11.1x,1.3x,0.05371,35.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Centamin PLC,8.30,6.55,5.86,5.49,8.30,0.0713,0.1426,0.4743,0.1441,0.1100,0.0508,0.9492,0.0535,85.84,141.17,0.21,4.66,3.49,21.79,0.47,1.51,439.404,6.5x,9.6x,8.2x,1.5x,3.3x,27.5x,1.7x,0.06286,27.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Centamin PLC,8.87,6.78,5.96,4.71,8.87,0.0582,0.1241,0.4475,0.1132,0.0890,0.0454,0.9546,0.0475,37.71,56.63,0.24,3.65,4.11,21.37,0.45,1.62,344.54,4.6x,7.2x,6.6x,1.1x,2.2x,16.8x,1.3x,0.06825,29.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Centamin PLC,6.75,5.08,4.20,3.76,6.75,0.0677,0.1341,0.4753,0.1260,0.0990,0.0589,0.9411,0.0626,31.97,47.45,0.29,3.08,3.97,18.80,0.48,1.71,355.898,6.2x,11.3x,10.1x,1.3x,2.5x,25.4x,1.5x,0.1039,24.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Centamin PLC,6.05,4.41,4.03,6.28,6.05,0.1210,0.1882,0.5937,0.2256,0.1700,0.0762,0.9238,0.0825,315.35,455.24,0.25,4.26,3.79,66.34,0.59,2.27,547.882,3.8x,5.4x,5.0x,1.3x,2.0x,13.0x,1.5x,0.1527,20.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Centamin PLC,4.68,3.08,2.58,3.84,4.68,0.0787,0.1385,0.5152,0.1080,0.1100,0.0939,0.9061,0.1036,-323.21,649.83,0.41,2.32,3.81,25.16,0.52,2.47,407.597,3.2x,5.8x,8.9x,0.9x,1.5x,11.5x,1.0x,0.1012,17,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Centamin PLC,2.78,1.48,0.99,2.84,2.78,0.0540,0.0919,0.5279,0.1143,0.0850,0.1019,0.8981,0.1134,-138.32,234.44,0.49,1.92,4.06,26.43,0.53,4.31,421.202,4.6x,8.5x,34.3x,1.1x,1.8x,20.7x,1.1x,0.0677,15.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
