Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Centerra Gold Inc,6.93,4.30,2.42,3.41,6.93,0.1069,0.1670,0.5596,0.0934,0.7100,0.1264,0.8736,0.1447,-55.66,1.94,0.44,2.27,1.50,12.73,0.56,1.12,519.255,1.9x,4.1x,-54.2x,0.6x,1.0x,-49.1x,0.7x,0.08,16.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Centerra Gold Inc,6.97,4.26,2.00,2.50,6.97,-0.0315,-0.0578,0.4686,-0.0271,-0.2200,0.1415,0.8585,0.1648,27.28,1.65,0.64,1.63,1.25,12.28,0.47,0.85,419.546,2.7x,11.1x,11.4x,0.6x,1.1x,16.7x,0.9x,0.16,15.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Centerra Gold Inc,5.72,3.59,2.22,2.05,5.72,0.0293,0.0667,0.3757,0.0251,0.2400,0.1444,0.8556,0.1687,-41.66,1.76,0.86,1.39,1.15,24.25,0.38,0.81,388.02,1.2x,3.8x,2.4x,0.5x,0.8x,33.9x,0.8x,0.16,14.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Centerra Gold Inc,4.48,2.09,0.71,1.64,4.48,0.0831,0.2000,0.2854,0.0571,0.8100,0.3128,0.6872,0.4552,-29.42,1.85,2.16,0.45,0.78,19.05,0.29,0.96,516.318,3.6x,11.4x,-4.8x,0.6x,1.7x,16.0x,0.9x,0.16,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Centerra Gold Inc,2.83,1.40,1.16,1.40,2.83,0.1035,0.1748,0.4325,0.0756,1.0900,0.2694,0.7306,0.3687,-9.69,2.13,1.43,0.67,1.37,20.83,0.43,1.83,655.553,2.9x,5.1x,3.7x,0.7x,1.3x,8.2x,0.8x,0,9.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Centerra Gold Inc,3.47,0.95,0.65,0.93,3.47,0.0501,0.0952,0.3995,0.0380,0.5300,0.2401,0.7599,0.3160,-5.44,0.42,2.16,0.32,1.03,23.22,0.40,1.95,429.667,3.7x,7.6x,-16.1x,0.6x,1.3x,6.4x,0.6x,0,9.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Centerra Gold Inc,3.81,0.60,0.17,1.36,3.81,-0.0453,-0.0680,0.5091,-0.0346,-0.4100,0.2353,0.7647,0.3078,12.08,0.75,1.61,0.53,0.90,20.22,0.51,2.00,513.318,5.3x,11.8x,-68.5x,1.1x,1.6x,-72.1x,1.1x,0,9.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Centerra Gold Inc,5.32,3.04,2.11,3.61,5.32,0.1657,0.5664,0.2300,0.1303,0.0700,0.2136,0.7864,0.2717,-6.26,2.75,4.83,1.39,0.75,16.18,0.23,0.65,176.321,21.9x,-75.2x,18.1x,1.2x,3.6x,-123.8x,1.4x,0.2,11,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Centerra Gold Inc,5.59,4.60,4.17,1.82,5.59,-0.1868,-0.4241,0.3363,-0.1426,1.9100,0.2365,0.7635,0.3097,194.44,93.96,2.11,0.66,2.29,14.69,0.34,0.86,379.724,4.8x,8.3x,2.9x,0.8x,1.6x,11.2x,1.3x,0.28,11,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Centerra Gold Inc,3.60,2.45,1.94,-0.01,3.60,-0.0427,-0.0908,0.3640,-0.0331,-0.3900,0.2250,0.7750,0.2903,-6.08,1.00,2.90,0.00,1.91,10.33,0.36,1.19,245.389,5.7x,44.3x,131.3x,0.6x,1.2x,-20.0x,0.9x,0.28,10.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
