Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,China Gold International Resources,0.52,0.35,0.30,0.26,0.52,0.0384,0.1819,0.1364,0.0258,0.1500,0.3547,0.6453,0.5497,-9.97,2.37,6.84,0.12,3.28,508.67,0.14,-1.76,122.261,9.3x,13.7x,-3.1x,0.7x,3.9x,14.6x,0.7x,,5.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,China Gold International Resources,1.08,0.85,0.81,0.00,1.08,0.0271,0.1430,0.0922,0.0139,0.1200,0.5138,0.4862,1.0568,-5.30,0.01,12.02,0.00,1.12,34.14,0.09,4.81,149.156,11.5x,22.0x,-4.6x,0.5x,5.3x,22.7x,0.5x,,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,China Gold International Resources,0.98,0.46,0.31,0.18,0.98,-0.0057,-0.0241,0.1223,-0.0025,-0.0290,0.4795,0.5205,0.9213,-2.12,0.12,11.92,0.05,1.45,31.50,0.12,-58.35,155.161,10.3x,22.3x,-9.1x,0.6x,3.9x,23.4x,0.4x,,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,China Gold International Resources,0.58,0.31,0.07,0.10,0.58,-0.0094,-0.0393,0.1141,-0.0042,-0.0450,0.5213,0.4787,1.0889,-1.58,0.39,13.58,0.05,1.28,85.50,0.11,-1.00,152.969,15.9x,76.6x,-6.2x,0.6x,5.0x,-25.7x,0.4x,,3.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,China Gold International Resources,1.05,0.49,0.37,0.25,1.05,0.0418,0.1533,0.1275,0.0199,0.2000,0.5326,0.4674,1.1394,-6.49,0.15,10.17,0.06,1.31,19.94,0.13,19.26,212.586,12.3x,31.9x,32.1x,0.7x,4.9x,21.5x,0.5x,,4.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,China Gold International Resources,1.09,0.43,0.32,0.36,1.09,-0.0032,-0.0085,0.1774,-0.0013,-0.0170,0.5369,0.4631,1.1594,-0.98,0.56,9.04,0.09,1.63,"1,089.25",0.18,14.52,260.576,7.7x,25.8x,17.8x,0.5x,2.7x,27.7x,0.3x,,4.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,China Gold International Resources,0.56,0.26,0.20,0.17,0.56,-0.0226,-0.0499,0.2056,-0.0101,-0.1100,0.5463,0.4537,1.2039,-0.36,1.08,10.40,0.09,2.11,746.90,0.21,-1.61,217.975,7.9x,220.3x,23.6x,0.5x,2.2x,-12.0x,0.3x,,3.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,China Gold International Resources,1.32,0.65,0.55,0.59,1.32,0.0702,0.1296,0.2600,0.0343,0.3600,0.5198,0.4802,1.0825,-4.51,0.37,5.10,0.15,2.20,51.43,0.26,6.07,430.713,10.3x,19.2x,"18,704.7x",0.6x,2.1x,11.1x,0.4x,,5.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,China Gold International Resources,1.58,0.70,0.61,1.21,1.58,0.1458,0.2351,0.3492,0.0825,0.8500,0.4371,0.5629,0.7765,-12.56,1.46,2.83,0.29,2.45,990.51,0.35,5.75,635.348,2.9x,5.9x,5.1x,0.7x,1.7x,4.0x,0.6x,0,6.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,China Gold International Resources,1.15,0.69,0.67,0.70,1.15,0.1170,0.2016,0.3458,0.0706,0.7600,0.4042,0.5958,0.6785,-14.29,4.21,2.50,0.35,2.42,"1,098.42",0.35,11.75,699.092,4.8x,8.0x,5.4x,0.9x,2.3x,9.5x,1.1x,0,6.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
