Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Dundee Precious Metals Inc,1.91,1.35,0.57,1.17,1.91,0.0299,0.0653,0.3489,0.0133,0.1800,0.2392,0.7608,0.3145,-4.61,3.58,1.95,0.42,5.30,9.59,0.35,4.44,128.855,4.0x,8.1x,-4.2x,0.5x,1.1x,22.4x,0.6x,,8.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Dundee Precious Metals Inc,2.18,1.46,0.57,1.54,2.18,-0.0837,-0.1819,0.3305,-0.0640,-0.4900,0.2818,0.7182,0.3924,6.84,3.78,2.18,0.36,5.69,15.52,0.33,4.31,146.906,4.4x,-14.5x,-5.2x,0.6x,1.4x,-5.4x,0.5x,,7.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Dundee Precious Metals Inc,1.47,0.89,0.37,1.21,1.47,-0.0736,-0.2087,0.2485,-0.0530,0.0280,0.2958,0.7042,0.4200,-1.97,3.42,3.52,0.33,5.43,14.82,0.25,6.63,105.725,2.4x,6.4x,8.3x,0.3x,1.0x,5.2x,0.2x,,6.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Dundee Precious Metals Inc,1.56,1.08,0.20,1.42,1.56,-0.2745,-0.5422,0.3808,-0.2074,-1.3400,0.2479,0.7521,0.3296,13.70,0.71,2.66,0.46,9.11,9.32,0.38,8.52,91.833,3.4x,"1,806.9x",6.8x,0.4x,1.1x,-6.2x,0.4x,,6.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Dundee Precious Metals Inc,1.23,0.88,0.36,1.37,1.23,0.0003,0.0006,0.4126,-0.0004,0.0015,0.2506,0.7494,0.3343,-1.89,4.36,2.65,0.52,9.51,16.58,0.41,19.10,100.554,3.9x,16.2x,9.3x,0.7x,1.1x,-4.0x,0.7x,,6.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Dundee Precious Metals Inc,0.90,0.54,0.18,1.05,0.90,0.0597,0.1011,0.4387,0.0432,0.2900,0.2576,0.7424,0.3469,-10.57,14.21,1.93,0.44,8.00,19.03,0.44,-40.93,156.986,3.9x,8.1x,123.4x,0.7x,1.2x,12.4x,0.7x,,7.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Dundee Precious Metals Inc,0.96,0.61,0.21,0.91,0.96,-0.1196,-0.1753,0.5153,-0.0918,-0.4700,0.2444,0.7556,0.3235,6.03,3.31,1.37,0.52,7.74,13.44,0.52,-88.74,181.761,7.1x,20.4x,14.4x,1.1x,2.1x,37.6x,1.2x,,7.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Dundee Precious Metals Inc,3.75,3.24,1.76,2.32,3.75,0.2434,0.3215,0.6253,0.1999,1.4100,0.1739,0.8261,0.2106,-48.05,10.57,0.53,1.16,7.69,8.23,0.63,2.61,404.665,3.8x,5.8x,8.8x,1.6x,2.0x,20.8x,1.8x,0.1527,12.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Dundee Precious Metals Inc,5.99,5.41,3.90,2.95,5.99,0.2092,0.3275,0.5490,0.1796,1.3000,0.1404,0.8596,0.1633,-91.43,36.21,0.49,1.54,7.20,5.60,0.55,1.50,420.21,2.7x,3.8x,5.5x,1.0x,1.4x,6.3x,1.2x,0.1517,14.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Dundee Precious Metals Inc,6.31,5.83,4.47,2.40,6.31,0.0362,0.0630,0.4924,0.0310,0.2600,0.1419,0.8581,0.1653,18.02,151.49,0.67,1.41,7.80,5.79,0.49,1.11,333.976,3.9x,6.4x,6.9x,1.0x,1.7x,39.6x,1.4x,0.2166,14.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
