Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Eldorado Gold Corp,4.22,3.15,2.59,1.56,4.22,-0.1189,-0.5813,0.1553,-0.0898,-4.8500,0.2405,0.7595,0.3167,13.82,8.02,3.37,0.20,1.97,52.26,0.16,1.53,549.403,6.8x,9.0x,"-19,648.7x",0.6x,3.4x,27.2x,0.7x,0,7.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Eldorado Gold Corp,4.21,3.10,2.48,1.41,4.21,0.0184,0.0961,0.1444,0.0144,0.8300,0.2456,0.7544,0.3255,-10.89,5.09,4.11,0.16,2.34,54.01,0.14,1.65,511.09,11.0x,18.1x,-44.5x,0.8x,4.5x,-7.3x,0.8x,0.1,7.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Eldorado Gold Corp,2.42,1.67,1.22,0.94,2.42,-0.3929,-3.2164,0.0877,-0.3010,-14.7000,0.2824,0.7176,0.3936,191.67,6.07,12.30,0.14,1.56,29.69,0.09,1.43,174.113,12.5x,28.5x,-27.3x,0.4x,4.1x,-6.7x,0.4x,0.1,3.9,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Eldorado Gold Corp,12.04,10.71,9.74,1.25,12.04,-0.0964,-0.7953,0.0902,-0.0723,-0.0450,0.2556,0.7444,0.3434,-5.99,1.43,8.22,0.09,1.74,39.15,0.09,0.43,200.259,20.3x,-2.2x,-5.4x,0.6x,6.2x,-2.0x,0.7x,0,6.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Eldorado Gold Corp,6.47,4.99,4.21,0.25,6.47,-0.0027,-0.0254,0.0769,-0.0042,-0.0600,0.2685,0.7315,0.3671,-0.78,0.39,12.47,0.02,1.17,50.53,0.08,0.63,137.787,8.9x,19.0x,3.6x,0.3x,3.1x,-120.7x,0.3x,0,5.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Eldorado Gold Corp,3.63,2.66,2.02,0.48,3.63,-0.1081,-0.7884,0.0992,-0.0820,-3.1200,0.2769,0.7231,0.3830,-114.66,23.46,15.66,0.05,2.07,20.80,0.10,1.23,111.75,8.8x,-34.6x,-4.8x,0.2x,1.6x,-2.8x,0.1x,0,4.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Eldorado Gold Corp,1.97,1.23,0.80,0.75,1.97,0.0232,0.1304,0.1329,0.0158,0.6600,0.2528,0.7472,0.3383,-3.57,0.25,5.73,0.14,2.16,17.60,0.13,2.89,266.24,12.4x,-5.2x,-187.2x,0.4x,3.3x,-5.6x,0.4x,0,5.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Eldorado Gold Corp,2.88,2.25,1.72,1.79,2.88,0.0338,0.1216,0.2082,0.0239,0.9800,0.2522,0.7478,0.3373,-5.87,2.46,2.43,0.38,2.78,28.80,0.21,2.09,650.695,5.4x,9.8x,10.2x,0.6x,2.6x,12.0x,0.6x,0,6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Eldorado Gold Corp,3.52,2.66,2.33,1.75,3.52,-0.0374,-0.1446,0.1908,-0.0275,0.1300,0.2618,0.7382,0.3546,-4.57,0.61,3.16,0.28,2.61,40.87,0.19,1.80,516.228,4.1x,7.9x,109.3x,0.4x,1.9x,20.4x,0.5x,0,5.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Eldorado Gold Corp,3.00,2.06,1.33,1.00,3.00,-0.1105,-0.4058,0.1956,-0.0958,0.1700,0.2820,0.7180,0.3927,-1.42,5.98,4.17,0.17,2.48,25.84,0.20,2.07,408.359,7.2x,34.7x,-30.2x,0.6x,2.5x,86.0x,0.6x,0,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
