Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Endeavour Mining Corp,1.78,1.24,0.63,0.38,1.78,-0.4309,-0.7499,0.3480,-0.2918,-8.5600,0.3944,0.6056,0.6513,35.25,2.86,6.69,0.09,5.43,11.47,0.35,4.91,79.763,3.8x,-0.9x,14.9x,0.3x,0.8x,-0.7x,0.2x,,2.5,3,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Endeavour Mining Corp,1.29,0.70,0.42,0.87,1.29,-0.6172,-0.4689,0.6054,-0.3405,-7.6700,0.5400,0.4600,1.1740,13.46,4.40,3.60,0.24,4.82,27.11,0.61,13.64,167.582,3.9x,5.4x,-7.8x,0.4x,0.8x,-2.2x,0.2x,,1.2,4,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Endeavour Mining Corp,1.54,0.92,0.72,0.96,1.54,0.0305,0.0349,0.4957,0.0334,0.4600,0.4327,0.5673,0.7627,-2.87,1.78,2.99,0.32,3.69,47.39,0.50,6.36,211.571,3.6x,-3.2x,3.5x,0.7x,1.0x,-1.3x,0.6x,,3.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Endeavour Mining Corp,1.89,1.16,0.83,1.03,1.89,-0.0695,-0.1178,0.4174,-0.0386,0.3900,0.2921,0.7079,0.4127,-5.56,1.15,1.85,0.39,2.81,46.15,0.42,4.23,288.187,7.3x,14.6x,78.0x,1.2x,2.7x,-67.0x,1.4x,,5.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Endeavour Mining Corp,1.52,0.94,0.52,0.96,1.52,-0.1909,-0.4059,0.2791,-0.1052,0.3400,0.4066,0.5934,0.6852,-5.95,0.83,3.98,0.33,1.84,29.30,0.28,3.90,216.552,13.2x,38.9x,-8.2x,1.7x,5.2x,192.7x,2.1x,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Endeavour Mining Corp,1.32,0.81,0.50,1.01,1.32,-0.1534,-0.1926,0.3912,-0.0665,-0.0008,0.5087,0.4913,1.0353,-5.38,0.79,3.68,0.26,3.39,28.48,0.39,9.60,362.9,9.4x,16.1x,-7.7x,1.5x,3.2x,24.9x,1.8x,,3.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Endeavour Mining Corp,1.47,0.84,0.71,1.13,1.47,-0.2005,-0.2356,0.3710,-0.0754,-2.1600,0.5640,0.4360,1.2937,2.99,5.39,4.18,0.29,2.29,323.39,0.37,5.48,328.386,9.0x,23.1x,43.9x,1.7x,3.3x,-26.7x,2.5x,,2.5,5,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Endeavour Mining Corp,2.10,1.74,1.23,1.43,2.10,0.0325,0.0513,0.3681,0.0291,0.8800,0.4188,0.5812,0.7204,-5.88,2.70,2.31,0.46,3.53,309.59,0.37,2.47,891.839,10.1x,43.5x,15.9x,1.4x,4.7x,-34.8x,1.9x,,5.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Endeavour Mining Corp,2.41,1.86,1.60,2.04,2.41,0.0491,0.0816,0.3902,0.0407,1.2900,0.3523,0.6477,0.5439,-8.38,0.94,1.83,0.48,3.68,677.42,0.39,3.31,"1,645.406",4.7x,8.1x,10.4x,1.1x,2.4x,13.7x,1.3x,0.7081,8.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Endeavour Mining Corp,1.38,1.08,0.91,0.98,1.38,-0.0140,-0.0228,0.3910,-0.0034,-0.3600,0.3628,0.6372,0.5694,-3.47,8.09,1.92,0.44,3.53,570.06,0.39,6.26,"1,637.467",5.8x,30.1x,9.9x,1.4x,2.8x,-100.5x,1.8x,1.0832,7.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
