Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Equinox Gold Corp,51.20,41.78,50.99,-9.67,51.20,-0.6198,#DIV/0!,0.0000,-0.6092,-2.9500,0.0170,0.9830,0.0173,"-1,015.33",0.41,-0.11,-9.67,0.00,0.00,0.00,0.00,-1.561,-19.4x,-19.4x,-34.8x,2.0x,NA,-5.5x,3.1x,,65.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Equinox Gold Corp,32.79,24.44,32.41,-16.45,32.79,-0.5565,#DIV/0!,0.0000,-0.5435,-2.0200,0.0235,0.9765,0.0240,-285.25,0.79,-0.05,-16.45,0.00,0.00,0.00,0.00,-4.189,-7.3x,-7.3x,-11.6x,3.3x,NA,-9.7x,4.1x,,42,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Equinox Gold Corp,7.42,1.35,5.12,-24.70,7.42,-3.1714,#DIV/0!,0.0000,-2.8484,-3.3200,0.1019,0.8981,0.1134,"1,036.86",1.63,-0.04,-24.70,0.00,0.00,0.00,0.00,-7.25,-1.2x,-1.2x,-2.1x,4.5x,NA,-1.3x,4.9x,,-35.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Equinox Gold Corp,31.88,31.06,28.15,-4.85,31.88,-0.0357,-2.7103,0.0099,-0.0301,-0.6000,0.2506,0.7494,0.3344,5.63,2.05,-6.93,-0.31,1.77,0.12,0.01,0.02,-4.366,-53.4x,-53.3x,-2.6x,2.7x,NA,-31.9x,2.7x,,9.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Equinox Gold Corp,2.66,2.56,2.06,-0.91,2.66,-0.0474,#DIV/0!,0.0000,-0.0357,-0.5200,0.2481,0.7519,0.3299,4.40,1.20,-4.41,-0.23,2.77,0.00,0.00,0.00,-34.397,-18.0x,-17.7x,27.5x,1.4x,371.0x,32.3x,1.8x,,6.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Equinox Gold Corp,1.16,0.77,0.55,-0.21,1.16,-0.1601,-2.1730,0.0407,-0.0902,-0.5600,0.4483,0.5517,0.8125,18.73,8.53,-19.14,-0.07,0.44,4.12,0.04,1.73,-23.714,-15.6x,-15.2x,-5.7x,1.0x,NA,-10.4x,1.1x,,3.9,1,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Equinox Gold Corp,1.13,0.78,0.51,0.45,1.13,-0.0456,-0.0652,0.3356,-0.0242,-0.2100,0.5198,0.4802,1.0825,-0.15,0.39,4.65,0.14,3.44,36.58,0.34,16.84,121.832,22.8x,76.4x,-8.2x,1.6x,5.6x,-25.2x,2.1x,,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Equinox Gold Corp,2.90,1.97,1.55,1.15,2.90,0.0154,0.0264,0.3162,0.0083,0.1300,0.4582,0.5418,0.8456,-2.14,0.43,3.60,0.21,2.26,49.23,0.32,2.00,433.408,9.1x,14.9x,78.0x,1.4x,3.9x,-32.4x,1.8x,,5.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Equinox Gold Corp,2.89,2.39,0.76,0.80,2.89,0.2146,0.5127,0.2728,0.1399,2.4600,0.3483,0.6517,0.5346,-14.81,3.41,3.79,0.23,3.31,76.18,0.27,1.42,461.57,7.2x,19.7x,-38.7x,0.7x,2.2x,3.8x,0.9x,,7.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Equinox Gold Corp,2.41,1.44,0.74,0.21,2.41,-0.0451,-0.1113,0.2469,-0.0275,-0.4700,0.3898,0.6102,0.6389,1.83,0.79,6.99,0.04,2.60,116.41,0.25,2.48,291.011,9.5x,197.0x,-8.6x,0.7x,2.2x,-14.8x,0.7x,,5.8,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
