Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Ero Copper Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Ero Copper Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Ero Copper Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Ero Copper Corp,0.30,0.27,0.10,-0.07,0.30,-0.1874,#DIV/0!,0.0000,-0.0162,-0.8700,0.9236,0.0764,12.0895,2.49,0.77,-41.66,-0.04,0.00,0.00,0.00,0.00,-9.497,NA,NA,NM,NM,NA,NA,NA,,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Ero Copper Corp,1.77,1.62,0.92,0.63,1.77,0.1732,0.1516,0.3887,0.0458,0.5000,0.6598,0.3402,1.9392,-1.15,1.18,7.78,0.14,15.36,66.87,0.39,3.48,40.645,NA,-50.9x,-21.8x,2.7x,7.7x,152.4x,8.6x,,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Ero Copper Corp,0.85,0.60,0.31,1.38,0.85,-0.0304,-0.0135,0.6467,-0.0083,-0.0510,0.7120,0.2880,2.4717,-1.19,0.59,2.80,0.32,10.30,32.29,0.65,-25.03,124.938,10.3x,35.8x,-16.3x,3.1x,3.3x,596.5x,6.7x,,4.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Ero Copper Corp,0.94,0.70,0.27,1.59,0.94,0.4616,0.3226,0.6156,0.1998,1.4000,0.5698,0.4302,1.3243,-6.89,2.20,1.90,0.48,8.66,37.09,0.62,-57.94,180.273,11.4x,16.4x,65.8x,5.5x,5.8x,26.9x,10.7x,,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Ero Copper Corp,1.39,1.11,0.68,1.78,1.39,0.2411,0.1593,0.6519,0.1056,0.7600,0.5694,0.4306,1.3221,-6.33,2.22,1.45,0.58,5.33,15.92,0.65,9.05,248.777,9.6x,12.7x,24.6x,5.1x,4.9x,44.9x,11.2x,,7.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Ero Copper Corp,1.70,1.49,1.06,2.97,1.70,0.5084,0.4104,0.7103,0.2938,2.8700,0.4266,0.5734,0.7441,-112.25,3.03,0.92,1.24,6.57,15.96,0.71,5.69,402.714,4.4x,5.1x,15.5x,3.2x,2.9x,6.6x,3.9x,,9.8,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Ero Copper Corp,3.04,2.80,1.38,1.11,3.04,0.1878,0.2388,0.3589,0.0868,1.5200,0.5437,0.4563,1.1914,-13.72,1.96,3.44,0.22,7.73,41.44,0.36,1.62,254.326,10.4x,15.2x,-14.8x,2.0x,4.6x,18.0x,3.4x,,7.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
