Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Filo Mining Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Filo Mining Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Filo Mining Corp,1.66,1.66,1.12,-52.77,1.66,-1.9337,#DIV/0!,0.0000,-1.8595,-0.2300,0.0382,0.9616,0.0398,#DIV/0!,#DIV/0!,-0.02,-52.77,#DIV/0!,#DIV/0!,0.00,0.00,-10.981,NA,NA,NM,NM,NA,NA,NA,,0.9,1,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Filo Mining Corp,8.33,8.33,8.09,-2.29,8.33,-0.3650,#DIV/0!,0.0000,-0.3314,-0.1600,0.0920,0.9080,0.1014,#DIV/0!,#DIV/0!,-0.28,-2.29,#DIV/0!,#DIV/0!,0.00,0.00,-8.653,-27.8x,-27.7x,-27.3x,12.3x,NA,-23.5x,12.6x,,11.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Filo Mining Corp,1.65,1.65,1.07,-7.64,1.65,-2.3542,#DIV/0!,0.0000,-1.8341,-0.3000,0.2209,0.7791,0.2836,#DIV/0!,#DIV/0!,-0.12,-7.64,#DIV/0!,#DIV/0!,0.00,0.00,-18.702,-7.4x,-7.4x,-8.4x,12.1x,NA,-7.7x,12.6x,,-21.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Filo Mining Corp,0.89,0.89,0.44,-4.78,0.89,-4.4332,#DIV/0!,0.0000,-2.4201,-0.4100,0.4541,0.5459,0.8318,"1,312.23","1,178.45",#DIV/0!,-4.78,#DIV/0!,#DIV/0!,0.00,0.00,0,NA,-5.7x,-6.1x,13.2x,NA,-5.9x,13.5x,,-34.9,0,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Filo Mining Corp,4.52,4.52,3.81,-6.62,4.52,-1.4197,#DIV/0!,0.0000,-1.2030,-0.3700,0.1527,0.8473,0.1802,"1,784.63",1.29,#DIV/0!,-6.60,#DIV/0!,#DIV/0!,0.00,0.00,0,NA,-6.0x,-7.4x,5.9x,NA,-6.6x,6.6x,,-10.6,4,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Filo Mining Corp,9.03,9.03,8.84,-4.16,9.03,-0.4335,#DIV/0!,0.0000,-0.3961,-0.1900,0.0863,0.9137,0.0944,608.00,11.85,#DIV/0!,-4.16,#DIV/0!,#DIV/0!,0.00,0.00,0,NA,-6.7x,-7.8x,3.7x,NA,-9.0x,4.6x,,6.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Filo Mining Corp,2.85,2.85,2.75,-3.45,2.85,-1.3739,#DIV/0!,0.0000,-1.0574,-0.2900,0.2304,0.7696,0.2993,#DIV/0!,"2,032.67",#DIV/0!,-3.45,#DIV/0!,#DIV/0!,0.00,0.00,0,NA,-37.6x,-49.3x,50.8x,NA,-53.0x,51.6x,,-17.8,1,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Filo Mining Corp,4.90,4.90,4.85,-2.93,4.90,-0.9780,#DIV/0!,0.0000,-0.8022,-0.5700,0.1797,0.8203,0.2191,-38.36,24.53,-0.16,-2.93,#DIV/0!,#DIV/0!,0.00,0.00,-95.908,-30.6x,-30.6x,-38.8x,41.6x,NA,-43.6x,42.6x,,-3.7,3,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
