Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,First Majestic Silver Corp.,1.43,1.08,0.71,1.75,1.43,-0.0670,-0.1521,0.2939,-0.0447,-0.3500,0.3324,0.6676,0.4980,-21.36,8.36,2.93,0.47,4.32,28.00,0.29,7.66,102.904,9.9x,15.0x,-9.2x,1.6x,4.4x,17.6x,1.8x,,6.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,First Majestic Silver Corp.,0.96,0.74,0.52,1.19,0.96,-0.1180,-0.2503,0.3182,-0.0797,-0.6100,0.3252,0.6748,0.4818,13.17,2.58,3.88,0.37,8.77,45.47,0.32,-85.52,74.828,10.1x,251.1x,-17.2x,1.0x,2.8x,-7.6x,1.0x,,4.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,First Majestic Silver Corp.,1.17,0.93,0.57,0.63,1.17,-0.1990,-0.4941,0.2779,-0.1373,-1.1700,0.3102,0.6898,0.4497,34.48,1.47,3.91,0.23,6.11,67.54,0.28,14.08,86.888,8.9x,-6.0x,17.2x,0.9x,2.3x,-7.2x,0.9x,,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,First Majestic Silver Corp.,3.64,3.23,2.60,2.02,3.64,0.0138,0.0309,0.3244,0.0100,0.0720,0.2747,0.7253,0.3788,-9.12,1.51,2.19,0.42,7.37,43.77,0.32,2.13,144.226,11.1x,-32.9x,43.8x,1.7x,4.2x,-13.1x,2.0x,,7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,First Majestic Silver Corp.,3.14,2.79,2.17,1.30,3.14,-0.0915,-0.2112,0.3228,-0.0682,-0.4100,0.2546,0.7454,0.3416,301.45,3.57,2.91,0.35,8.45,62.47,0.32,2.17,85.825,13.7x,-446.3x,98.2x,1.5x,4.0x,241.7x,1.8x,,6.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,First Majestic Silver Corp.,2.86,2.30,0.98,0.57,2.86,-0.3434,-0.6784,0.3249,-0.2205,-1.5200,0.3580,0.6420,0.5576,36.83,0.20,6.41,0.10,6.82,64.42,0.32,2.78,70.583,21.1x,-11.6x,-19.1x,1.3x,4.2x,-11.9x,1.5x,,3.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,First Majestic Silver Corp.,3.38,2.96,2.35,1.95,3.38,-0.0611,-0.1112,0.3593,-0.0400,-0.2600,0.3461,0.6539,0.5294,5.87,12.85,3.81,0.40,7.75,84.74,0.36,2.13,119.471,33.9x,-20.6x,256.3x,3.1x,7.5x,-15.2x,3.8x,,5.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,First Majestic Silver Corp.,3.50,3.18,2.35,0.78,3.50,0.0272,0.0634,0.2940,0.0187,0.1400,0.3130,0.6870,0.4555,-4.33,2.18,3.49,0.21,6.73,85.19,0.29,1.43,141.041,29.3x,181.0x,"-1,025.9x",2.9x,8.4x,-57.9x,3.7x,,6.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,First Majestic Silver Corp.,2.30,1.95,1.38,0.40,2.30,-0.0035,-0.0084,0.2749,-0.0023,-0.0250,0.3360,0.6640,0.5060,-3.20,0.30,4.40,0.10,6.24,75.57,0.27,2.60,205.413,20.9x,61.8x,-36.0x,1.8x,5.8x,85.0x,2.1x,0.02478,5.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,First Majestic Silver Corp.,2.21,1.83,0.90,0.11,2.21,-0.0810,-0.1831,0.2958,-0.0542,-0.5900,0.3311,0.6689,0.4951,4.80,0.35,8.33,0.03,7.47,72.60,0.30,3.08,113.541,23.9x,-38.9x,-11.0x,1.2x,3.2x,-17.0x,1.4x,0.03304,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
