Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,First Quantum Minerals Ltd.,1.41,0.79,0.38,0.48,1.41,0.0505,0.1291,0.2296,0.0342,0.8700,0.4125,0.5875,0.7023,65.13,0.35,4.29,0.14,2.11,11.86,0.23,4.81,"1,582.067",10.5x,14.9x,-10.0x,1.1x,4.1x,20.5x,1.3x,0,6.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,First Quantum Minerals Ltd.,3.53,1.81,0.51,1.07,3.53,0.0828,0.2357,0.1987,0.0557,1.6200,0.4340,0.5660,0.7669,33.08,0.53,5.43,0.10,2.13,13.22,0.20,2.01,"1,649.092",9.1x,14.4x,-6.9x,1.0x,4.0x,16.5x,1.0x,0.1008,6.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,First Quantum Minerals Ltd.,1.56,0.94,0.62,0.62,1.56,-0.0466,-0.1975,0.1292,-0.0314,-1.0700,0.4528,0.5472,0.8274,-29.00,0.69,12.15,0.14,1.88,11.79,0.13,2.36,"1,004.536",13.3x,100.9x,-6.0x,0.5x,3.4x,-16.0x,0.3x,0.066,5.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,First Quantum Minerals Ltd.,1.38,0.92,0.66,0.42,1.38,-0.0044,-0.0168,0.1372,-0.0010,0.4300,0.4721,0.5279,0.8943,-134.48,4.40,9.94,0.10,2.26,10.73,0.14,3.15,"1,242.109",11.9x,29.4x,-49.5x,0.8x,4.6x,21.1x,0.7x,0.01,5.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,First Quantum Minerals Ltd.,1.54,1.02,0.63,0.44,1.54,-0.0312,-0.0955,0.1531,-0.0111,-0.5800,0.5316,0.4684,1.1350,-3.31,0.41,10.17,0.08,2.75,10.09,0.15,2.95,"1,420.625",16.3x,106.1x,-17.7x,0.9x,5.3x,-50.6x,1.1x,0.01,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,First Quantum Minerals Ltd.,1.99,1.26,0.76,1.20,1.99,0.0411,0.1112,0.1685,0.0216,0.8800,0.5445,0.4555,1.1952,789.99,0.75,7.44,0.15,2.50,16.46,0.17,2.45,"2,351.861",8.0x,18.0x,-10.2x,0.7x,3.3x,43.2x,0.6x,0.01,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,First Quantum Minerals Ltd.,1.25,0.71,0.45,0.35,1.25,-0.0053,-0.0140,0.1643,-0.0021,-0.1100,0.5692,0.4308,1.3210,-1.11,0.34,8.73,0.06,2.40,11.02,0.16,6.47,"2,095.763",10.7x,23.8x,-23.3x,0.8x,4.3x,27.1x,0.7x,0.01,4.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,First Quantum Minerals Ltd.,1.28,0.73,0.39,0.66,1.28,-0.0179,-0.0355,0.2092,-0.0092,-0.3300,0.5859,0.4141,1.4151,-1.04,0.34,6.56,0.11,3.00,8.70,0.21,7.53,"2,753.517",11.1x,32.4x,23.3x,1.1x,4.6x,-40.6x,1.4x,0.01,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,First Quantum Minerals Ltd.,2.34,1.56,1.11,1.72,2.34,0.0724,0.1154,0.2854,0.0431,1.5300,0.5452,0.4548,1.1985,-3.93,0.71,3.88,0.21,3.54,15.48,0.29,3.20,"4,487.817",7.8x,12.2x,13.2x,1.2x,3.8x,27.8x,1.7x,0.01,5.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,First Quantum Minerals Ltd.,2.40,1.56,0.97,1.34,2.40,0.0845,0.1356,0.3041,0.0458,2.0300,0.5121,0.4879,1.0495,-3.59,0.62,3.96,0.18,3.72,15.53,0.30,3.14,"4,389.506",8.0x,12.9x,34.0x,1.3x,3.4x,17.5x,1.7x,0.32,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
