Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Fortuna Silver Mines Inc,4.95,4.03,1.89,2.67,4.95,-0.0771,-0.1390,0.4546,-0.0632,-0.1600,0.1805,0.8195,0.2203,28.26,56.92,1.29,0.82,6.18,14.02,0.45,2.07,44.996,11.5x,44.4x,-8.7x,1.2x,2.3x,84.1x,1.4x,,10,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Fortuna Silver Mines Inc,3.57,3.11,1.34,1.88,3.57,0.0572,0.0897,0.4967,0.0445,0.1400,0.2215,0.7785,0.2845,-38.74,54.80,1.32,0.78,7.62,10.50,0.50,2.11,68.287,6.7x,14.7x,13.0x,1.9x,3.0x,942.7x,2.2x,,9.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Fortuna Silver Mines Inc,3.75,3.44,2.11,1.60,3.75,-0.0402,-0.0686,0.4076,-0.0279,-0.1100,0.3042,0.6958,0.4372,1.34,26.56,2.27,0.47,10.65,29.92,0.41,1.65,70.51,4.5x,9.2x,53.6x,0.7x,1.4x,42.9x,1.0x,,7.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Fortuna Silver Mines Inc,2.87,2.64,1.42,0.91,2.87,0.0422,0.0849,0.3735,0.0317,0.1800,0.2483,0.7517,0.3303,-26.89,17.34,1.70,0.38,9.57,9.07,0.37,1.93,110.186,11.8x,37.9x,70.1x,1.7x,4.1x,-139.6x,2.0x,,8.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Fortuna Silver Mines Inc,4.50,4.20,3.02,1.16,4.50,0.1176,0.2473,0.3794,0.0938,0.5300,0.2025,0.7975,0.2538,343.50,38.51,1.14,0.49,8.99,7.83,0.38,1.27,157.913,5.7x,9.3x,17.0x,1.2x,2.7x,21.5x,1.6x,,10.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Fortuna Silver Mines Inc,3.57,3.34,1.48,1.36,3.57,0.0564,0.1291,0.3348,0.0432,0.2900,0.2336,0.7664,0.3048,27.81,58.36,1.62,0.45,11.62,9.36,0.33,1.67,154.693,3.6x,4.5x,-18.6x,0.7x,1.6x,8.9x,1.0x,,9.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Fortuna Silver Mines Inc,1.70,1.53,0.93,0.67,1.70,0.0374,0.0925,0.2748,0.0254,0.1900,0.3212,0.6788,0.4731,2.66,16.62,3.22,0.20,11.53,7.64,0.27,4.09,121.404,7.8x,15.0x,-4.8x,1.0x,2.9x,92.7x,1.1x,,6.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Fortuna Silver Mines Inc,2.57,2.21,1.37,0.97,2.57,0.0297,0.0773,0.2643,0.0204,0.1600,0.3123,0.6877,0.4541,18.57,1.56,2.82,0.28,4.78,10.60,0.26,1.84,148.455,17.1x,30.6x,-37.1x,1.8x,6.5x,69.1x,2.1x,,7.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Fortuna Silver Mines Inc,1.69,1.17,0.64,0.88,1.69,0.0405,0.0965,0.2967,0.0294,0.3100,0.2930,0.7070,0.4144,-10.97,2.68,2.27,0.25,4.60,23.32,0.30,5.25,330.41,5.6x,9.3x,36.2x,0.8x,2.5x,18.7x,0.8x,,7.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Fortuna Silver Mines Inc,1.87,1.19,0.60,1.44,1.87,-0.0994,-0.1880,0.3632,-0.0724,-0.6000,0.3131,0.6869,0.4559,12.17,4.66,2.35,0.33,5.81,28.42,0.36,5.79,338.899,5.1x,-11.9x,151.6x,0.8x,1.9x,-8.3x,0.9x,,5.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
