Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Franco-Nevada Corporation,17.85,17.75,15.07,4.88,17.85,0.0039,0.0292,0.1317,0.0038,0.0850,0.0266,0.9734,0.0274,11.14,10.69,0.25,3.08,11.39,5.14,0.13,0.47,342.611,15.3x,38.0x,-32.7x,1.7x,12.5x,101.3x,1.9x,0.4462,43.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Franco-Nevada Corporation,33.12,32.92,28.08,12.65,33.12,0.0313,0.2412,0.1276,0.0308,0.8200,0.0177,0.9823,0.0180,42.61,13.11,0.17,4.35,17.05,6.14,0.13,0.65,406.367,19.5x,89.6x,382.7x,1.9x,15.6x,309.7x,2.2x,1.3897,62.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Franco-Nevada Corporation,13.21,12.99,7.17,15.11,13.21,0.0078,0.0558,0.1200,0.0067,0.2200,0.1392,0.8608,0.1617,11.44,19.52,1.55,0.61,20.01,6.77,0.12,1.74,458.562,19.8x,65.0x,-16.9x,2.0x,14.8x,125.4x,2.2x,1.1655,10,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Franco-Nevada Corporation,9.61,9.53,6.73,12.53,9.61,0.0295,0.2004,0.1444,0.0289,0.9400,0.0178,0.9822,0.0181,78.95,1.03,0.16,6.27,39.00,8.58,0.14,1.88,648.045,22.9x,85.1x,-9.2x,2.5x,18.1x,111.8x,2.5x,1.1817,61.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Franco-Nevada Corporation,27.27,26.96,22.62,21.62,27.27,0.0414,0.2894,0.1405,0.0407,1.3400,0.0173,0.9827,0.0176,51.45,19.69,0.16,5.89,19.68,10.21,0.14,1.13,639.155,28.3x,89.1x,-312.4x,3.1x,21.6x,101.2x,3.2x,1.1566,63.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Franco-Nevada Corporation,7.14,6.93,2.79,18.99,7.14,0.0300,0.2136,0.1320,0.0282,1.0200,0.0608,0.9392,0.0647,314.16,17.99,0.59,1.58,21.61,8.62,0.13,4.24,699.552,25.0x,48.3x,-38.1x,2.7x,19.4x,61.1x,2.8x,1.3104,19.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Franco-Nevada Corporation,5.22,5.14,2.47,11.57,5.22,0.0680,0.4088,0.1594,0.0652,2.3800,0.0414,0.9586,0.0431,-82.19,1.08,0.32,2.83,32.37,8.61,0.16,3.74,874.403,33.3x,75.0x,-86.1x,3.8x,26.8x,97.6x,4.0x,1.2985,28.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Franco-Nevada Corporation,12.48,12.47,10.04,15.11,12.48,0.0599,0.3207,0.1819,0.0583,2.1800,0.0267,0.9733,0.0274,146.59,10.35,0.18,5.39,311.90,10.89,0.18,1.67,"1,068.324",29.8x,86.9x,39.0x,4.5x,24.1x,91.1x,4.6x,1.3233,42.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Franco-Nevada Corporation,17.39,17.38,12.48,22.12,17.39,0.1218,0.5654,0.2090,0.1182,4.8500,0.0297,0.9703,0.0307,372.01,12.22,0.17,5.17,351.95,10.83,0.21,1.83,"1,381.246",24.3x,32.9x,"-1,047.9x",4.5x,20.5x,38.4x,4.5x,1.5174,39.4,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Franco-Nevada Corporation,27.55,27.55,23.83,19.91,27.55,0.1092,0.5333,0.1982,0.1057,4.9500,0.0316,0.9684,0.0326,70.87,15.72,0.19,4.78,"1,753.11",9.68,0.20,0.99,"1,498.687",25.7x,34.7x,32.6x,4.4x,21.7x,42.4x,4.6x,1.7331,38.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
