Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,HudBay Minerals Inc,2.70,2.55,1.85,0.42,2.70,-0.0623,-0.1961,0.1344,-0.0284,-0.5900,0.5766,0.4234,1.3616,-6.18,1.68,26.53,0.07,6.90,12.56,0.13,0.89,83.527,13.4x,55.6x,-1.6x,0.6x,2.4x,-38.8x,0.9x,0,5.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,HudBay Minerals Inc,1.23,1.03,0.48,0.71,1.23,0.0310,0.1288,0.1046,0.0135,0.3600,0.5652,0.4348,1.3000,3.30,2.09,37.02,0.10,4.85,13.66,0.10,5.82,85.77,30.7x,-280.3x,-3.6x,0.9x,5.1x,-73.2x,1.0x,0.02,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,HudBay Minerals Inc,1.15,0.83,0.14,0.49,1.15,-0.1854,-0.3741,0.1978,-0.0740,-1.9600,0.6010,0.3990,1.5064,6.03,2.12,13.30,0.07,4.58,10.38,0.20,15.38,280.77,13.3x,219.8x,-3.5x,0.6x,3.1x,-27.8x,0.4x,0.02,4.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,HudBay Minerals Inc,1.39,1.03,0.47,1.51,1.39,-0.0200,-0.0312,0.2533,-0.0079,-0.2000,0.6044,0.3956,1.5275,-1.06,1.75,5.81,0.18,5.40,13.22,0.25,9.29,622.319,6.3x,32.0x,19.8x,0.8x,2.1x,-5.6x,0.8x,0.02,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,HudBay Minerals Inc,1.61,1.26,0.86,1.30,1.61,0.0661,0.0996,0.2966,0.0295,0.7200,0.5532,0.4468,1.2383,-3.36,1.49,4.09,0.21,4.91,10.27,0.30,5.58,804.414,5.3x,11.0x,7.7x,1.0x,2.4x,"-1,243.6x",1.1x,0.02,5.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,HudBay Minerals Inc,2.36,2.00,1.58,1.47,2.36,0.0392,0.0580,0.3142,0.0182,0.4500,0.5350,0.4650,1.1505,-3.98,6.12,3.93,0.19,6.47,14.42,0.31,3.31,870.033,2.6x,5.0x,5.6x,0.6x,1.2x,6.7x,0.6x,0.02,5.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,HudBay Minerals Inc,1.69,1.34,1.01,0.79,1.69,-0.1860,-0.2778,0.2774,-0.0771,-1.7100,0.5857,0.4143,1.4138,6.41,3.31,5.69,0.12,5.34,14.17,0.28,4.56,596.289,3.5x,15.9x,6.7x,0.6x,1.4x,-3.1x,0.6x,0.02,4.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,HudBay Minerals Inc,1.68,1.36,0.98,0.53,1.68,-0.0851,-0.1324,0.2341,-0.0310,-0.7000,0.6358,0.3642,1.7454,1.12,0.46,8.16,0.08,4.83,10.13,0.23,3.56,462.76,6.7x,"-1,098.3x",33.9x,0.9x,2.4x,-11.9x,1.1x,0.02,4.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,HudBay Minerals Inc,1.29,0.98,0.53,0.76,1.29,-0.1655,-0.1627,0.3254,-0.0529,-1.1800,0.6801,0.3199,2.1258,1.65,0.54,7.64,0.12,5.17,9.02,0.33,10.18,519.742,7.6x,-127.2x,26.9x,1.0x,2.0x,-8.4x,1.3x,0.02,3.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,HudBay Minerals Inc,1.17,0.82,0.50,1.09,1.17,0.0448,0.0482,0.3378,0.0163,0.3600,0.6367,0.3633,1.7522,-2.41,4.69,4.18,0.18,5.46,17.38,0.34,19.10,893.011,3.6x,7.6x,7.3x,0.8x,1.6x,19.0x,0.8x,0.02,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
