Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,IAMGold Corporation,3.42,1.58,1.03,1.14,3.42,-0.2898,-0.8786,0.2261,-0.2054,-2.4300,0.3145,0.6855,0.4588,64.18,3.26,3.78,0.19,1.66,40.49,0.23,1.82,370.764,3.1x,4.6x,-4.1x,0.4x,1.2x,13.5x,0.3x,0,6,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,IAMGold Corporation,3.00,2.13,0.40,0.79,3.00,-0.0776,-0.2052,0.2387,-0.0471,-0.8300,0.3692,0.6308,0.5854,6.52,4.15,7.66,0.20,2.61,592.80,0.24,1.28,235.783,8.2x,-2.3x,36.2x,0.4x,1.9x,-1.0x,0.4x,0,6.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,IAMGold Corporation,3.80,2.52,1.92,0.15,3.80,-0.3898,-0.8237,0.2820,-0.2317,-2.8400,0.4040,0.5960,0.6778,24.20,0.49,16.24,0.03,3.02,398.72,0.28,1.31,112.247,3.9x,-6.1x,221.6x,0.2x,0.6x,-2.1x,0.2x,0,4.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,IAMGold Corporation,5.18,4.12,3.34,1.59,5.18,0.0232,0.0533,0.2903,0.0182,0.1700,0.3321,0.6679,0.4973,-5.83,1.34,4.35,0.28,4.26,365.55,0.29,1.21,348.328,9.2x,-2.5x,14.0x,0.6x,1.7x,-2.8x,0.8x,0,6.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,IAMGold Corporation,5.02,4.16,2.87,1.28,5.02,0.1762,0.4581,0.2760,0.1287,1.3600,0.2824,0.7176,0.3935,263.35,0.58,1.35,0.26,4.71,473.84,0.28,1.18,"1,046.485",2.9x,4.0x,4.5x,0.7x,2.2x,5.3x,1.0x,0,8.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,IAMGold Corporation,4.78,3.57,2.71,0.84,4.78,-0.0101,-0.0254,0.2805,-0.0050,-0.0920,0.2950,0.7050,0.4184,0.42,20.33,4.80,0.16,3.55,694.36,0.28,1.29,331.963,4.4x,22.4x,-12.2x,0.4x,1.3x,-154.6x,0.6x,0,7.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,IAMGold Corporation,4.75,3.59,3.12,1.36,4.75,-0.1706,-0.3873,0.2758,-0.1031,-1.0400,0.3737,0.6263,0.5967,-73.96,78.91,10.59,0.25,3.28,332.92,0.28,1.07,176.984,10.6x,-30.3x,-16.4x,0.5x,1.5x,-16.3x,0.7x,0,5.9,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,IAMGold Corporation,4.17,3.19,2.81,1.04,4.17,0.0167,0.0343,0.2989,0.0142,0.1000,0.3873,0.6127,0.6320,-495.94,0.78,4.68,0.22,3.03,498.49,0.30,1.17,437.331,5.3x,-11.6x,-20.7x,0.5x,1.2x,-5.4x,0.7x,0,6.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,IAMGold Corporation,1.64,1.12,0.94,0.49,1.64,-0.1098,-0.2906,0.2204,-0.0642,-0.2300,0.4166,0.5834,0.7140,-15.73,32.76,13.73,0.17,2.69,302.30,0.22,2.37,152.376,5.3x,22.3x,26.9x,0.4x,1.1x,"-1,143.0x",0.6x,0,4.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,IAMGold Corporation,2.35,2.04,0.63,0.63,2.35,-0.0318,-0.0731,0.2167,-0.0119,-0.1500,0.5013,0.4987,1.0052,3.91,123.85,12.46,0.18,4.06,380.04,0.22,1.10,241.003,11.4x,35.6x,-1.6x,0.6x,2.1x,-25.5x,0.6x,0,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
