Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Ivanhoe Mines Ltd.,6.26,6.22,3.75,-5.05,6.26,-1.6268,#DIV/0!,0.0000,-1.6692,-0.7200,0.2098,0.7902,0.2655,-310.20,107.75,-0.29,-3.21,0.00,0.00,0.00,0.00,-218.977,-5.5x,-5.3x,-3.6x,2.0x,NA,-6.1x,2.3x,,-5.9,1,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Ivanhoe Mines Ltd.,6.73,6.68,4.10,-6.39,6.73,-1.1028,#DIV/0!,0.0000,-1.0102,-0.3300,0.2002,0.7998,0.2504,492.53,392.02,-0.23,-3.41,0.00,0.00,0.00,0.00,-251.798,-1.4x,-0.7x,-2.0x,1.4x,NA,-1.5x,1.8x,,-5.1,3,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Ivanhoe Mines Ltd.,28.05,27.97,18.78,-2.88,28.05,0.7155,#DIV/0!,0.0000,0.6738,1.2800,0.0428,0.9572,0.0447,998.55,65.81,-0.79,-1.03,1.73,0.00,0.00,0.00,-77.033,-2.3x,-2.1x,-0.9x,0.6x,NA,-6.1x,0.9x,,28.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Ivanhoe Mines Ltd.,22.33,22.26,16.76,-1.82,22.33,-0.0336,#DIV/0!,0.0000,-0.0459,-0.0550,0.0459,0.9541,0.0481,-3.61,1.80,-0.85,-0.67,2.65,0.00,0.00,0.00,-72.236,-12.1x,-11.2x,-9.0x,1.1x,NA,2.1x,1.4x,,26.6,1,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Ivanhoe Mines Ltd.,7.86,7.80,6.94,-1.47,7.86,0.1405,#DIV/0!,0.0000,0.1840,0.2700,0.0471,0.9529,0.0494,6.98,1.31,0.27,-0.64,1.13,0.00,0.00,0.00,280.821,-28.9x,-27.1x,109.8x,2.4x,NA,-65.7x,2.5x,,26.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Ivanhoe Mines Ltd.,19.78,19.74,19.27,-0.49,19.78,0.0143,#DIV/0!,0.0000,0.0103,0.0420,0.0350,0.9650,0.0363,-0.61,0.30,-1.72,-0.22,0.00,0.00,0.00,0.00,-52.378,2.0x,2.1x,10.0x,0.6x,NA,9.6x,0.9x,,34.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Ivanhoe Mines Ltd.,22.29,22.25,21.86,-0.38,22.29,0.0081,#DIV/0!,0.0000,0.0047,0.0230,0.0335,0.9665,0.0346,-0.84,0.17,-1.60,-0.15,0.00,0.00,0.00,0.00,-66.403,-49.5x,-45.9x,-17.9x,1.3x,NA,74.8x,1.6x,,35.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Ivanhoe Mines Ltd.,14.37,14.33,11.41,-2.63,14.37,-0.0085,#DIV/0!,0.0000,-0.0160,-0.0210,0.0333,0.9667,0.0345,-1.48,0.77,-0.93,-0.75,0.00,0.00,0.00,0.00,-110.128,-59.5x,-56.8x,-32.4x,2.6x,NA,-810.6x,2.7x,,34.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Ivanhoe Mines Ltd.,21.49,21.46,19.03,-0.22,21.49,0.0232,#DIV/0!,0.0000,0.0141,0.0580,0.2614,0.7386,0.3539,-1.45,0.11,-8.25,-0.01,0.00,0.00,0.00,0.00,-129.001,-85.3x,-78.2x,-76.2x,3.4x,NA,"2,501.7x",4.0x,,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Ivanhoe Mines Ltd.,9.86,9.84,8.89,2.63,9.86,0.1446,#DIV/0!,0.0000,0.1094,0.4600,0.2842,0.7158,0.3971,1.34,1.30,-13.20,0.16,0.00,0.00,0.00,0.00,-115.734,-110.7x,-104.2x,-63.1x,3.4x,NA,28.4x,4.0x,,7.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
