Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Labrador Iron Ore Royalty Corp,1.39,1.39,0.82,1.91,1.39,0.2551,1.0701,0.1793,0.1919,2.3300,0.2479,0.7521,0.3297,920.77,599.46,#DIV/0!,0.63,#DIV/0!,3.88,0.18,5.65,0,NA,14.3x,23.2x,3.8x,10.9x,16.3x,3.8x,0,8.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Labrador Iron Ore Royalty Corp,2.18,2.18,1.26,4.10,2.18,0.1802,0.8893,0.1602,0.1425,1.6300,0.2097,0.7903,0.2653,328.16,291.13,#DIV/0!,0.74,#DIV/0!,4.71,0.16,3.59,0,NA,4.9x,13.0x,1.9x,3.7x,8.6x,2.0x,1.65,9.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Labrador Iron Ore Royalty Corp,2.21,2.21,1.20,2.93,2.21,0.0961,0.5388,0.1421,0.0765,0.8500,0.2032,0.7968,0.2550,304.90,239.63,#DIV/0!,0.41,#DIV/0!,4.95,0.14,4.09,0,NA,-1.0x,12.6x,1.0x,-0.7x,10.8x,1.1x,1,9.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Labrador Iron Ore Royalty Corp,2.61,2.61,0.99,2.64,2.61,0.1339,0.6805,0.1559,0.1061,1.2200,0.2078,0.7922,0.2623,468.26,272.42,#DIV/0!,0.41,#DIV/0!,2.99,0.16,2.96,0,NA,7.1x,19.4x,2.1x,5.2x,23.5x,2.1x,1,9.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Labrador Iron Ore Royalty Corp,1.67,1.67,0.82,3.37,1.67,0.2742,0.9939,0.2109,0.2096,2.4600,0.2355,0.7645,0.3081,513.34,446.42,#DIV/0!,0.94,#DIV/0!,3.76,0.21,4.78,0,NA,8.7x,11.9x,2.9x,6.4x,11.1x,3.1x,2.2,9.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Labrador Iron Ore Royalty Corp,2.49,2.49,1.58,2.92,2.49,0.2175,0.9861,0.1706,0.1683,2.0100,0.2262,0.7738,0.2924,263.50,256.55,#DIV/0!,0.86,#DIV/0!,2.81,0.17,1.71,0,NA,9.2x,40.7x,2.5x,6.8x,12.6x,2.6x,2.4,9.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Labrador Iron Ore Royalty Corp,1.33,1.33,0.91,2.62,1.33,0.3821,1.1592,0.2384,0.2764,3.2100,0.2768,0.7232,0.3828,217.40,199.44,#DIV/0!,1.09,#DIV/0!,4.90,0.24,6.29,0,NA,6.2x,10.1x,2.7x,4.7x,7.8x,2.8x,4.2,8.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Labrador Iron Ore Royalty Corp,1.23,1.23,0.80,1.31,1.23,0.4011,1.1251,0.2453,0.2760,3.5500,0.3120,0.6880,0.4535,763.32,480.64,#DIV/0!,0.68,#DIV/0!,3.46,0.25,6.51,0,NA,9.7x,28.7x,3.4x,7.3x,10.4x,3.4x,7.3,8.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Labrador Iron Ore Royalty Corp,1.29,1.29,0.80,3.91,1.29,0.6733,1.3589,0.3541,0.4811,5.9300,0.2854,0.7146,0.3993,"1,715.53","1,553.75",#DIV/0!,1.79,#DIV/0!,5.63,0.35,9.45,0,NA,7.7x,8.3x,4.1x,5.9x,6.4x,4.3x,4.6,9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Labrador Iron Ore Royalty Corp,1.53,1.53,0.74,3.41,1.53,0.4164,1.1426,0.2813,0.3215,4.1500,0.2280,0.7720,0.2954,613.67,341.73,#DIV/0!,0.98,#DIV/0!,5.45,0.28,8.03,0,NA,6.8x,18.7x,3.1x,5.2x,7.5x,3.1x,2.8,9.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
