Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Lithium Americas Corp,18.80,18.58,18.50,-7.56,18.80,0.0343,0.3863,0.0774,0.0299,0.0240,0.1285,0.8715,0.1474,19.87,"1,194.50",-0.41,-2.32,0.00,0.94,0.08,0.11,-4.983,-2.8x,-2.8x,-2.5x,1.3x,NA,-5.7x,2.3x,,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Lithium Americas Corp,4.08,4.02,3.74,-2.83,4.08,-0.0616,-1.1718,0.0455,-0.0534,-0.0670,0.1343,0.8657,0.1552,-35.62,66.59,-0.52,-1.66,0.00,0.94,0.05,0.19,-7.083,-8.8x,-8.8x,-3.3x,2.0x,NA,13.3x,2.4x,,4.4,1,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Lithium Americas Corp,1.14,1.07,0.89,-1.08,1.14,-0.1240,-8.1621,0.0135,-0.1102,-0.3800,0.1113,0.8887,0.1252,9.10,7.50,-1.18,-0.88,0.00,0.94,0.01,1.10,-8.643,-9.8x,-9.7x,-5.0x,2.7x,NA,-9.5x,3.2x,,8.8,0,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Lithium Americas Corp,5.76,5.46,4.46,-5.43,5.76,-0.5228,-24.0185,0.0204,-0.4896,-0.5000,0.0635,0.9365,0.0678,33.39,12.27,-0.25,-3.41,3.23,0.94,0.02,0.11,-15.252,-15.9x,-15.1x,-14.3x,3.2x,913.1x,-8.7x,3.5x,,12.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Lithium Americas Corp,16.44,15.88,14.87,-3.47,16.44,-0.3057,-7.7512,0.0378,-0.2930,-0.5500,0.0416,0.9584,0.0434,-52.93,27.52,-0.19,-2.73,2.56,4.22,0.04,0.07,-30.605,-33.0x,-31.6x,-36.8x,6.3x,170.7x,-25.6x,7.0x,,26.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Lithium Americas Corp,13.96,13.48,12.38,-5.52,13.96,-0.3435,-7.1545,0.0380,-0.2720,-0.2100,0.2084,0.7916,0.2632,-15.96,24.96,-0.98,-0.86,0.00,2.03,0.04,0.09,-30.02,-9.1x,-8.8x,-10.3x,2.5x,61.7x,-11.5x,3.0x,,4.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Lithium Americas Corp,6.20,6.12,5.58,-1.18,6.20,0.3237,12.4395,0.0141,0.1759,0.7800,0.4567,0.5433,0.8406,-27.68,7.12,-7.34,-0.13,0.00,2.03,0.01,0.05,-23.729,-19.2x,-18.0x,-19.8x,1.1x,-88.0x,4.5x,1.7x,,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Lithium Americas Corp,17.63,17.49,16.91,-3.53,17.63,-0.1900,-8.5490,0.0130,-0.1109,-0.4900,0.4163,0.5837,0.7133,14.65,0.30,-4.33,-0.23,0.00,2.03,0.01,0.03,-39.926,-43.0x,-41.5x,-11.2x,5.5x,NA,-39.0x,11.9x,,5.6,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Lithium Americas Corp,64.51,64.35,61.85,-6.44,64.51,-0.0718,-9.0245,0.0052,-0.0471,-0.4100,0.3438,0.6562,0.5240,3.05,0.25,-5.53,-0.19,0.00,2.03,0.01,0.01,-64.257,-67.1x,-66.0x,-94.2x,4.5x,NA,-62.3x,6.6x,,8.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Lithium Americas Corp,18.13,18.07,9.90,-3.32,18.13,-0.1193,-23.4908,0.0039,-0.0920,-0.9500,0.2288,0.7712,0.2966,-28.55,3.06,-3.02,-0.28,0.00,2.03,0.00,0.01,-104.222,-36.7x,-35.9x,-63.8x,2.9x,NA,-32.5x,3.9x,,7.6,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
