Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Lundin Gold Inc,306.70,-723.45,306.19,-2.09,306.70,-0.0122,-0.0006,20.0795,-0.0122,-0.0190,0.0033,0.9967,0.0033,-2.10,0.00,-0.01,-2.09,0.00,16.76,20.08,20.15,-5.929,NA,-61.1x,-69.3x,1.4x,NA,-202.0x,2.4x,,317.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Lundin Gold Inc,12.63,1.03,12.51,-0.20,12.63,-0.0024,-0.0019,1.2374,-0.0024,-0.0470,0.0203,0.9797,0.0207,-4.14,0.03,-1.26,-0.18,0.03,16.76,1.24,5.96,-5.929,NA,-94.5x,-109.7x,19.6x,NA,-110.5x,20.5x,,54.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Lundin Gold Inc,3.88,-5.83,3.78,-7.65,3.88,-0.1737,-0.1380,1.2283,-0.1695,-0.6200,0.0244,0.9756,0.0250,-420.24,1.34,-0.14,-6.63,0.62,16.76,1.23,20.13,-64.906,NA,-6.8x,-7.9x,0.9x,NA,-9.2x,1.0x,,43,1,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Lundin Gold Inc,1.12,-5.81,1.04,-7.01,1.12,-0.2329,-0.1851,1.2168,-0.2252,-0.7800,0.0328,0.9672,0.0340,-571.85,1.72,-0.17,-6.26,0.60,16.76,1.22,332.16,-73.361,-8.3x,-8.1x,-9.7x,1.4x,NA,-9.0x,1.6x,,30.7,1,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Lundin Gold Inc,2.28,-0.62,1.67,-1.36,2.28,-0.1752,-0.1135,0.7525,-0.0854,-0.4300,0.5125,0.4875,1.0512,-357.69,0.80,-12.42,-0.12,0.00,16.76,0.75,13.53,-24.995,-16.2x,-16.1x,-5.0x,1.3x,NA,-9.5x,1.7x,,2.8,3,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Lundin Gold Inc,4.34,3.12,3.66,-0.70,4.34,-0.0369,-0.0661,0.3298,-0.0218,-0.1600,0.4093,0.5907,0.6930,-5.75,1.13,-18.34,-0.08,0.00,16.76,0.33,2.18,-30.85,-34.9x,-34.3x,-3.4x,0.9x,NA,-43.1x,1.3x,,4.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Lundin Gold Inc,1.28,0.78,0.65,-0.18,1.28,-0.2548,-0.3389,0.2491,-0.0844,-0.7000,0.6687,0.3313,2.0182,-68.47,0.65,-35.93,-0.02,0.00,16.76,0.25,10.70,-34.044,-83.8x,-76.2x,-4.7x,1.6x,NA,-14.1x,2.8x,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Lundin Gold Inc,1.24,0.99,0.34,0.49,1.24,-0.0804,-0.1317,0.2379,-0.0313,-0.2600,0.6102,0.3898,1.5651,0.62,1.56,4.43,0.12,2.22,3.85,0.24,6.33,263.634,33.2x,50.1x,-15.1x,2.0x,16.3x,-22.8x,3.3x,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Lundin Gold Inc,1.70,1.43,0.84,1.34,1.70,0.2719,0.3019,0.4352,0.1314,1.2100,0.5167,0.4833,1.0690,-7.72,2.94,2.03,0.48,3.18,7.60,0.44,3.38,542.118,5.5x,7.2x,7.5x,1.6x,3.3x,10.0x,2.5x,,6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Lundin Gold Inc,1.44,1.24,0.82,0.97,1.44,0.0863,0.0902,0.4888,0.0441,0.4200,0.4894,0.5106,0.9586,-6.43,2.59,1.75,0.52,3.51,9.44,0.49,4.19,630.364,7.0x,9.7x,9.4x,2.1x,4.0x,40.2x,3.5x,0.52,6.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
