Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Lundin Mining Corporation,1.72,1.47,0.67,0.89,1.72,0.0373,0.1879,0.1642,0.0309,0.2500,0.1720,0.8280,0.2078,-65.15,1.72,3.82,0.20,10.31,8.52,0.16,5.77,211.823,14.4x,"1,103.8x",-9.3x,0.7x,3.6x,32.7x,0.7x,,8.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Lundin Mining Corporation,2.22,1.76,0.49,0.53,2.22,0.0243,0.1184,0.1298,0.0168,0.2200,0.3669,0.6331,0.5795,-3.58,0.49,10.53,0.07,3.82,2.64,0.13,2.19,295.72,17.1x,103.2x,-10.6x,0.8x,4.4x,22.4x,0.8x,,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Lundin Mining Corporation,2.98,2.52,1.74,2.23,2.98,-0.0692,-0.1728,0.2510,-0.0416,-0.6100,0.3735,0.6265,0.5962,2.37,8.01,3.88,0.28,6.65,12.06,0.25,2.69,905.45,4.0x,23.6x,10.5x,0.5x,1.5x,18.0x,0.5x,,5.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Lundin Mining Corporation,6.77,6.31,2.01,1.02,6.77,-0.1824,-0.4281,0.2516,-0.1026,0.1700,0.4094,0.5906,0.6933,-2.63,4.55,4.21,0.14,5.30,5.33,0.25,0.75,802.582,8.8x,-28.9x,11.8x,0.9x,3.0x,-7.5x,1.1x,,6.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Lundin Mining Corporation,4.17,3.81,2.90,1.67,4.17,0.1027,0.2053,0.3305,0.0799,0.6400,0.3397,0.6603,0.5144,-13.98,1.51,2.07,0.42,4.55,6.74,0.33,1.22,"1,297.313",4.3x,6.0x,9.7x,0.8x,2.1x,12.5x,1.4x,0.12,7.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Lundin Mining Corporation,2.92,2.59,1.65,0.96,2.92,0.0467,0.1135,0.2908,0.0363,0.3700,0.2934,0.7066,0.4152,-9.71,1.00,2.91,0.27,6.02,6.87,0.29,1.82,815.364,3.3x,5.3x,-22.5x,0.5x,1.4x,10.1x,0.8x,0.12,7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Lundin Mining Corporation,1.44,1.08,0.41,0.93,1.44,0.0389,0.0884,0.2736,0.0273,0.3000,0.3787,0.6213,0.6096,-9.60,2.45,4.58,0.22,4.92,8.24,0.27,7.16,742.238,9.9x,21.8x,-15.5x,1.1x,2.9x,44.3x,1.2x,0.12,5.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Lundin Mining Corporation,1.43,0.99,0.24,0.96,1.43,0.0375,0.0827,0.2892,0.0268,0.2900,0.3630,0.6370,0.5698,-10.29,1.05,3.71,0.22,4.31,7.53,0.29,8.15,879.634,11.1x,20.1x,-139.8x,1.5x,3.5x,44.6x,1.7x,0.16,5.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Lundin Mining Corporation,1.94,1.65,0.75,1.89,1.94,0.1563,0.2344,0.4359,0.1151,1.3400,0.3462,0.6538,0.5296,-36.80,5.98,1.61,0.56,6.32,6.56,0.44,4.50,"2,079.067",4.3x,5.8x,8.5x,1.2x,2.1x,8.6x,1.3x,0.36,7.2,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Lundin Mining Corporation,1.28,0.97,0.20,0.92,1.28,0.0787,0.1404,0.3721,0.0567,0.7600,0.3362,0.6638,0.5065,-14.58,3.90,2.82,0.32,5.81,7.06,0.37,11.32,"1,319.836",7.1x,12.6x,-57.4x,1.2x,2.3x,14.9x,1.3x,0.36,6.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
