Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,MAG Silver Corp,32.25,32.25,30.14,-6.74,32.25,-0.2897,#DIV/0!,0.0000,-0.2759,-0.5200,0.0476,0.9524,0.0500,-143.80,62.67,-0.68,-1.11,#DIV/0!,#DIV/0!,0.00,0.00,-7.945,-32.3x,-22.7x,-23.2x,2.4x,NA,-16.0x,2.6x,,22.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,MAG Silver Corp,158.98,158.98,156.61,-9.14,158.98,-0.0976,#DIV/0!,0.0000,-0.0952,-0.2900,0.0250,0.9750,0.0256,-71.27,31.87,-0.50,-1.19,#DIV/0!,#DIV/0!,0.00,0.00,-9.787,-55.2x,-55.0x,-50.2x,2.8x,NA,-24.8x,3.3x,,44.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,MAG Silver Corp,79.59,79.59,78.80,-3.84,79.59,-0.1092,#DIV/0!,0.0000,-0.1050,-0.3400,0.0382,0.9618,0.0397,-54.10,16.48,-0.87,-0.60,#DIV/0!,#DIV/0!,0.00,0.00,-9.747,-58.1x,-29.3x,-78.2x,2.6x,NA,-30.6x,3.0x,,29.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,MAG Silver Corp,190.88,190.88,113.74,-6.06,190.88,-0.3175,#DIV/0!,0.0000,-0.3151,-0.9600,0.0075,0.9925,0.0075,-55.20,4.24,-0.20,-3.36,#DIV/0!,#DIV/0!,0.00,0.00,-9.073,-94.3x,-60.1x,-90.2x,3.3x,NA,-56.6x,3.9x,,142.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,MAG Silver Corp,171.80,171.80,171.32,-4.22,171.80,-0.0295,#DIV/0!,0.0000,-0.0292,-0.1000,0.0101,0.9899,0.0102,-4.29,2.35,-0.29,-1.75,#DIV/0!,#DIV/0!,0.00,0.00,-9.648,-119.7x,-14.4x,"1,692.7x",5.3x,NA,-20.0x,6.0x,,107.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,MAG Silver Corp,83.75,83.75,83.31,-2.52,83.75,-0.0271,#DIV/0!,0.0000,-0.0267,-0.0930,0.0169,0.9831,0.0172,-2.61,1.29,-0.45,-1.07,#DIV/0!,#DIV/0!,0.00,0.00,-11.033,-57.5x,-57.3x,-59.3x,2.3x,NA,-103.6x,2.9x,,65,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,MAG Silver Corp,85.14,85.14,84.72,-3.75,85.14,-0.0206,#DIV/0!,0.0000,-0.0202,-0.0670,0.0163,0.9837,0.0166,-2.78,1.29,-0.44,-0.90,#DIV/0!,#DIV/0!,0.00,0.00,-10.613,-94.7x,-93.8x,-85.0x,4.3x,NA,-141.2x,4.7x,,65.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,MAG Silver Corp,105.94,105.94,104.38,-6.90,105.94,-0.0224,#DIV/0!,0.0000,-0.0220,-0.0990,0.0199,0.9801,0.0203,-11.60,12.41,-0.76,-0.97,#DIV/0!,#DIV/0!,0.00,0.00,-10.713,-205.2x,-203.2x,-151.9x,6.0x,NA,-131.9x,6.4x,,54.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,MAG Silver Corp,36.87,36.87,35.25,-4.17,36.87,0.0164,#DIV/0!,0.0000,0.0162,0.0800,0.0130,0.9870,0.0132,37.35,265.63,-0.43,-1.39,#DIV/0!,#DIV/0!,0.00,0.00,-14.412,-110.5x,-110.2x,-83.8x,4.8x,NA,387.4x,4.9x,,81.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,MAG Silver Corp,11.98,11.98,11.25,-3.27,11.98,0.0439,#DIV/0!,0.0000,0.0433,0.2400,0.0150,0.9850,0.0153,29.64,18.22,-0.49,-1.42,#DIV/0!,#DIV/0!,0.00,0.00,-16.92,-76.0x,-41.3x,-65.7x,3.2x,NA,74.7x,3.3x,,70.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
