Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Methanex Corporation,2.18,1.73,0.98,0.79,2.18,0.1728,0.1088,0.7338,0.0915,3.6700,0.5376,0.4624,1.1628,-9.60,6.41,3.36,0.26,7.06,7.09,0.73,3.45,699.593,9.5x,15.1x,22.6x,2.2x,2.2x,92.3x,3.9x,0.4249,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Methanex Corporation,2.06,1.68,1.16,0.98,2.06,0.2214,0.1410,0.6750,0.1060,5.5400,0.5700,0.4300,1.3258,-18.86,10.20,3.41,0.29,7.91,10.10,0.68,3.72,923.651,6.3x,7.7x,76.0x,1.7x,1.5x,9.6x,2.5x,1.1581,7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Methanex Corporation,1.77,1.34,0.44,0.51,1.77,0.1019,0.0901,0.4885,0.0444,3.0700,0.5679,0.4321,1.3143,-4.05,1.11,7.04,0.11,7.34,6.34,0.49,4.94,510.181,7.5x,11.2x,-35.9x,1.2x,1.6x,9.1x,1.7x,1.5262,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Methanex Corporation,1.69,1.23,0.37,0.37,1.69,-0.0069,-0.0063,0.4386,-0.0062,-0.1900,0.6038,0.3962,1.5240,-0.56,1.63,12.28,0.08,6.31,5.30,0.44,4.77,300.792,31.5x,-93.6x,-394.9x,1.6x,2.8x,-140.3x,2.5x,1.4771,5.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Methanex Corporation,1.66,1.25,0.50,1.04,1.66,0.1812,0.1033,0.6638,0.0814,4.5800,0.6215,0.3785,1.6421,-6.77,5.36,4.04,0.27,7.72,6.74,0.66,6.18,890.962,10.2x,16.3x,13.8x,2.0x,2.3x,18.6x,3.3x,1.5086,6.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Methanex Corporation,1.20,0.83,0.24,0.94,1.20,0.3147,0.1269,0.9726,0.1428,9.6500,0.6078,0.3922,1.5494,-10.00,3.14,2.65,0.35,8.78,10.70,0.97,21.90,"1,445.34",5.0x,6.6x,9.7x,1.6x,1.3x,7.9x,2.6x,1.8018,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Methanex Corporation,1.90,1.47,0.64,0.80,1.90,0.0538,0.0267,0.6319,0.0224,1.4900,0.6863,0.3137,2.1874,-2.00,0.84,9.62,0.14,9.66,9.55,0.63,5.62,481.583,8.2x,15.0x,18.0x,1.2x,1.2x,12.3x,2.1x,1.8698,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Methanex Corporation,2.08,1.68,1.09,0.60,2.08,-0.1087,-0.0591,0.4652,-0.0220,-2.6200,0.7469,0.2531,2.9516,0.14,0.81,24.11,0.11,7.35,7.89,0.47,3.19,224.497,27.5x,-109.0x,124.5x,1.3x,2.3x,-29.0x,2.9x,0.1909,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Methanex Corporation,2.06,1.59,0.97,1.03,2.06,0.2468,0.1093,0.7249,0.0913,8.0200,0.6790,0.3210,2.1153,-5.65,2.07,4.30,0.24,7.09,9.64,0.72,4.30,"1,215.871",7.0x,10.6x,20.2x,1.1x,1.3x,11.8x,1.9x,0.6323,6.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Methanex Corporation,1.99,1.52,0.91,1.05,1.99,0.1456,0.0821,0.6501,0.0697,6.7100,0.6336,0.3664,1.7296,-5.99,4.26,4.86,0.23,7.65,10.57,0.65,4.62,"1,170.281",6.4x,9.1x,32.9x,1.1x,1.3x,9.2x,1.5x,0.9478,6.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
