Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Newcrest Mining Ltd,1.49,0.47,0.07,1.23,1.49,-0.5782,-1.5319,0.2211,-0.3385,-7.2900,0.4142,0.5858,0.7070,72.80,0.67,5.32,0.16,3.11,42.42,0.22,8.28,"1,282.171",5.9x,126.8x,-9.2x,0.7x,2.5x,-2.7x,0.7x,,3.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Newcrest Mining Ltd,1.93,0.71,0.21,1.58,1.93,-0.2882,-0.5498,0.2973,-0.1630,-2.9100,0.4328,0.5672,0.7629,17.66,0.47,3.94,0.18,3.87,42.08,0.30,6.61,"1,502.778",9.5x,-11.1x,41.6x,1.1x,3.2x,-2.0x,1.1x,,3.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Newcrest Mining Ltd,2.09,0.87,0.39,2.51,2.09,0.0540,0.1043,0.3053,0.0328,0.6100,0.4106,0.5894,0.6966,-6.78,0.65,3.67,0.26,4.45,30.80,0.31,6.51,"1,646.99",8.5x,"1,255.7x",12.2x,1.1x,3.2x,-13.1x,1.1x,,4.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Newcrest Mining Ltd,1.20,0.39,0.08,1.85,1.20,0.0466,0.1008,0.2944,0.0299,0.5600,0.3638,0.6362,0.5718,-5.12,0.39,3.04,0.30,4.72,33.62,0.29,24.77,"1,739.293",12.4x,25.9x,21.0x,1.7x,4.8x,43.1x,1.9x,,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Newcrest Mining Ltd,1.88,1.04,0.74,2.21,1.88,0.0409,0.0886,0.3002,0.0275,0.5200,0.3496,0.6504,0.5374,-5.78,2.69,2.66,0.36,4.57,59.95,0.30,5.94,"1,977.528",8.9x,16.9x,17.8x,1.5x,3.9x,31.8x,1.6x,,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Newcrest Mining Ltd,2.57,1.72,1.46,2.20,2.57,0.0271,0.0567,0.3103,0.0182,0.3500,0.3500,0.6500,0.5385,-4.80,1.17,2.95,0.36,4.93,89.05,0.31,3.49,"1,790.526",9.8x,27.4x,22.4x,1.5x,3.9x,58.8x,1.7x,,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Newcrest Mining Ltd,2.93,2.22,1.97,1.83,2.93,0.0735,0.1499,0.3161,0.0471,0.9600,0.3553,0.6447,0.5512,-13.21,1.78,2.50,0.35,4.60,40.67,0.32,2.38,"2,202.865",11.4x,24.0x,21.7x,1.9x,4.9x,38.2x,2.3x,,5.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Newcrest Mining Ltd,2.90,2.23,1.77,1.80,2.90,0.0751,0.1650,0.2962,0.0480,1.1300,0.3496,0.6504,0.5374,-13.31,0.79,2.45,0.32,4.68,20.22,0.30,2.52,"2,563.111",10.2x,17.0x,30.9x,1.8x,4.7x,29.4x,2.1x,,5.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Newcrest Mining Ltd,2.98,2.39,1.97,2.42,2.98,0.1150,0.2544,0.3110,0.0791,1.7700,0.3119,0.6881,0.4534,-29.27,4.86,1.95,0.50,4.99,35.75,0.31,2.43,"2,919.611",6.3x,9.0x,19.2x,1.3x,3.3x,14.5x,1.5x,,6.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Newcrest Mining Ltd,1.49,0.91,0.52,1.54,1.49,0.0748,0.2073,0.2424,0.0502,1.3300,0.3280,0.6720,0.4881,-23.76,1.76,2.94,0.30,4.51,58.43,0.24,7.89,"2,493.461",6.4x,10.5x,132.8x,1.0x,3.0x,14.4x,1.1x,1.0298,5.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
