Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Newmont Goldcorp Corp,1.78,0.98,0.57,0.56,1.78,-0.1963,-0.3012,0.3419,-0.1136,-5.5400,0.4754,0.5246,0.9062,12.47,1.09,3.73,0.13,2.01,17.46,0.34,3.92,"3,331.561",5.4x,8.3x,25.9x,0.9x,2.1x,-15.2x,1.0x,,1.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Newmont Goldcorp Corp,2.47,1.58,1.09,0.65,2.47,0.0388,0.0745,0.2737,0.0189,1.5100,0.4747,0.5253,0.9036,-3.48,1.42,4.61,0.12,1.91,36.66,0.27,2.10,"2,970.45",7.2x,16.0x,24.8x,0.9x,2.2x,-13.7x,0.9x,,1.2,7,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Newmont Goldcorp Corp,3.52,2.57,1.67,1.51,3.52,0.0154,0.0362,0.2421,0.0032,-0.0027,0.4313,0.5687,0.7583,-1.86,4.12,5.33,0.20,2.68,75.12,0.24,1.71,"2,820.747",5.9x,9.5x,10.3x,0.8x,2.3x,30.3x,0.8x,,1.1,5,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Newmont Goldcorp Corp,2.67,1.88,1.57,1.30,2.67,-0.0530,-0.0942,0.3176,-0.0578,-0.5700,0.4354,0.5646,0.7712,-0.11,1.45,3.55,0.25,2.63,41.75,0.32,2.28,"3,468.504",9.8x,17.7x,-18.2x,1.2x,3.7x,-172.2x,1.6x,,1.9,5,1,,,,,,,,,,,,,,,,,,,,,,,
2017,Newmont Goldcorp Corp,3.62,2.65,2.33,1.52,3.62,-0.0099,-0.0154,0.3574,-0.0053,-0.1800,0.4421,0.5579,0.7923,-5.96,3.56,3.21,0.23,2.99,59.51,0.36,2.01,"3,577.963",7.9x,14.7x,5.6x,1.4x,3.0x,244.0x,1.8x,,2.2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2018,Newmont Goldcorp Corp,2.95,2.21,1.90,1.02,2.95,0.0296,0.0470,0.3501,0.0183,0.7200,0.4443,0.5557,0.7994,-5.67,11.79,3.31,0.20,3.00,28.56,0.35,2.08,"3,800.104",7.5x,18.1x,17.0x,1.3x,2.8x,-69.4x,1.7x,,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
2019,Newmont Goldcorp Corp,2.63,1.86,0.94,1.20,2.63,0.1251,0.2880,0.2437,0.0721,5.0800,0.4392,0.5608,0.7832,-16.52,1.32,4.64,0.16,2.94,26.11,0.24,2.51,"4,910.889",11.3x,23.8x,27.6x,1.4x,4.3x,15.2x,1.7x,0.7272,1.8,5,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Newmont Goldcorp Corp,2.52,1.99,1.64,1.45,2.52,0.1185,0.2461,0.2779,0.0675,4.2200,0.4228,0.5772,0.7324,-12.41,3.22,3.08,0.28,3.01,25.61,0.28,2.24,"7,218.439",9.0x,16.7x,13.3x,1.7x,4.3x,20.0x,2.1x,2.0359,2.5,7,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Newmont Goldcorp Corp,2.90,2.23,1.88,1.61,2.90,0.0533,0.0954,0.3013,0.0057,1.7600,0.4611,0.5389,0.8555,-6.00,2.50,4.20,0.23,4.07,36.27,0.30,2.42,"5,625.894",7.8x,12.6x,13.9x,1.7x,3.9x,25.1x,2.2x,2.782,2.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Newmont Goldcorp Corp,2.23,1.63,0.98,1.10,2.23,-0.0220,-0.0360,0.3096,-0.0096,-0.7800,0.4924,0.5076,0.9701,-1.38,10.59,4.76,0.17,4.22,32.55,0.31,3.32,"5,392.783",9.5x,23.5x,24.2x,1.6x,3.2x,-84.6x,2.0x,2.9787,1.9,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
