Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,NovaGold Resources Inc,45.22,45.22,18.67,-4.48,45.22,-0.1348,#DIV/0!,0.0000,-0.1085,-0.2100,0.1953,0.8047,0.2428,4.05,0.21,-4.19,-0.17,#DIV/0!,#DIV/0!,0.00,0.00,-28.587,-32.0x,-31.4x,-18.0x,1.1x,NA,-5.4x,1.5x,,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
2014,NovaGold Resources Inc,8.79,8.79,3.66,-0.51,8.79,-0.0999,#DIV/0!,0.0000,-0.0772,-0.1500,0.2277,0.7723,0.2948,5.72,0.19,-5.42,-0.08,#DIV/0!,#DIV/0!,0.00,0.00,-25.156,-33.4x,-33.4x,-37.6x,1.6x,NA,-16.8x,2.1x,,-1.8,2,0,,,,,,,,,,,,,,,,,,,,,,,
2015,NovaGold Resources Inc,36.97,36.97,11.86,-3.01,36.97,-0.0970,#DIV/0!,0.0000,-0.0737,-0.1300,0.2405,0.7595,0.3167,6.15,0.52,-5.15,-0.10,#DIV/0!,#DIV/0!,0.00,0.00,-26.994,-55.3x,-55.2x,-62.8x,2.7x,NA,-37.6x,3.5x,,-4.4,3,0,,,,,,,,,,,,,,,,,,,,,,,
2016,NovaGold Resources Inc,35.19,35.19,9.92,-2.93,35.19,-0.1127,#DIV/0!,0.0000,-0.0829,-0.1400,0.2645,0.7355,0.3597,7.82,0.29,-5.36,-0.08,#DIV/0!,#DIV/0!,0.00,0.00,-27.056,-71.1x,-71.0x,-88.7x,3.6x,NA,-43.6x,4.7x,,-6.1,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,NovaGold Resources Inc,24.79,24.79,8.17,-2.36,24.79,-0.1374,#DIV/0!,0.0000,-0.0979,-0.1500,0.2875,0.7125,0.4036,7.90,0.30,-5.52,-0.07,#DIV/0!,#DIV/0!,0.00,0.00,-26.793,-61.9x,-61.7x,-71.9x,3.2x,NA,-35.3x,4.2x,,-7.4,1,0,,,,,,,,,,,,,,,,,,,,,,,
2018,NovaGold Resources Inc,46.28,46.28,5.74,-2.84,46.28,-0.7018,#DIV/0!,0.0000,-0.4322,-0.1300,0.3842,0.6158,0.6238,5.93,0.36,-5.43,-0.10,#DIV/0!,#DIV/0!,0.00,0.00,-24.541,-60.3x,-60.2x,-56.0x,4.3x,NA,-34.9x,7.2x,,-14.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
2019,NovaGold Resources Inc,44.98,44.98,20.21,-1.83,44.98,-0.2012,#DIV/0!,0.0000,-0.1129,-0.1100,0.4388,0.5612,0.7820,7.55,0.23,-6.62,-0.06,#DIV/0!,#DIV/0!,0.00,0.00,-21.659,-129.9x,-129.8x,-208.5x,9.0x,NA,-87.1x,15.8x,,-16.9,2,0,,,,,,,,,,,,,,,,,,,,,,,
2020,NovaGold Resources Inc,55.97,55.97,17.36,-2.86,55.97,-0.3031,#DIV/0!,0.0000,-0.1495,-0.1300,0.5067,0.4933,1.0270,7.04,0.35,-6.07,-0.09,#DIV/0!,#DIV/0!,0.00,0.00,-24.323,-187.3x,-187.2x,-37.7x,14.6x,NA,-95.9x,28.5x,,-18.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
2021,NovaGold Resources Inc,38.66,38.66,20.79,-2.25,38.66,-0.5178,#DIV/0!,0.0000,-0.2039,-0.1600,0.6063,0.3937,1.5402,6.39,0.33,-5.97,-0.08,#DIV/0!,#DIV/0!,0.00,0.00,-25.814,-109.0x,-109.0x,39.4x,10.9x,NA,-60.4x,25.9x,,-23.4,1,0,,,,,,,,,,,,,,,,,,,,,,,
2022,NovaGold Resources Inc,33.17,33.17,13.89,-2.69,33.17,-1.7839,#DIV/0!,0.0000,-0.3351,-0.2200,0.8122,0.1878,4.3235,7.38,0.41,-6.43,-0.10,#DIV/0!,#DIV/0!,0.00,0.00,-27.04,-93.5x,-93.5x,-46.0x,11.7x,NA,-37.4x,47.0x,,-32.5,1,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
