Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Nutrien Ltd,1.04,0.69,0.30,1.52,1.04,0.1854,0.2651,0.3749,0.0994,2.1900,0.4639,0.5361,0.8652,-113.36,11.64,2.82,0.39,5.42,13.47,0.37,88.59,"3,133.962",9.1x,11.4x,28.7x,2.3x,4.1x,14.4x,2.9x,,6.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Nutrien Ltd,0.88,0.59,0.10,1.19,0.88,0.1747,0.2361,0.3671,0.0867,2.1200,0.5039,0.4961,1.0159,-56.49,4.85,3.16,0.29,5.97,9.19,0.37,-25.02,"3,277.338",11.9x,16.3x,36.3x,2.6x,5.0x,21.6x,3.3x,,6.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Nutrien Ltd,0.89,0.46,0.05,1.34,0.89,0.1515,0.2193,0.3315,0.0727,1.8500,0.5202,0.4798,1.0841,-10.88,3.54,3.85,0.26,4.70,12.37,0.33,-29.85,"3,274.453",5.9x,8.1x,18.0x,1.4x,2.5x,9.7x,1.7x,,6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Nutrien Ltd,0.82,0.37,0.02,0.74,0.82,0.0394,0.0824,0.2272,0.0187,0.3200,0.5248,0.4752,1.1045,-2.34,6.67,7.46,0.14,3.96,9.18,0.23,-12.94,"1,630.183",12.7x,25.0x,175.0x,1.5x,4.1x,31.8x,1.9x,,5.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Nutrien Ltd,2.07,1.58,0.07,0.76,2.07,0.0394,0.0815,0.2359,0.0192,0.2300,0.5115,0.4885,1.0472,-0.86,1.75,6.73,0.14,3.82,10.28,0.24,2.33,"1,624.289",15.3x,34.0x,59.8x,1.7x,4.9x,88.3x,2.0x,,6.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Nutrien Ltd,1.40,0.81,0.28,0.25,1.40,0.1463,0.1903,0.4126,0.0785,-0.0680,0.4632,0.5368,0.8629,-0.74,4.24,5.60,0.10,2.72,6.84,0.41,5.64,"5,136.42",12.5x,22.3x,-14.3x,1.1x,2.4x,-64.4x,1.3x,2.3478,6.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Nutrien Ltd,1.17,0.62,0.07,0.40,1.17,0.0434,0.0514,0.4127,0.0212,2.2100,0.5113,0.4887,1.0464,-3.70,2.12,6.64,0.15,2.78,6.34,0.41,12.58,"4,682.355",9.3x,16.2x,16.7x,1.1x,2.0x,20.5x,1.2x,2.3373,5.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Nutrien Ltd,1.35,0.77,0.17,0.39,1.35,0.0205,0.0229,0.4249,0.0097,1.0300,0.5253,0.4747,1.1065,-1.81,2.64,7.67,0.13,3.00,6.64,0.42,6.71,"4,112.461",12.2x,25.6x,24.2x,1.2x,2.0x,288.3x,1.2x,2.2904,5.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Nutrien Ltd,1.11,0.60,0.04,0.31,1.11,0.1330,0.1174,0.5377,0.0636,7.0000,0.5256,0.4744,1.1079,-10.16,1.30,4.05,0.15,2.76,5.71,0.54,19.15,"8,206.8",11.2x,17.1x,40.0x,1.5x,2.3x,18.9x,1.8x,2.3267,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Nutrien Ltd,1.14,0.61,0.06,0.57,1.14,0.2962,0.2070,0.6780,0.1408,19.2600,0.5262,0.4738,1.1106,-23.32,5.96,2.49,0.28,2.83,6.61,0.68,17.95,"15,588.026",4.1x,4.8x,7.9x,1.3x,1.3x,4.8x,1.4x,2.5996,7.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
