Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,OceanaGold Corporation,1.17,0.51,0.19,1.23,1.17,-0.0809,-0.0864,0.6173,-0.0534,-0.1700,0.3402,0.6598,0.5156,2.31,0.74,1.15,0.52,3.06,25.58,0.62,25.50,281.035,2.9x,6.1x,-6.0x,0.8x,1.4x,103.1x,0.8x,,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,OceanaGold Corporation,2.08,1.08,0.60,2.52,2.08,0.1604,0.1980,0.6128,0.1213,0.4300,0.2434,0.7566,0.3217,-9.76,2.37,0.94,0.96,3.41,20.89,0.61,6.13,276.664,2.3x,-33.7x,2.8x,0.8x,1.1x,11.5x,0.8x,,7.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,OceanaGold Corporation,2.39,1.71,1.37,1.27,2.39,0.0466,0.1045,0.3290,0.0344,0.1900,0.2617,0.7383,0.3545,-5.24,3.58,1.96,0.42,2.88,21.57,0.33,2.70,285.989,5.7x,13.8x,11.2x,1.5x,2.4x,16.8x,1.7x,0,7.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,OceanaGold Corporation,0.78,0.49,0.29,0.96,0.78,0.1022,0.2171,0.3281,0.0712,0.3000,0.3030,0.6970,0.4347,-17.56,10.81,2.02,0.40,4.17,26.48,0.33,-12.03,384.954,7.3x,13.8x,-19.7x,1.2x,3.2x,15.3x,1.3x,0.05371,6.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,OceanaGold Corporation,1.00,0.56,0.32,1.59,1.00,0.1152,0.2372,0.3541,0.0840,0.3500,0.2712,0.7288,0.3722,-10.87,3.12,1.39,0.64,2.78,23.52,0.35,"3,628.32",501.996,5.6x,11.2x,-21.2x,1.1x,2.9x,12.6x,1.1x,0.01257,7.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,OceanaGold Corporation,1.38,0.78,0.59,1.89,1.38,0.0777,0.1575,0.3815,0.0601,0.2700,0.2263,0.7737,0.2925,-11.97,4.43,1.29,0.76,3.25,64.37,0.38,11.10,485.114,5.5x,10.6x,16.0x,1.3x,2.8x,11.3x,1.4x,0.0546,8.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,OceanaGold Corporation,1.07,0.35,0.24,1.01,1.07,0.0093,0.0223,0.3143,0.0070,0.0300,0.2453,0.7547,0.3250,-1.86,7.14,2.55,0.40,2.48,342.76,0.31,48.24,259.049,5.7x,19.1x,31.0x,0.8x,2.0x,73.2x,0.8x,0.02597,7.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,OceanaGold Corporation,1.15,0.75,0.67,0.75,1.15,-0.0961,-0.3007,0.2219,-0.0667,-0.3000,0.3055,0.6945,0.4399,11.14,5.88,5.94,0.29,2.53,227.34,0.22,12.26,147.473,15.5x,-10.3x,42.4x,0.9x,3.2x,-9.4x,1.0x,0,5.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,OceanaGold Corporation,1.47,0.84,0.66,1.29,1.47,-0.0024,-0.0050,0.3297,-0.0016,-0.0066,0.3143,0.6857,0.4584,1.85,6.75,2.30,0.37,2.55,40.47,0.33,7.81,389.602,5.1x,11.3x,-6.7x,0.7x,2.1x,12.7x,0.7x,0,6.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,OceanaGold Corporation,1.26,0.62,0.36,1.61,1.26,0.0792,0.1371,0.4223,0.0579,0.2500,0.2695,0.7305,0.3689,-11.68,2.53,1.69,0.60,3.44,39.97,0.42,16.31,494.733,4.9x,9.6x,59.1x,0.9x,1.9x,12.3x,1.0x,0,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
