Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Orla Mining Ltd,0.18,-67.41,0.15,-0.27,0.18,-2.1247,#DIV/0!,0.0000,-1.2798,-0.1900,0.3976,0.6024,0.6601,-869.00,74.00,-1.61,-0.27,0.00,#DIV/0!,0.00,0.00,-0.168,NA,-0.4x,-0.5x,0.1x,NA,-0.7x,0.1x,,-13.5,3,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Orla Mining Ltd,0.01,-89.78,0.01,-0.02,0.01,-0.3632,#DIV/0!,0.0000,-0.2391,-0.0280,0.3434,0.6582,0.5217,-142.00,0.00,-2.52,-0.02,0.00,#DIV/0!,0.00,0.00,-0.081,NA,-0.3x,-0.3x,0.5x,NA,-0.3x,0.5x,,-9,3,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Orla Mining Ltd,2.38,-98.04,2.31,-1.08,2.38,-0.3353,#DIV/0!,0.0000,-0.2764,-0.0190,0.1768,0.8242,0.2145,-284.00,0.01,-1.26,-1.08,0.00,#DIV/0!,0.00,0.00,-0.144,-35.7x,-22.2x,-81.7x,2.1x,NA,-13.3x,2.6x,,1.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Orla Mining Ltd,9.90,3.06,9.62,-0.92,9.90,-0.0212,#DIV/0!,0.0000,-0.0208,-0.0940,0.0194,0.9806,0.0198,-44.79,0.11,-1.48,-0.92,0.01,#DIV/0!,0.00,0.00,-1.824,NA,-181.7x,-218.9x,19.5x,NA,-182.6x,19.9x,,57.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Orla Mining Ltd,3.13,-4.80,2.72,-6.69,3.13,-0.1165,#DIV/0!,0.0000,-0.1149,-0.1500,0.0139,0.9861,0.0141,-101.00,1.32,-0.13,-6.69,0.00,#DIV/0!,0.00,0.00,-17.747,NA,-35.7x,-20.4x,2.2x,NA,-30.3x,2.3x,,76.9,1,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Orla Mining Ltd,4.72,-0.48,4.56,-6.95,4.72,-0.1686,#DIV/0!,0.0000,-0.1591,-0.1700,0.0559,0.9441,0.0592,-68.68,66.00,-0.35,-2.42,0.00,#DIV/0!,0.00,0.00,-29.694,-5.0x,-4.9x,-6.2x,0.8x,NA,-5.4x,0.9x,,19.4,1,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Orla Mining Ltd,9.77,4.35,9.71,-8.13,9.77,-0.1771,#DIV/0!,0.0000,-0.1468,-0.1600,0.1713,0.8287,0.2067,17.97,15.91,-1.26,-0.75,0.00,#DIV/0!,0.00,0.00,-26.72,-13.0x,-13.0x,-15.0x,2.3x,NA,-12.2x,2.4x,,7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Orla Mining Ltd,9.46,7.29,9.34,-2.35,9.46,-0.1725,#DIV/0!,0.0000,-0.1158,-0.1600,0.3287,0.6713,0.4896,6.11,4.61,-3.41,-0.23,0.00,#DIV/0!,0.00,0.00,-29.332,-56.1x,-55.9x,-32.2x,6.7x,NA,-49.0x,7.8x,,5.3,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Orla Mining Ltd,1.28,1.02,0.54,-0.66,1.28,-0.1425,-6.3718,0.0113,-0.0720,-0.1400,0.4946,0.5054,0.9786,19.27,12.72,-8.50,-0.14,0.14,#DIV/0!,0.01,0.39,-26.862,-39.9x,-39.7x,-9.3x,3.3x,NA,-32.7x,5.0x,,3.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Orla Mining Ltd,1.36,1.13,0.98,0.97,1.36,0.1153,0.2369,0.3148,0.0746,0.2300,0.3533,0.6467,0.5462,-12.66,0.63,1.97,0.44,2.25,#DIV/0!,0.31,5.51,149.005,13.7x,15.7x,13.7x,2.8x,7.8x,31.7x,3.7x,,6.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
