Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Osisko Gold Ro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,-0.66,#VALUE!,#VALUE!,#VALUE!,-22.31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,NA,NA,NM,NM,NA,NA,NA,,NA,0,0
2014,Osisko Gold Ro,35.83,34.14,35.65,25.26,35.83,6.3564,97.3961,0.0636,6.1977,-0.046,0.025,0.975,0.0256,-0.42,2.38,1.68,18.41,0,5.6,0.06,0.1,4.023,NA,-229.0x,-457.1x,3.7x,72.0x,-103.4x,4.5x,0,50.7,5,2
2015,Osisko Gold Ro,16.07,15.54,15.65,1.75,16.07,0.0307,0.633,0.042,0.0264,0.33,0.1333,0.8667,0.1538,2.95,0.49,7.43,0.2,0,19.29,0.04,0.18,19.398,53.9x,60.0x,79.7x,1.0x,20.8x,58.8x,1.3x,0.16,12.6,3,2
2016,Osisko Gold Ro,32.21,31.72,31.48,3.37,32.21,0.0347,0.6719,0.0443,0.0296,0.4,0.1426,0.8574,0.1664,9.84,0.98,5.18,0.26,0.02,16.57,0.04,0.13,38.995,21.6x,29.5x,61.1x,0.8x,12.4x,36.7x,1.2x,0.16,12.8,6,2
2017,Osisko Gold Ro,12.24,11.9,11.57,1.69,12.24,-0.0224,-0.1993,0.0847,-0.017,-0.33,0.2472,0.7528,0.3283,14.97,1.06,11.18,0.08,12.74,230.75,0.08,0.66,55.645,43.5x,72.7x,76.0x,1.1x,17.5x,74.7x,1.2x,0.2,7.4,3,2
2018,Osisko Gold Ro,8.59,8.34,7.58,3.57,8.59,-0.0596,-0.2153,0.2195,-0.0472,-0.67,0.2072,0.7928,0.2614,5.63,0.57,4.8,0.18,64.49,73.83,0.22,2.81,96.477,18.8x,-34.8x,-79.5x,0.9x,3.6x,-33.4x,1.0x,0.2,7.5,5,2
2019,Osisko Gold Ro,5.03,4.97,3.87,3.28,5.03,-0.1568,-0.5965,0.2016,-0.1203,-1.55,0.233,0.767,0.3039,13.52,1.87,4.49,0.2,158.74,312.33,0.2,3.49,100.984,19.7x,-8.9x,7.7x,1.2x,4.2x,-10.3x,1.3x,0.2,6,4,2
2020,Osisko Gold Ro,3.06,2.97,2.76,0.99,3.06,0.0092,0.079,0.0891,0.0068,0.1,0.232,0.768,0.302,-2.26,2.58,4.84,0.19,6.35,204.63,0.09,0.95,114.907,25.0x,-25.1x,26.5x,1.4x,13.5x,-18.8x,1.6x,0.2,7.2,6,2
2021,Osisko Gold Ro,0.44,0.39,0.33,0.31,0.44,-0.0132,-0.1047,0.0949,-0.0239,0.65,0.2491,0.7509,0.3318,-6.25,1.51,4.1,0.18,2.02,163.19,0.09,-1.16,144.214,17.4x,26.3x,29.3x,1.3x,11.4x,32.6x,1.6x,0.22,5.8,4,2
2022,Osisko Gold Ro,5.87,5.06,5.07,6.15,5.87,-0.0684,-0.5452,0.1091,-0.0918,0.83,0.1298,0.8702,0.1491,-10,0.26,1.52,0.42,1.12,108.47,0.11,2.51,170.402,21.5x,29.8x,32.0x,2.1x,16.8x,26.7x,2.3x,0.22,10.2,6,2
