Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Osisko Mining Corp,13.36,-0.13,13.28,-3.42,13.36,-0.1788,#DIV/0!,0.0000,-0.1727,-1.9900,0.0342,0.9658,0.0354,-55.95,0.85,-0.21,-3.42,0.00,#DIV/0!,0.00,0.00,-2.206,NA,NA,NM,NM,NA,NA,0.0x,,32.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Osisko Mining Corp,23.08,10.41,22.59,-8.36,23.08,-1.0548,#DIV/0!,0.0000,-1.0276,-0.7000,0.0259,0.9742,0.0266,-28.41,2.28,-0.17,-8.36,0.00,#DIV/0!,0.00,0.00,-2.819,0.1x,0.1x,NM,NM,NA,-4.2x,0.6x,,39,2,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Osisko Mining Corp,24.61,22.32,20.76,-2.11,24.61,-0.1144,#DIV/0!,0.0000,-0.1090,-0.2400,0.0474,0.9526,0.0498,-22.39,3.48,-0.89,-1.01,0.00,#DIV/0!,0.00,0.00,-6.343,0.8x,0.8x,NM,NM,NA,-19.5x,0.6x,,26,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Osisko Mining Corp,14.16,13.30,11.36,-1.64,14.16,-0.0192,#DIV/0!,0.0000,-0.0183,-0.0420,0.0449,0.9551,0.0470,-7.91,8.63,-0.93,-0.91,0.00,#DIV/0!,0.00,0.00,-13.781,-20.8x,-18.8x,-11.9x,1.1x,NA,"-1,086.0x",1.5x,,26.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Osisko Mining Corp,7.37,7.07,5.29,-0.82,7.37,-0.0421,#DIV/0!,0.0000,-0.0375,-0.0960,0.1100,0.8900,0.1236,-0.70,31.92,-2.03,-0.33,0.00,#DIV/0!,0.00,0.00,-26.064,-22.2x,-20.2x,-6.6x,1.7x,NA,-34.0x,2.0x,,12.7,1,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Osisko Mining Corp,13.49,12.89,8.60,-0.73,13.49,-0.0640,#DIV/0!,0.0000,-0.0593,-0.1500,0.0730,0.9270,0.0788,-18.02,11.77,-1.70,-0.18,0.00,#DIV/0!,0.00,0.00,-24.548,-25.2x,-24.8x,-4.0x,1.4x,NA,-29.4x,1.6x,,17.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Osisko Mining Corp,7.93,7.71,3.71,-0.13,7.93,-0.1264,#DIV/0!,0.0000,-0.1096,-0.2900,0.1534,0.8466,0.1813,-43.06,5.46,-5.17,-0.03,0.00,#DIV/0!,0.00,0.00,-21.346,-58.0x,-22.0x,-9.5x,2.1x,NA,-13.5x,2.4x,,9.5,1,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Osisko Mining Corp,7.15,7.02,4.00,0.33,7.15,-0.0284,#DIV/0!,0.0000,-0.0157,-0.0620,0.1595,0.8405,0.1898,4.80,8.04,-4.99,0.11,0.00,#DIV/0!,0.00,0.00,-26.483,-34.8x,-34.3x,-9.1x,1.4x,NA,-75.2x,1.8x,,9.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Osisko Mining Corp,10.29,10.06,7.94,0.03,10.29,-0.0327,#DIV/0!,0.0000,-0.0233,-0.0650,0.2882,0.7118,0.4050,10.83,0.62,-12.45,0.00,0.00,#DIV/0!,0.00,0.00,-22.769,-65.2x,-63.7x,-5.2x,1.7x,NA,-94.4x,1.9x,,6.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Osisko Mining Corp,5.47,5.25,2.25,0.44,5.47,-0.0083,#DIV/0!,0.0000,-0.0060,-0.0170,0.2746,0.7254,0.3786,-1.84,2.50,-13.17,0.05,0.00,#DIV/0!,0.00,0.00,-20.123,-73.7x,-71.6x,-7.5x,1.9x,NA,-256.5x,2.1x,,5.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
