Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Perseus Mining Ltd,1.65,1.07,0.67,1.42,1.65,0.0805,0.1320,0.4975,0.0709,0.0820,0.1838,0.8162,0.2253,-21.37,1.18,1.29,0.69,5.75,36.83,0.50,8.50,80.882,1.3x,1.6x,3.7x,0.4x,0.5x,4.4x,0.5x,,9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Perseus Mining Ltd,2.30,1.61,0.69,0.36,2.30,-0.0663,-0.1171,0.4701,-0.0570,-0.0650,0.1698,0.8302,0.2045,22.16,2.13,3.32,0.20,5.27,21.91,0.47,3.81,28.938,10.6x,-8.2x,-2.3x,0.4x,0.7x,-24.1x,0.5x,,9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Perseus Mining Ltd,5.67,4.51,2.73,2.25,5.67,0.1506,0.2633,0.4779,0.1321,0.1600,0.1642,0.8358,0.1965,-157.89,10.49,0.95,0.75,4.05,13.61,0.48,1.88,115.593,2.2x,6.6x,-4.4x,0.3x,0.5x,3.9x,0.4x,,11.2,9,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Perseus Mining Ltd,2.44,1.91,1.37,0.27,2.44,-0.0463,-0.1449,0.2608,-0.0398,-0.0550,0.1842,0.8158,0.2258,143.71,3.69,12.89,0.17,3.31,16.12,0.26,1.54,13.034,5.6x,19.0x,11.3x,0.8x,1.5x,40.3x,1.0x,,8.8,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Perseus Mining Ltd,1.04,0.42,0.26,0.01,1.04,-0.1122,-0.2875,0.3225,-0.0968,-0.0770,0.1733,0.8267,0.2097,-354.54,0.14,49.30,0.01,4.34,576.19,0.32,71.00,3.009,-15.6x,-2.8x,-2.4x,0.3x,1.0x,-3.7x,0.4x,,7.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Perseus Mining Ltd,1.49,0.55,0.23,0.51,1.49,-0.0362,-0.0684,0.3925,-0.0259,-0.0240,0.2584,0.7416,0.3484,5.18,5.66,2.05,0.27,1.93,708.81,0.39,5.81,118.128,5.9x,-16.1x,21.6x,0.6x,1.4x,-9.1x,0.6x,,6.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Perseus Mining Ltd,3.13,1.65,1.46,1.70,3.13,0.0089,0.0137,0.5248,0.0078,0.0061,0.1917,0.8083,0.2371,-1.97,2.93,1.27,0.79,2.72,567.57,0.52,2.78,134.765,4.7x,-47.6x,4.6x,0.8x,1.4x,233.0x,0.9x,,8.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Perseus Mining Ltd,3.30,2.24,1.99,1.94,3.30,0.1078,0.1596,0.4563,0.0729,0.0760,0.3243,0.6757,0.4799,-32.01,4.29,1.67,0.51,2.71,561.23,0.46,2.34,235.681,7.0x,20.5x,369.0x,1.4x,2.8x,25.4x,1.8x,,7.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Perseus Mining Ltd,3.24,1.80,1.46,2.42,3.24,0.1097,0.1710,0.4822,0.0989,0.0890,0.2487,0.7513,0.3309,-37.00,4.21,1.24,0.86,2.11,538.24,0.48,2.44,263.511,6.9x,11.6x,-21.0x,1.6x,2.9x,16.5x,1.7x,,8.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Perseus Mining Ltd,3.68,2.74,2.54,3.11,3.68,0.1422,0.2075,0.5660,0.1408,0.1700,0.1743,0.8257,0.2110,-31.58,6.36,0.65,1.51,3.53,974.04,0.57,2.50,472.58,4.3x,7.8x,6.0x,1.2x,1.9x,10.1x,1.5x,0.0152,11.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
