Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Russel Metals Inc.,3.50,1.52,0.30,0.37,3.50,0.0943,0.0261,1.7537,0.0458,1.3700,0.5146,0.4854,1.0601,-4.23,3.69,5.10,0.15,3.44,7.12,1.75,3.30,183.5,12.2x,14.7x,33.0x,1.7x,0.7x,23.7x,2.2x,0.7,9.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Russel Metals Inc.,2.91,1.18,0.10,0.05,2.91,0.1280,0.0319,1.8941,0.0605,2.0100,0.5276,0.4724,1.1169,-5.77,0.74,3.88,0.03,3.40,6.85,1.89,3.76,278,8.4x,9.8x,232.0x,1.4x,0.6x,13.9x,1.7x,1.52,9.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Russel Metals Inc.,3.07,1.29,0.36,0.92,3.07,-0.1008,-0.0282,1.9363,-0.0545,-1.4200,0.4593,0.5407,0.8495,1.46,1.70,7.93,0.50,3.70,9.55,1.94,3.77,93.1,7.2x,8.8x,10.8x,0.9x,0.4x,12.6x,1.0x,1.52,8.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Russel Metals Inc.,3.31,1.57,0.51,0.49,3.31,0.0761,0.0244,1.7094,0.0416,1.0200,0.4529,0.5471,0.8278,-5.48,7.68,5.54,0.25,3.39,7.33,1.71,3.15,123.3,22.7x,40.5x,5.9x,1.5x,0.7x,-16.6x,2.0x,1.52,9.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Russel Metals Inc.,2.38,1.00,0.21,-0.11,2.38,0.1497,0.0376,1.8737,0.0704,2.0000,0.5300,0.4700,1.1276,-8.50,2.85,3.93,-0.07,3.22,7.54,1.87,4.03,237.5,10.3x,12.3x,267.9x,1.6x,0.7x,15.2x,2.2x,1.52,8.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Russel Metals Inc.,2.74,1.10,0.19,0.14,2.74,0.2179,0.0526,1.9550,0.1028,3.5300,0.5283,0.4717,1.1200,-10.43,2.18,3.04,0.08,3.13,7.48,1.96,3.72,370.2,5.4x,6.0x,-20.7x,1.2x,0.5x,6.6x,1.4x,1.52,9.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Russel Metals Inc.,3.44,1.26,0.04,0.62,3.44,0.0811,0.0208,1.9097,0.0398,1.2300,0.5093,0.4907,1.0378,-3.58,4.30,5.35,0.25,3.45,8.17,1.91,3.72,183.3,7.6x,9.0x,9.7x,1.2x,0.5x,10.7x,1.4x,1.52,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Russel Metals Inc.,3.55,1.28,0.08,1.18,3.55,0.0283,0.0091,1.6841,0.0153,0.3900,0.4583,0.5417,0.8461,-1.76,1.05,8.45,0.51,3.05,8.06,1.68,3.34,86.6,26.1x,67.2x,6.5x,1.3x,0.6x,52.9x,1.5x,1.52,8.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Russel Metals Inc.,2.69,1.15,0.21,0.48,2.69,0.3462,0.1027,1.8183,0.1867,6.9000,0.4607,0.5393,0.8541,-23.31,6.89,1.66,0.29,3.05,7.77,1.82,3.90,643.7,4.2x,4.5x,4.2x,1.4x,0.6x,6.6x,1.8x,1.52,10.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Russel Metals Inc.,3.73,1.82,0.72,0.72,3.73,0.2385,0.0733,2.0227,0.1484,5.9100,0.3780,0.6220,0.6077,-20.27,8.78,1.79,0.38,4.14,10.46,2.02,3.71,529.6,4.0x,4.4x,6.8x,1.1x,0.4x,5.7x,1.4x,1.52,11.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
