Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Sandstorm Gold Ltd.,29.58,29.58,28.82,9.38,29.58,-0.1993,-1.2326,0.1576,-0.1965,-0.8300,0.0252,0.9748,0.0258,519.15,0.60,0.31,3.37,#DIV/0!,22.79,0.16,0.61,33.183,11.6x,44.3x,-11.8x,0.9x,6.4x,-16.3x,1.2x,,45.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Sandstorm Gold Ltd.,25.60,25.60,24.85,9.70,25.60,0.0273,0.2038,0.1311,0.0267,0.1200,0.0221,0.9779,0.0226,36.00,0.53,0.27,3.70,#DIV/0!,20.57,0.13,0.63,40.102,8.1x,33.7x,42.0x,0.7x,4.7x,-12.9x,0.9x,,51.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Sandstorm Gold Ltd.,1.24,1.24,0.72,4.14,1.24,-0.1069,-0.8176,0.1060,-0.0867,-0.5000,0.1896,0.8104,0.2340,408.53,1.16,3.22,0.33,#DIV/0!,13.59,0.11,29.61,40.616,8.2x,-46.2x,-7.7x,0.7x,4.6x,-21.5x,0.8x,,7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Sandstorm Gold Ltd.,6.55,6.55,5.00,9.09,6.55,0.0479,0.4049,0.1166,0.0472,0.2400,0.0142,0.9858,0.0144,-76.46,0.44,0.19,5.15,#DIV/0!,9.36,0.12,2.62,53.274,15.4x,-33.8x,-4.5x,1.1x,9.3x,"1,903.0x",1.1x,,76.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Sandstorm Gold Ltd.,5.96,5.96,1.95,6.95,5.96,0.0162,0.1543,0.1033,0.0159,0.0790,0.0140,0.9860,0.0142,-10.97,0.78,0.22,4.84,#DIV/0!,9.02,0.10,2.14,53.804,14.5x,76.6x,22.2x,1.4x,9.4x,93.0x,1.4x,,77.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Sandstorm Gold Ltd.,5.36,5.36,1.18,9.55,5.36,0.0101,0.0803,0.1242,0.0100,0.0440,0.0093,0.9907,0.0094,-6.49,2.71,0.12,8.67,#DIV/0!,14.88,0.12,3.37,61.458,15.0x,106.7x,-254.3x,1.4x,9.4x,220.7x,1.5x,,115.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Sandstorm Gold Ltd.,7.28,7.28,1.80,14.83,7.28,0.0287,0.1833,0.1435,0.0263,0.1200,0.0839,0.9161,0.0916,-9.38,1.14,0.93,1.10,#DIV/0!,11.75,0.14,3.68,73.118,22.4x,68.1x,-445.0x,2.2x,14.1x,94.7x,2.4x,,15.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Sandstorm Gold Ltd.,36.22,36.22,33.14,19.11,36.22,0.0217,0.1485,0.1431,0.0213,0.0940,0.0181,0.9819,0.0185,-14.55,0.75,0.18,5.57,#DIV/0!,11.61,0.14,0.77,83.468,20.2x,56.8x,35.5x,2.2x,13.1x,160.0x,2.3x,,61.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Sandstorm Gold Ltd.,4.57,4.57,2.20,11.04,4.57,0.0466,0.2405,0.1850,0.0445,0.1800,0.0455,0.9545,0.0476,-28.11,0.51,0.35,2.88,#DIV/0!,9.77,0.19,4.37,101.82,12.7x,23.2x,-14.9x,1.9x,9.0x,38.7x,1.9x,0.08,26.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Sandstorm Gold Ltd.,1.72,1.72,0.37,5.61,1.72,0.0544,0.5269,0.0753,0.0397,0.4600,0.2701,0.7299,0.3700,-6.33,0.47,5.08,0.20,#DIV/0!,8.14,0.08,10.87,142.161,19.7x,47.3x,-4.2x,1.1x,13.9x,21.8x,1.2x,0.08,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
