Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,SSR Mining Inc,6.54,6.06,3.99,-0.13,6.54,-0.3336,-1.3167,0.1691,-0.2227,-3.0300,0.3324,0.6676,0.4978,15.98,0.09,168.28,-0.04,3.01,4.01,0.17,0.30,2.167,-6.3x,-1.0x,-11.4x,0.2x,1.0x,-2.4x,0.7x,,1.2,2,0,,,,,,,,,,,,,,,,,,,,,,,
2014,SSR Mining Inc,4.00,2.95,1.50,0.56,4.00,-0.2182,-0.4211,0.3043,-0.1282,-1.8100,0.4127,0.5873,0.7026,4.90,2.51,12.73,0.17,1.96,11.31,0.30,0.81,37.017,4.9x,8.4x,"-1,242.7x",0.4x,1.6x,-26.4x,0.5x,,1,5,0,,,,,,,,,,,,,,,,,,,,,,,
2015,SSR Mining Inc,3.51,2.51,1.56,0.55,3.51,-0.2780,-0.3312,0.4306,-0.1426,-2.1400,0.4870,0.5130,0.9493,4.89,3.53,7.29,0.17,2.51,17.95,0.43,1.10,80.837,6.6x,-7.0x,4.0x,0.4x,0.8x,-2.9x,0.8x,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,
2016,SSR Mining Inc,4.88,3.81,2.27,1.18,4.88,0.0720,0.1323,0.3413,0.0452,0.8400,0.3731,0.6269,0.5952,-5.39,4.74,2.74,0.32,2.13,13.80,0.34,0.88,262.654,4.9x,8.7x,17.1x,0.7x,1.8x,-76.8x,1.2x,,2.1,7,1,,,,,,,,,,,,,,,,,,,,,,,
2017,SSR Mining Inc,11.19,8.63,6.43,2.03,11.19,0.0677,0.1545,0.2919,0.0465,0.7300,0.3340,0.6660,0.5015,-4.08,1.29,2.93,0.28,1.86,30.22,0.29,0.62,220.36,3.8x,7.3x,13.9x,0.6x,1.7x,16.1x,1.1x,,2.2,7,1,,,,,,,,,,,,,,,,,,,,,,,
2018,SSR Mining Inc,8.81,6.01,5.04,0.72,8.81,0.0063,0.0152,0.2766,0.0000,0.0720,0.3387,0.6613,0.5121,-1.43,0.37,4.06,0.12,1.05,37.27,0.28,0.65,173.236,9.9x,66.4x,-29.7x,1.0x,2.9x,56.5x,1.5x,,2.4,3,1,,,,,,,,,,,,,,,,,,,,,,,
2019,SSR Mining Inc,3.84,2.83,2.15,0.50,3.84,0.0906,0.1694,0.3468,0.0578,1.1000,0.3521,0.6479,0.5434,-154.77,0.77,3.02,0.19,1.47,11.20,0.35,0.91,264.943,12.1x,29.1x,-51.8x,1.5x,4.0x,68.9x,2.2x,,3.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,SSR Mining Inc,5.71,3.96,3.45,1.23,5.71,0.0394,0.1776,0.1648,0.0304,1.2800,0.2569,0.7431,0.3458,-28.33,1.91,3.56,0.23,0.96,22.18,0.16,0.73,475.534,20.7x,30.9x,"17,665.1x",1.1x,7.1x,38.6x,1.3x,,2.6,6,1,,,,,,,,,,,,,,,,,,,,,,,
2021,SSR Mining Inc,5.64,4.27,3.58,2.15,5.64,0.0908,0.2497,0.2829,0.0817,2.1500,0.2224,0.7776,0.2860,-25.00,6.24,1.49,0.53,1.53,17.12,0.28,1.12,982.197,4.9x,6.7x,10.5x,0.9x,2.6x,10.9x,1.1x,0.2529,3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,SSR Mining Inc,4.93,3.13,2.35,0.58,4.93,0.0471,0.1691,0.2185,0.0400,1.2500,0.2148,0.7852,0.2735,-86.73,1.91,3.04,0.14,1.30,18.35,0.22,1.05,502.471,9.2x,18.1x,56.0x,0.8x,3.0x,16.2x,0.9x,0.3791,2.4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
