Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Stelco Holdings Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2014,Stelco Holdings Inc,0.35,0.21,0.07,0.06,0.35,0.084,-0.1231,1.3073,-0.1609,0,2.9164,-1.9164,-1.5218,0.26,0.68,222.26,0.04,4.58,5.21,1.31,-1,19,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2015,Stelco Holdings Inc,0.24,0.15,0.05,0,0.24,0.125,-0.2888,1.1178,-0.3228,0,3.5817,-2.5817,-1.3873,1.14,0,-45.91,0,5.11,5.08,1.12,-0.54,-94,NA,NA,NM,NM,NA,NA,NA,,NA,2,0
2016,Stelco Holdings Inc,0.23,0.14,0.05,0.01,0.23,0.0718,-0.1813,1.085,-0.1967,0,3.7392,-2.7392,-1.3651,0.19,0.15,224.35,0.01,4.1,5.59,1.09,-0.49,20,NA,NA,NM,NM,NA,NA,NA,,NA,3,0
2017,Stelco Holdings Inc,2.49,1.29,0.67,-0.55,2.49,10.7968,3.3093,1.3258,4.3876,67.89,0.5936,0.4064,1.4608,-49.56,1.04,4.28,-0.28,3.17,8.11,1.33,2.91,169.5,20.2x,28.1x,-8.8x,6.7x,1.4x,0.6x,6.9x,,7.7,4,2
2018,Stelco Holdings Inc,2.06,1.25,0.76,0.67,2.06,0.4454,0.1028,1.4864,0.1529,2.85,0.6568,0.3432,1.9137,-24,4.24,3.18,0.36,4.12,9.88,1.49,4,342,3.7x,4.0x,9.7x,1.8x,0.5x,0.7x,2.9x,0.4,7.6,4,2
2019,Stelco Holdings Inc,1.75,0.83,0.49,0.03,1.75,0.0444,0.0109,1.155,0.0125,0.23,0.7177,0.2823,2.5422,-2,0.13,13.46,0.01,3.61,12.11,1.15,4.68,85,4.8x,6.3x,93.4x,1.2x,0.5x,6.3x,2.0x,0.4,5.3,3,2
2020,Stelco Holdings Inc,0.93,0.33,0.07,0,0.93,-0.5658,-0.1048,0.8527,-0.0894,-1.79,0.842,0.158,5.331,3.82,0.09,-78.84,0,2.99,8.87,0.85,-27.09,-19,-29.2x,-17.6x,-8.5x,2.9x,1.6x,-14.8x,6.1x,0.4,2.5,1,1
2021,Stelco Holdings Inc,1.6,1.11,0.76,1.28,1.6,1.1189,0.3902,1.2737,0.4971,19.08,0.5558,0.4442,1.251,-56.69,18.69,0.94,0.89,3.37,10.26,1.27,5.45,"1,912",2.5x,2.7x,3.6x,2.2x,1.0x,3.0x,3.4x,1.2,10.5,9,2
2022,Stelco Holdings Inc,1.98,1.11,0.89,0.65,1.98,0.7096,0.2879,1.106,0.3184,14.64,0.5513,0.4487,1.2285,-47.67,10.67,1.53,0.34,2.92,25.84,1.11,3.89,"1,126",2.5x,2.7x,6.0x,1.2x,0.8x,2.8x,2.0x,13.68,9.4,4,2
