Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Stella-Jones Inc.,8.97,1.90,0.05,1.61,8.97,0.1617,0.0915,0.9434,0.0863,1.3500,0.4662,0.5338,0.8734,-12.73,5.15,3.17,0.21,1.77,9.88,0.94,1.96,157.732,14.5x,16.1x,-35.2x,2.5x,2.3x,20.9x,3.4x,0.1,11.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Stella-Jones Inc.,8.46,1.82,0.04,0.93,8.46,0.1500,0.0831,0.9705,0.0807,1.5100,0.4623,0.5377,0.8598,-11.97,4.65,3.35,0.13,1.87,10.62,0.97,2.03,177.734,15.8x,17.7x,380.4x,2.5x,2.3x,22.4x,3.4x,0.28,11.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Stella-Jones Inc.,6.36,1.31,0.02,0.04,6.36,0.1548,0.0907,0.8766,0.0795,2.0500,0.4865,0.5135,0.9473,-12.88,0.23,3.53,0.01,1.56,10.05,0.88,1.83,244.903,18.1x,20.1x,-54.7x,3.0x,2.8x,27.6x,4.2x,0.32,10.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Stella-Jones Inc.,8.58,1.60,0.02,1.49,8.58,0.1499,0.0837,0.9375,0.0785,2.2200,0.4766,0.5234,0.9105,-13.06,2.36,3.49,0.19,1.76,12.90,0.94,1.98,267.729,12.9x,14.4x,55.6x,2.2x,2.0x,17.9x,3.1x,0.4,10.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Stella-Jones Inc.,7.04,1.47,0.05,2.33,7.04,0.1505,0.0890,1.0561,0.0940,2.4200,0.3754,0.6246,0.6010,-10.91,0.71,2.80,0.45,2.21,11.86,1.06,2.42,239.804,16.2x,18.8x,14.3x,2.6x,2.1x,25.9x,3.3x,0.44,11.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Stella-Jones Inc.,6.70,1.44,0.03,0.80,6.70,0.1074,0.0648,1.0299,0.0667,1.9800,0.3786,0.6214,0.6093,-10.80,4.96,3.20,0.16,2.14,11.66,1.03,2.34,244.261,13.6x,16.2x,"-1,806.0x",1.9x,1.6x,16.3x,2.2x,0.48,11.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Stella-Jones Inc.,6.55,1.21,0.03,0.49,6.55,0.1266,0.0745,0.9597,0.0715,2.3700,0.4353,0.5647,0.7710,-10.08,1.38,3.56,0.09,1.89,12.58,0.96,2.17,279,11.9x,13.9x,275.4x,1.6x,1.5x,16.4x,1.9x,0.56,10.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Stella-Jones Inc.,6.05,1.12,0.02,0.82,6.05,0.1529,0.0823,1.0515,0.0866,3.1200,0.4340,0.5660,0.7669,-12.36,2.62,3.05,0.17,1.96,13.22,1.05,2.32,345,11.1x,12.4x,26.5x,1.8x,1.5x,15.1x,2.1x,0.6,10.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Stella-Jones Inc.,5.74,1.17,0.02,1.04,5.74,0.1568,0.0825,1.0319,0.0852,3.4900,0.4567,0.5433,0.8405,-14.17,1.43,3.39,0.21,2.07,12.61,1.03,2.40,359,8.6x,9.4x,17.1x,1.5x,1.2x,10.8x,1.7x,0.72,10.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Stella-Jones Inc.,6.11,1.33,0.02,0.98,6.11,0.1548,0.0786,0.9974,0.0784,3.9300,0.4933,0.5067,0.9737,-10.88,2.38,3.72,0.17,2.05,11.35,1.00,2.31,407,10.3x,11.6x,66.4x,1.6x,1.4x,12.9x,2.0x,0.8,10.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
