Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Teck Resources Ltd A,2.67,1.88,1.28,1.33,2.67,0.0511,0.1024,0.2593,0.0279,1.6600,0.4801,0.5199,0.9235,-8.57,11.24,5.41,0.17,4.10,7.62,0.26,2.60,"3,214",5.4x,8.3x,38.7x,0.8x,2.0x,17.2x,0.9x,0.45,6.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Teck Resources Ltd A,2.04,1.31,0.84,0.95,2.04,0.0192,0.0421,0.2334,0.0104,0.6300,0.4887,0.5113,0.9558,-4.55,8.31,7.50,0.13,4.03,8.30,0.23,3.43,"2,401",5.8x,13.0x,192.8x,0.6x,1.7x,19.7x,0.5x,0.9,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Teck Resources Ltd A,2.78,1.85,1.09,1.14,2.78,-0.1487,-0.2996,0.2381,-0.0716,-4.2900,0.5204,0.4796,1.0850,14.44,2.84,9.13,0.11,4.31,7.41,0.24,2.68,"1,977",5.0x,15.1x,-48.6x,0.4x,1.3x,-1.6x,0.2x,0.1,5.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Teck Resources Ltd A,2.16,1.40,0.64,1.39,2.16,0.0591,0.1118,0.2610,0.0292,1.8000,0.5060,0.4940,1.0243,-9.39,1.11,5.40,0.17,4.13,5.87,0.26,3.63,"3,336",11.0x,-16.3x,36.0x,0.9x,2.7x,-134.0x,0.9x,0.1,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Teck Resources Ltd A,1.82,1.18,0.36,1.93,1.82,0.1230,0.2065,0.3216,0.0672,4.2600,0.4601,0.5399,0.8520,-106.78,2.57,3.04,0.30,4.39,8.39,0.32,5.58,"5,596",3.8x,5.2x,12.3x,1.0x,1.8x,7.8x,1.0x,1.8,6.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Teck Resources Ltd A,2.11,1.29,0.69,1.76,2.11,0.1350,0.2473,0.3171,0.0794,5.4100,0.4191,0.5809,0.7215,-126.28,3.12,3.06,0.27,3.84,10.65,0.32,4.49,"5,422",3.4x,4.4x,9.8x,0.7x,1.5x,4.9x,0.8x,0.6,7.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Teck Resources Ltd A,1.62,0.91,0.37,1.26,1.62,-0.0274,-0.0507,0.3033,-0.0149,-1.0800,0.4390,0.5610,0.7826,13.18,3.42,4.25,0.20,4.32,11.24,0.30,6.94,"4,066",3.2x,5.4x,23.7x,0.6x,1.2x,7.5x,0.5x,0.2,6.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Teck Resources Ltd A,1.23,0.66,0.14,0.48,1.23,-0.0417,-0.0966,0.2168,-0.0229,-1.6200,0.4983,0.5017,0.9933,11.22,2.19,10.48,0.08,4.05,6.82,0.22,11.85,"1,962",9.0x,-21.8x,-30.3x,0.7x,2.1x,-5.5x,0.6x,0.2,5.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Teck Resources Ltd A,1.62,0.99,0.38,1.26,1.62,0.1206,0.2247,0.2695,0.0615,5.8700,0.4981,0.5019,0.9925,186.52,7.96,3.86,0.20,3.16,6.44,0.27,5.45,"6,106",6.6x,11.8x,-18.8x,0.9x,2.4x,21.2x,0.9x,0.2,6.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Teck Resources Ltd A,1.41,0.96,0.32,1.36,1.41,0.1251,0.1916,0.3307,0.0630,7.7600,0.4937,0.5063,0.9750,88.93,5.75,3.03,0.31,3.26,11.34,0.33,7.13,"8,531",4.8x,5.9x,40.7x,1.2x,2.4x,8.2x,1.3x,0.5,6.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
