Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Torex Gold Resources Inc,15.40,15.39,15.13,-3.21,15.40,-0.1259,#DIV/0!,0.0000,-0.1183,-1.1700,0.0599,0.9401,0.0638,-29.36,2.83,-0.58,-1.27,0.00,#VALUE!,0.00,0.00,-61.707,NA,NA,-119.6x,0.5x,NA,NA,0.9x,,20.1,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Torex Gold Resources Inc,5.78,5.77,5.66,-1.22,5.78,-0.0380,#DIV/0!,0.0000,-0.0340,-0.4100,0.1044,0.8956,0.1166,-28.88,1.81,-3.57,-0.26,0.00,#VALUE!,0.00,0.00,-26.216,-20.5x,-19.9x,-2.6x,0.9x,NA,-20.4x,1.2x,,11.8,2,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Torex Gold Resources Inc,2.12,1.91,0.91,-0.68,2.12,-0.0367,#DIV/0!,0.0000,-0.0219,-0.4300,0.4022,0.5978,0.6729,-25.56,2.40,-90.24,-0.08,0.00,#VALUE!,0.00,0.00,-6.933,-54.8x,-51.3x,-2.7x,1.0x,NA,-17.6x,1.1x,,4.4,1,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Torex Gold Resources Inc,2.72,1.98,1.44,2.32,2.72,0.0047,0.0102,0.2591,0.0027,0.0540,0.4331,0.5669,0.7639,-2.27,6.25,4.42,0.32,2.51,#VALUE!,0.26,2.51,158.856,26.8x,71.4x,-8.3x,1.4x,7.3x,-166.6x,1.8x,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Torex Gold Resources Inc,1.28,0.75,0.38,0.62,1.28,-0.0185,-0.0400,0.2696,-0.0108,-0.2000,0.4185,0.5815,0.7196,-0.51,1.38,4.37,0.15,2.84,185.25,0.27,9.57,140.68,6.4x,15.2x,39.9x,1.0x,2.9x,32.7x,1.1x,,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Torex Gold Resources Inc,1.21,0.91,0.63,1.17,1.21,0.0305,0.0524,0.3484,0.0182,0.3800,0.4025,0.5975,0.6738,-4.18,3.01,2.70,0.44,3.93,34.60,0.35,10.65,259.21,7.1x,18.5x,22.5x,0.9x,2.9x,-252.5x,1.1x,,4.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Torex Gold Resources Inc,1.40,0.87,0.67,1.24,1.40,0.0853,0.1111,0.5211,0.0579,1.0800,0.3211,0.6789,0.4729,-7.15,1.64,1.19,0.76,2.22,106.80,0.52,6.64,431.618,5.0x,11.1x,16.3x,1.4x,2.5x,35.9x,1.7x,,6.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Torex Gold Resources Inc,1.81,1.27,0.85,1.67,1.81,0.1152,0.1381,0.6302,0.0870,1.6200,0.2446,0.7554,0.3237,-13.08,1.39,0.71,1.12,2.68,375.82,0.63,4.73,549.685,3.4x,9.8x,5.3x,1.2x,1.6x,24.6x,1.5x,,8.3,9,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Torex Gold Resources Inc,2.33,1.70,1.32,1.70,2.33,0.1379,0.1773,0.6298,0.1116,2.2400,0.1902,0.8098,0.2349,651.51,7.80,0.52,1.28,2.68,251.73,0.63,3.30,632.391,1.2x,1.9x,3.6x,0.6x,0.7x,3.7x,0.8x,,10.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Torex Gold Resources Inc,2.31,1.82,1.55,1.68,2.31,0.1463,0.2174,0.5451,0.1185,2.9800,0.1903,0.8097,0.2350,41.76,145.75,0.63,1.35,3.02,334.06,0.55,2.73,651.927,2.2x,3.7x,6.5x,0.8x,1.2x,7.5x,1.1x,,10.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
