Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Triple Flag Precious Metals Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2014,Triple Flag Precious Metals Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2015,Triple Flag Precious Metals Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2016,Triple Flag Precious Metals Corp,0,-0.01,0,-0.02,0,2.4003,#DIV/0!,0,-0.0262,0,1.0109,-0.0109,-92.7033,2.81,0.19,#DIV/0!,-0.02,0,0,0,0,0,NA,NA,NM,NM,NA,NA,NA,,NA,1,0
2017,Triple Flag Precious Metals Corp,0.05,0.05,0.01,0.06,0.05,0.9137,-0.7076,0.098,-0.0693,0,1.0759,-0.0759,-14.1824,11.26,0.99,14.17,0.06,4.79,5.7,0.1,-0.1,39.93,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2018,Triple Flag Precious Metals Corp,7.05,6.3,1.6,4.8,7.05,-0.0001,-0.0007,0.0761,-0.0001,-0.044,0.2227,0.7773,0.2865,-1.86,1.1,3.92,0.22,1.25,4.21,0.08,1.22,43.884,NA,NA,NM,NM,NA,NA,NA,,7.1,3,2
2019,Triple Flag Precious Metals Corp,11.74,11.19,2.83,10.45,11.74,-0.0232,-0.2325,0.0899,-0.0209,-0.65,0.0978,0.9022,0.1084,3.48,0.32,1.39,0.62,2.59,7.66,0.09,1.45,60.286,NA,NA,NM,NM,NA,NA,0.0x,,NA,6,0
2020,Triple Flag Precious Metals Corp,14.22,13.8,5.01,20.49,14.22,0.0545,0.4935,0.0865,0.0427,0.61,0.2168,0.7832,0.2767,-7.3,0.7,2.93,0.3,5.33,12.59,0.09,2.07,122.352,NA,NA,NM,NM,NA,NA,NA,,7.6,6,2
2021,Triple Flag Precious Metals Corp,16.2,15.9,9.1,26.85,16.2,0.0352,0.3027,0.1154,0.0349,0.39,0.0067,0.9933,0.0068,-10.16,0.37,0.07,13.66,9.84,23.83,0.12,2.21,156.15,14.0x,24.7x,28.6x,1.4x,11.8x,21.8x,1.5x,0.2403,158.8,6,2
2022,Triple Flag Precious Metals Corp,7.2,7.08,5.65,9.41,7.2,0.0418,0.3627,0.1136,0.0412,0.48,0.0139,0.9861,0.0141,-43.38,0.59,0.16,6.38,10.16,20.22,0.11,1.95,159.991,27.0x,49.8x,44.6x,2.4x,21.0x,59.3x,2.5x,0.2708,78.7,5,2
