Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,West Fraser Timber Co Ltd,1.26,0.58,0.21,0.54,1.26,0.1793,0.1005,1.1192,0.1124,4.0700,0.3727,0.6273,0.5942,-17.68,1.17,2.23,0.36,4.35,15.17,1.12,17.55,519,8.9x,12.9x,33.4x,2.1x,1.3x,17.2x,2.4x,0.14,8.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,West Fraser Timber Co Ltd,1.47,0.52,0.03,0.77,1.47,0.1276,0.0672,1.1351,0.0762,3.0600,0.4027,0.5973,0.6742,-16.63,1.31,2.38,0.35,4.33,16.41,1.14,13.25,574,10.7x,15.6x,94.1x,2.4x,1.5x,16.1x,2.7x,0.28,8.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,West Fraser Timber Co Ltd,1.60,0.56,0.02,0.50,1.60,0.0484,0.0254,1.1279,0.0286,1.2500,0.4094,0.5906,0.6931,-7.50,0.83,3.43,0.20,4.55,16.27,1.13,11.23,434,9.3x,14.7x,46.6x,1.8x,1.1x,25.8x,2.0x,0.28,8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,West Fraser Timber Co Ltd,2.04,0.78,0.11,1.50,2.04,0.1455,0.0733,1.2361,0.0906,4.0600,0.3775,0.6225,0.6064,-19.50,1.90,2.07,0.51,5.14,18.16,1.24,9.29,655,7.2x,11.1x,17.5x,1.6x,0.9x,15.9x,1.8x,0.28,9.2,9,2,,,,,,,,,,,,,,,,,,,,,,,
2017,West Fraser Timber Co Ltd,2.21,1.07,0.44,1.55,2.21,0.2186,0.1161,1.1366,0.1319,7.6300,0.3965,0.6035,0.6570,-36.25,2.48,1.67,0.50,4.66,17.34,1.14,7.25,"1,073",7.4x,9.6x,16.6x,2.0x,1.3x,12.8x,2.3x,0.44,10.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,West Fraser Timber Co Ltd,2.26,0.93,0.27,1.53,2.26,0.2797,0.1324,1.2770,0.1691,10.8800,0.3955,0.6045,0.6544,-39.29,2.48,1.44,0.48,4.57,22.83,1.28,8.16,"1,320",3.0x,3.6x,6.5x,1.3x,0.8x,4.5x,1.5x,0.8,10.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,West Fraser Timber Co Ltd,1.37,0.50,0.02,0.14,1.37,-0.0606,-0.0308,1.0448,-0.0321,-2.1800,0.4700,0.5300,0.8868,3.98,0.30,17.55,0.05,5.01,23.67,1.04,15.73,125,30.4x,-51.7x,-14.0x,1.4x,1.0x,-50.8x,1.6x,0.8,6.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,West Fraser Timber Co Ltd,2.53,1.44,0.87,1.83,2.53,0.2373,0.1345,1.0467,0.1407,10.9000,0.4069,0.5931,0.6860,-36.91,3.36,1.66,0.57,4.43,17.92,1.05,5.41,"1,304.23",7.7x,11.4x,10.0x,1.8x,1.2x,16.1x,2.1x,0.8,10.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,West Fraser Timber Co Ltd,2.67,1.79,1.30,2.95,2.67,0.3849,0.2802,1.0081,0.2825,34.1800,0.2662,0.7338,0.3627,-126.74,5.02,0.61,1.28,4.38,23.85,1.01,5.23,"5,716.94",1.9x,2.2x,2.7x,1.1x,0.9x,3.5x,1.4x,1.0116,13.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,West Fraser Timber Co Ltd,3.47,2.17,1.47,2.79,3.47,0.2592,0.2036,0.9727,0.1980,28.5200,0.2360,0.7640,0.3090,161.06,"1,103.46",0.74,0.94,4.98,33.92,0.97,4.96,"4,335.348",1.8x,2.2x,3.4x,0.7x,0.6x,3.3x,0.8x,1.6247,13.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
