Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Wheaton Precious Metals Corp,4.79,4.25,4.53,25.27,4.79,0.1115,0.5315,0.1609,0.0855,1.1200,0.2331,0.7669,0.3040,-66.53,0.31,1.91,0.52,12.24,287.56,0.16,8.81,568.11,12.6x,16.5x,-5.6x,1.9x,9.8x,15.7x,2.2x,0,8.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Wheaton Precious Metals Corp,20.93,20.29,19.05,26.71,20.93,0.0551,0.3222,0.1334,0.0430,0.6400,0.2193,0.7807,0.2808,-104.23,0.29,2.34,0.42,14.45,264.73,0.13,1.92,503.45,17.4x,26.5x,30.3x,1.8x,12.5x,30.8x,2.1x,0.2779,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Wheaton Precious Metals Corp,8.42,7.73,8.22,34.32,8.42,-0.0390,-0.2498,0.1152,-0.0288,-0.5700,0.2630,0.7370,0.3569,33.72,0.37,3.45,0.29,21.85,795.79,0.12,6.95,594.982,14.1x,25.1x,-10.1x,1.1x,9.4x,84.5x,1.2x,0.2081,7.4,2,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Wheaton Precious Metals Corp,6.72,6.25,6.52,30.66,6.72,0.0395,0.2189,0.1449,0.0317,0.6100,0.1972,0.8028,0.2456,-8.86,0.54,1.80,0.48,28.16,"1,773.63",0.14,8.18,903.111,17.3x,35.8x,-8.2x,1.5x,11.6x,567.9x,1.7x,0.3223,8.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Wheaton Precious Metals Corp,8.52,7.73,8.11,44.37,8.52,0.0118,0.0684,0.1484,0.0102,0.1600,0.1379,0.8621,0.1599,-3.32,1.20,1.38,0.69,25.48,603.00,0.15,9.24,713.9,16.1x,34.6x,17.7x,1.8x,12.2x,47.4x,1.9x,0.4526,10.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Wheaton Precious Metals Corp,2.76,2.45,2.63,16.55,2.76,0.0826,0.5379,0.1227,0.0660,1.3100,0.2006,0.7994,0.2510,-12.26,1.29,2.61,0.37,27.43,596.16,0.12,15.61,679.247,17.6x,159.5x,-17.1x,1.5x,11.5x,30.7x,1.7x,0.4914,8.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Wheaton Precious Metals Corp,2.39,2.25,1.61,7.75,2.39,0.0162,0.1000,0.1372,0.0137,0.2500,0.1517,0.8483,0.1788,-2.75,1.16,1.73,0.53,28.39,198.02,0.14,9.56,713.476,27.2x,166.9x,27.6x,2.3x,16.7x,861.7x,2.6x,0.4675,10.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Wheaton Precious Metals Corp,6.48,6.16,6.18,24.56,6.48,0.0889,0.4632,0.1840,0.0852,1.4400,0.0407,0.9593,0.0425,-42.64,1.11,0.32,3.15,26.86,201.92,0.18,6.42,973.291,26.7x,41.3x,30.0x,3.2x,18.2x,43.8x,3.4x,0.6108,29.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Wheaton Precious Metals Corp,8.41,8.12,7.61,28.46,8.41,0.1208,0.6282,0.1909,0.1199,2.1200,0.0073,0.9927,0.0074,"6,863.99",4.32,0.05,18.36,33.05,107.25,0.19,5.46,"1,089.046",21.6x,30.6x,34.3x,3.2x,15.6x,31.2x,3.2x,0.7587,148.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Wheaton Precious Metals Corp,23.44,23.10,22.66,24.20,23.44,0.0996,0.6283,0.1576,0.0990,2.0100,0.0062,0.9938,0.0063,99.20,126.37,0.06,17.60,25.42,116.30,0.16,1.54,"1,006.158",29.2x,41.9x,42.4x,3.3x,20.4x,33.9x,3.4x,0.8124,172.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
