Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Winpak Ltd.,5.39,4.00,2.42,1.32,5.39,0.1205,0.0999,1.0023,0.1011,1.1800,0.1691,0.8309,0.2035,289.10,190.82,0.91,0.73,5.49,8.03,1.00,2.45,142.294,9.4x,11.8x,36.1x,2.2x,1.8x,19.0x,2.5x,0.06,14.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Winpak Ltd.,5.12,3.71,2.02,1.37,5.12,0.1303,0.0996,1.0714,0.1085,1.4000,0.1810,0.8190,0.2211,661.02,155.58,0.88,0.73,5.59,7.47,1.07,2.69,174.441,12.2x,15.5x,29.5x,3.0x,2.3x,24.7x,3.3x,0.12,14.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Winpak Ltd.,4.64,3.45,2.04,1.93,4.64,0.1592,0.1245,1.0405,0.1329,2.1100,0.1863,0.8137,0.2290,634.25,426.96,0.79,1.09,5.59,8.07,1.04,2.71,250.913,11.1x,13.7x,11.5x,3.3x,2.4x,22.5x,3.7x,1.62,14.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Winpak Ltd.,5.68,4.35,2.71,1.62,5.68,0.1435,0.1269,0.9409,0.1238,2.1700,0.1681,0.8319,0.2021,331.09,437.30,0.76,0.86,5.34,7.18,0.94,2.25,263.05,10.5x,12.8x,-458.6x,2.9x,2.5x,21.3x,3.2x,0.12,15,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Winpak Ltd.,8.13,6.34,4.47,2.12,8.13,0.1414,0.1345,0.9086,0.1257,2.3100,0.1358,0.8642,0.1571,91.48,110.01,0.66,1.04,5.22,8.10,0.91,1.91,250.801,11.0x,13.6x,30.3x,2.7x,2.5x,22.4x,3.1x,0.12,16.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Winpak Ltd.,8.37,6.56,4.71,1.78,8.37,0.1149,0.1224,0.8170,0.1025,2.2900,0.1295,0.8705,0.1488,28.55,27.94,0.73,0.92,4.68,7.21,0.82,1.65,263.488,10.1x,12.7x,30.5x,2.2x,2.2x,18.7x,2.5x,0.12,17.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Winpak Ltd.,9.42,7.60,5.55,2.24,9.42,0.1077,0.1313,0.7208,0.0974,2.3100,0.1209,0.8791,0.1376,18.43,20.57,0.74,1.09,4.60,6.82,0.72,1.45,260.508,9.9x,12.5x,20.7x,1.9x,2.2x,20.5x,2.3x,0.12,17.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Winpak Ltd.,11.49,9.49,7.28,2.29,11.49,0.0911,0.1247,0.6397,0.0817,2.1100,0.1242,0.8758,0.1419,59.22,82.15,0.86,0.94,4.34,6.89,0.64,1.20,247.934,8.9x,11.7x,16.1x,1.5x,2.0x,20.7x,2.0x,0.12,17.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Winpak Ltd.,7.82,5.89,3.89,1.00,7.82,0.0930,0.1036,0.7581,0.0805,2.0500,0.1558,0.8442,0.1846,492.18,186.76,1.10,0.47,3.89,6.06,0.76,1.51,240.757,8.9x,11.9x,81.4x,1.5x,1.7x,18.9x,1.8x,3.12,15.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Winpak Ltd.,7.22,4.91,3.20,0.62,7.22,0.1036,0.1087,0.8076,0.0877,2.6800,0.1530,0.8470,0.1806,30.82,16.83,1.00,0.35,2.95,6.30,0.81,1.52,304.375,7.5x,9.5x,46.2x,1.3x,1.4x,15.8x,1.7x,0.12,16.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
