Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Aritzia Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2014,Aritzia Inc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.0537,#VALUE!,#VALUE!,0.12,#VALUE!,#VALUE!,#VALUE!,-3.04,1.19,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,58.342,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2015,Aritzia Inc,0.99,0.26,0.08,0.39,0.99,0.2048,0.0385,1.1446,0.0441,0.095,0.7849,0.2151,3.6496,-2.75,0.91,6.15,0.12,4.23,189.63,1.14,-569.14,47.638,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2016,Aritzia Inc,1.42,0.27,0.05,0.86,1.42,0.2873,0.0597,1.3524,0.0807,0.31,0.7191,0.2809,2.5597,-5.1,2.31,4.28,0.2,4.45,150.68,1.35,19.14,67.318,NA,NA,NM,NM,NA,NA,NA,,7.2,4,2
2017,Aritzia Inc,1.67,0.93,0.78,1.1,1.67,-0.2783,-0.0841,1.3704,-0.1153,-0.54,0.5859,0.4141,1.4148,1.48,4.98,128.43,0.39,5.41,254.26,1.37,9.87,2.221,-379.7x,-82.5x,-48.9x,5.6x,2.8x,-30.0x,9.4x,,5,6,2
2018,Aritzia Inc,2,1.25,1.06,1,2,0.1998,0.0768,1.3077,0.1004,0.52,0.4973,0.5027,0.9894,-21.01,5.11,2.47,0.37,5.68,308.03,1.31,7.03,114.662,13.2x,16.1x,58.8x,3.6x,2.0x,26.6x,5.4x,,8.4,6,2
2019,Aritzia Inc,2.6,1.36,1.11,1.06,2.6,0.2103,0.09,1.3892,0.1251,0.7,0.4053,0.5947,0.6814,-36.73,2.03,1.81,0.38,4.74,200.76,1.39,6.02,140.658,13.4x,16.2x,35.7x,4.2x,2.1x,24.2x,5.2x,,9.9,7,2
2020,Aritzia Inc,1.5,0.89,0.77,1.44,1.5,0.2728,0.0924,0.9459,0.0874,0.84,0.6797,0.3203,2.122,-5.65,2.51,3.84,0.32,6.14,149.59,0.95,12.65,183.5,16.2x,19.5x,36.6x,3.3x,3.0x,27.6x,7.9x,,5.8,5,2
2021,Aritzia Inc,1.43,0.74,0.6,0.5,1.43,0.0534,0.0224,0.7516,0.0169,0.18,0.6842,0.3158,2.1664,-1.98,1.6,9.14,0.16,3.18,138.23,0.75,8.08,85.395,56.9x,118.8x,101.3x,4.0x,4.3x,132.1x,9.7x,,5.1,4,2
2022,Aritzia Inc,1.35,0.81,0.68,0.87,1.35,0.2956,0.105,1.0492,0.1101,1.42,0.6274,0.3726,1.6838,-10.3,2.05,3.24,0.38,4.04,183.46,1.05,11.14,275.682,20.0x,23.4x,23.4x,5.5x,4.2x,38.5x,10.8x,,6.7,7,2
