Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,BRP Inc,1.20,0.51,0.10,0.28,1.20,-1.4681,0.0188,1.6370,0.0306,0.5300,1.0209,-0.0209,-48.8235,-3.32,0.67,5.43,0.11,4.48,13.79,1.64,20.53,366.7,12.1x,15.8x,-273.6x,5.0x,1.4x,32.5x,-50.2x,,4.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,BRP Inc,1.31,0.64,0.25,0.40,1.31,-2.6097,0.0199,1.5012,0.0299,0.5900,1.0115,-0.0115,-88.2825,-3.64,6.08,5.98,0.16,4.25,13.37,1.50,12.08,397.2,10.7x,15.6x,25.9x,3.8x,1.0x,46.7x,-223.5x,,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,BRP Inc,1.39,0.65,0.25,0.39,1.39,-3.6596,0.0135,1.5660,0.0211,0.4400,1.0058,-0.0058,-174.4184,-2.93,5.24,5.47,0.15,4.25,14.01,1.57,10.54,449.7,5.8x,7.6x,18.9x,2.6x,0.7x,20.1x,225.9x,,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,BRP Inc,1.25,0.63,0.27,0.46,1.25,1.5541,0.0617,1.6579,0.1021,2.2800,0.9342,0.0658,14.2036,-7.44,2.64,4.76,0.22,4.58,14.67,1.66,14.95,494.1,8.5x,11.6x,17.3x,4.0x,1.0x,31.9x,497.2x,,5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,BRP Inc,0.94,0.42,0.16,0.39,0.94,-0.8182,0.0537,1.6971,0.0911,2.2300,1.1113,-0.1113,-9.9849,-9.37,8.06,5.60,0.19,4.59,16.10,1.70,-47.93,520.8,10.5x,13.6x,12.9x,6.4x,1.3x,16.8x,-49.5x,0.32,3.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,BRP Inc,0.89,0.32,0.06,0.33,0.89,-0.7032,0.0433,1.7041,0.0739,2.3100,1.1049,-0.1049,-10.5328,-7.10,7.94,5.32,0.17,4.22,16.27,1.70,-27.23,639.6,7.8x,10.3x,10.6x,5.7x,1.0x,17.1x,-9.5x,0.36,3.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,BRP Inc,0.89,0.27,0.02,0.29,0.89,-0.6298,0.0614,1.6067,0.0984,4.0000,1.1565,-0.1565,-7.3882,-7.63,4.42,5.74,0.13,3.94,18.41,1.61,-28.56,759.6,10.3x,14.4x,27.4x,5.9x,1.3x,17.9x,-10.6x,0.4,3.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,BRP Inc,1.31,0.81,0.60,0.44,1.31,-0.7652,0.0610,1.2184,0.0743,4.1500,1.0972,-0.0972,-11.2883,-6.36,5.39,5.68,0.18,4.05,23.88,1.22,8.89,943.4,11.3x,15.4x,17.0x,3.8x,1.5x,34.0x,-16.4x,0.44,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,BRP Inc,1.02,0.37,0.10,0.29,1.02,-5.9782,0.1038,1.5202,0.1579,9.5700,1.0264,-0.0264,-38.8833,-21.28,0.89,3.70,0.15,3.26,22.75,1.52,157.04,"1,394.1",8.0x,9.5x,-130.1x,5.3x,1.5x,10.2x,-37.7x,0.52,4.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,BRP Inc,1.36,0.44,0.08,0.26,1.36,1.5995,0.0861,1.5521,0.1339,10.8800,0.9165,0.0835,10.9693,-12.06,1.65,3.67,0.11,3.29,20.47,1.55,11.18,"1,614.5",6.9x,8.2x,-41.8x,3.1x,1.1x,9.6x,15.5x,0.64,6.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
