Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canadian Tire Corporation Limited,1.85,1.50,0.15,0.21,1.85,0.1030,0.0476,0.8647,0.0414,6.9600,0.6002,0.3998,1.5010,-8.23,1.16,7.10,0.11,5.63,17.03,0.86,3.22,"1,152.1",11.4x,14.9x,15.7x,1.2x,1.1x,15.0x,1.6x,1.3125,7.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canadian Tire Corporation Limited,1.86,1.50,0.14,0.13,1.86,0.1073,0.0485,0.8564,0.0439,7.6500,0.6131,0.3869,1.5846,-8.58,0.97,6.97,0.06,5.37,16.79,0.86,3.17,"1,279.8",12.3x,15.8x,-33.8x,1.4x,1.2x,16.7x,1.9x,2.1,7.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canadian Tire Corporation Limited,2.24,1.78,0.23,0.25,2.24,0.1139,0.0537,0.8193,0.0491,8.6600,0.6137,0.3863,1.5887,-11.62,1.43,6.79,0.11,4.77,18.12,0.82,2.55,"1,353.7",10.9x,14.3x,28.2x,1.3x,1.2x,14.6x,1.9x,2.3,7.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canadian Tire Corporation Limited,1.85,1.48,0.18,0.21,1.85,0.1166,0.0528,0.8287,0.0488,9.2500,0.6251,0.3749,1.6672,-11.70,8.29,6.67,0.10,5.02,20.48,0.83,3.20,"1,433.1",11.4x,15.0x,38.3x,1.4x,1.3x,15.6x,2.1x,2.6,7.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canadian Tire Corporation Limited,1.94,1.55,0.10,0.21,1.94,0.1320,0.0554,0.8496,0.0524,10.7000,0.6438,0.3562,1.8075,-10.83,1.24,6.44,0.10,5.14,29.07,0.85,3.11,"1,562.1",11.6x,15.0x,21.4x,1.5x,1.4x,15.9x,2.4x,3.6,7.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canadian Tire Corporation Limited,1.76,1.38,0.09,0.15,1.76,0.1278,0.0492,0.8133,0.0453,10.6700,0.6868,0.3132,2.1924,-8.00,1.83,7.46,0.07,4.84,22.46,0.81,3.52,"1,592.3",11.3x,14.1x,17.5x,1.3x,1.3x,13.1x,2.2x,3.6,6.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canadian Tire Corporation Limited,1.66,1.28,0.04,0.19,1.66,0.1414,0.0536,0.7447,0.0458,12.6000,0.7180,0.2820,2.5458,-5.42,1.01,7.97,0.08,4.50,18.96,0.74,3.82,"1,757.6",11.9x,14.2x,-215.1x,1.3x,1.4x,12.5x,2.2x,4.15,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canadian Tire Corporation Limited,2.03,1.58,0.25,0.47,2.03,0.1288,0.0506,0.7298,0.0423,12.3500,0.7137,0.2863,2.4924,-5.54,1.18,8.00,0.17,4.37,20.82,0.73,2.78,"1,817.7",12.9x,15.8x,13.6x,1.3x,1.4x,17.3x,2.5x,4.55,6.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canadian Tire Corporation Limited,1.72,1.35,0.26,0.26,1.72,0.1732,0.0692,0.7473,0.0578,18.5600,0.7014,0.2986,2.3486,-8.54,2.34,6.85,0.11,4.36,22.76,0.75,3.35,"2,230.8",10.0x,11.0x,11.7x,1.3x,1.3x,10.4x,2.3x,4.7,6.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canadian Tire Corporation Limited,1.61,1.16,0.05,0.08,1.61,0.1483,0.0586,0.8058,0.0535,17.7000,0.6815,0.3185,2.1399,-7.71,0.43,6.80,0.04,3.75,20.13,0.81,4.06,"2,216.6",9.9x,11.4x,-28.1x,1.3x,1.2x,10.4x,1.9x,6.9,6.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
