Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Cogeco Communications Inc,0.41,0.41,0.10,1.43,0.41,0.1377,0.1092,0.3287,0.0359,3.8000,0.7392,0.2608,2.8343,-3.01,0.62,4.88,0.14,#DIV/0!,21.43,0.33,-7.57,780.723,7.4x,13.7x,20.7x,1.2x,3.4x,12.6x,1.8x,0,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Cogeco Communications Inc,0.42,0.42,0.14,1.63,0.42,0.1389,0.1075,0.3764,0.0405,4.3000,0.7085,0.2915,2.4303,-3.08,1.34,4.10,0.21,#DIV/0!,23.21,0.38,-7.28,893.357,6.6x,13.8x,13.3x,1.4x,3.0x,16.2x,2.1x,1.2,5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Cogeco Communications Inc,0.50,0.50,0.23,0.95,0.50,0.1465,0.1261,0.3398,0.0429,5.2700,0.7075,0.2925,2.4191,-3.51,4.07,4.56,0.16,#DIV/0!,23.48,0.34,-5.66,933.879,6.6x,13.3x,16.5x,1.3x,3.0x,13.3x,1.9x,1.4,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Cogeco Communications Inc,0.44,0.44,0.13,1.57,0.44,-0.1374,-0.0871,0.4080,-0.0356,-3.8700,0.7413,0.2587,2.8649,-0.09,1.55,4.02,0.19,#DIV/0!,24.08,0.41,-8.14,983.449,6.2x,12.7x,13.4x,1.4x,2.8x,-16.7x,2.2x,1.56,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Cogeco Communications Inc,0.57,0.57,0.32,1.44,0.57,0.1871,0.1344,0.4164,0.0559,6.0800,0.7010,0.2990,2.3443,-4.21,2.86,3.72,0.26,#DIV/0!,26.67,0.42,-7.85,"1,007.47",7.2x,13.7x,12.1x,1.7x,3.3x,15.2x,3.0x,1.72,5.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Cogeco Communications Inc,0.49,0.49,0.17,1.41,0.49,0.1503,0.1634,0.2991,0.0502,7.6100,0.6750,0.3250,2.0768,-3.05,0.46,4.80,0.14,#DIV/0!,24.12,0.30,-8.60,"1,009.918",7.4x,13.0x,18.9x,1.2x,3.4x,8.5x,1.7x,1.9,5.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Cogeco Communications Inc,1.75,1.75,1.45,2.37,1.75,0.1623,0.1781,0.3355,0.0622,6.8900,0.6318,0.3682,1.7158,-3.48,1.30,3.96,0.21,#DIV/0!,34.67,0.34,8.09,"1,107.94",7.8x,13.8x,17.5x,1.4x,3.7x,15.9x,2.4x,2.1,7.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Cogeco Communications Inc,1.29,1.29,0.98,2.46,1.29,0.1420,0.1574,0.3504,0.0583,7.7400,0.6117,0.3883,1.5756,-4.20,2.12,3.64,0.22,#DIV/0!,32.40,0.35,21.86,"1,142.023",7.2x,12.7x,14.9x,1.3x,3.4x,12.6x,2.1x,2.32,7.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Cogeco Communications Inc,0.89,0.89,0.73,1.36,0.89,0.1431,0.1599,0.3415,0.0587,8.4700,0.6183,0.3817,1.6197,-5.39,6.63,3.79,0.22,#DIV/0!,35.08,0.34,-29.71,"1,199.887",7.1x,12.2x,15.3x,1.5x,3.5x,13.8x,2.3x,2.56,6.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Cogeco Communications Inc,0.53,0.53,0.38,1.26,0.53,0.1327,0.1459,0.3126,0.0489,9.1600,0.6563,0.3437,1.9094,-3.95,2.17,4.39,0.20,#DIV/0!,33.43,0.31,-6.32,"1,387.341",6.2x,11.2x,11.1x,1.1x,3.0x,8.9x,1.4x,2.82,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
