Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Dollarama Inc,2.80,0.58,0.44,1.88,2.80,0.2894,0.1211,1.3178,0.1596,0.5800,0.4484,0.5516,0.8131,-30.37,1.11,1.76,0.44,3.00,346.25,1.32,7.00,399.007,15.9x,17.9x,30.8x,4.7x,3.0x,24.1x,6.5x,0.07,12.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Dollarama Inc,2.54,0.65,0.19,1.65,2.54,0.3989,0.1267,1.3704,0.1737,0.7400,0.5646,0.4354,1.2969,-21.17,17.03,2.11,0.37,3.04,232.99,1.37,7.00,455.276,19.4x,21.3x,41.7x,6.5x,3.8x,28.4x,11.4x,0.1067,10.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Dollarama Inc,2.72,0.65,0.26,1.98,2.72,0.8250,0.1453,1.4611,0.2123,1.0100,0.7426,0.2574,2.8853,-25.68,20.08,2.28,0.33,2.89,238.38,1.46,6.80,589.703,18.3x,19.5x,35.2x,7.0x,3.9x,25.7x,14.9x,0.12,10,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Dollarama Inc,1.09,0.18,0.12,0.98,1.09,4.4437,0.1504,1.5902,0.2391,1.2500,0.9462,0.0538,17.5817,-19.51,3.29,2.54,0.29,3.27,192.59,1.59,64.89,693.718,19.3x,20.7x,32.7x,8.6x,4.4x,27.0x,57.3x,0.1333,6.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Dollarama Inc,0.79,0.11,0.08,0.88,0.79,-2.0582,0.1590,1.6885,0.2685,1.5400,1.1305,-0.1305,-8.6651,-18.95,2.02,2.69,0.29,3.39,213.99,1.69,-21.63,813.48,25.6x,27.5x,37.4x,13.4x,6.3x,37.2x,"-1,221.6x",0.1467,4.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Dollarama Inc,1.55,0.24,0.11,1.55,1.55,-1.7171,0.1536,1.0562,0.1622,1.6800,1.0945,-0.0945,-11.5855,-8.93,0.84,4.04,0.19,3.16,99.00,1.06,14.47,909.801,14.8x,16.0x,30.8x,7.7x,3.8x,20.9x,-51.8x,0.16,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Dollarama Inc,0.70,0.13,0.08,0.67,0.70,-6.1178,0.1489,1.0191,0.1518,1.8000,1.0248,-0.0248,-41.3104,-8.66,2.89,4.14,0.19,3.21,108.32,1.02,-11.55,919.448,18.8x,20.2x,29.0x,5.3x,4.6x,25.4x,-125.2x,0.176,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Dollarama Inc,0.83,0.36,0.33,0.67,0.83,1.6854,0.1402,0.9532,0.1336,1.8200,0.9207,0.0793,11.6137,-287.33,1.90,3.89,0.23,3.35,195.96,0.95,-18.23,999.302,18.9x,20.4x,28.5x,4.9x,4.7x,27.3x,59.1x,0.188,4.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Dollarama Inc,0.79,0.14,0.08,1.27,0.79,-10.0428,0.1531,1.0658,0.1632,2.1900,1.0163,-0.0163,-62.5374,-386.75,1.10,3.99,0.28,3.86,164.92,1.07,-22.26,"1,035.084",21.7x,23.9x,31.6x,6.5x,5.4x,31.6x,"1,051.6x",0.2012,4.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Dollarama Inc,0.99,0.17,0.09,0.75,0.99,28.2247,0.1587,1.0484,0.1664,2.7700,0.9941,0.0059,168.6465,-392.45,1.72,3.87,0.18,2.82,89.76,1.05,-852.50,"1,239.058",22.8x,24.6x,60.8x,6.6x,5.6x,30.1x,848.9x,0.2212,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
