Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Gildan Activewear Inc.,3.39,1.33,0.34,1.48,3.39,0.1862,0.1466,1.0688,0.1567,1.3600,0.1586,0.8414,0.1886,-37.97,2.25,0.73,1.32,2.60,8.57,1.07,3.16,458.977,14.8x,18.8x,24.2x,3.7x,3.0x,20.8x,4.0x,0.1147,16.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Gildan Activewear Inc.,3.38,1.27,0.18,0.72,3.38,0.1423,0.1203,0.9230,0.1111,1.3400,0.2196,0.7804,0.2814,-54.77,0.85,1.41,0.46,2.29,6.76,0.92,2.72,454.99,15.5x,19.6x,-119.9x,3.4x,3.0x,20.8x,3.6x,0.3011,13.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Gildan Activewear Inc.,5.38,1.73,0.22,1.21,5.38,0.1582,0.1347,0.9063,0.1221,1.9700,0.2279,0.7721,0.2951,-57.34,0.90,1.31,0.44,2.21,8.39,0.91,2.52,682.459,20.1x,28.5x,-37.0x,2.8x,3.0x,29.2x,3.4x,0.3607,13.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Gildan Activewear Inc.,5.68,1.63,0.16,2.28,5.68,0.1635,0.1341,0.8645,0.1159,1.9800,0.2911,0.7089,0.4107,-28.27,1.39,1.67,0.62,1.95,9.31,0.86,2.34,699.185,12.6x,16.7x,26.5x,2.3x,2.5x,17.2x,2.8x,0.419,12.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Gildan Activewear Inc.,5.06,1.40,0.20,2.37,5.06,0.1766,0.1317,0.9229,0.1216,2.0300,0.3118,0.6882,0.4530,-22.61,2.52,1.60,0.66,2.06,11.30,0.92,2.62,730.727,13.5x,18.3x,16.8x,2.8x,2.9x,18.6x,3.4x,0.4702,12.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Gildan Activewear Inc.,3.99,1.28,0.13,1.55,3.99,0.1812,0.1206,0.9680,0.1167,2.2700,0.3556,0.6444,0.5519,-15.85,3.00,1.81,0.50,2.24,9.17,0.97,2.81,807.335,12.4x,17.1x,21.5x,2.5x,2.5x,18.1x,3.2x,0.6115,11.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Gildan Activewear Inc.,3.58,1.09,0.15,0.85,3.58,0.1416,0.0920,0.8794,0.0809,1.6700,0.4287,0.5713,0.7504,-8.79,7.91,2.70,0.26,1.98,8.80,0.88,2.59,668.078,12.6x,17.3x,32.9x,2.3x,2.4x,20.5x,3.0x,0.696,10.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Gildan Activewear Inc.,4.29,2.27,1.41,1.15,4.29,-0.1445,-0.1137,0.6558,-0.0746,-1.4500,0.4840,0.5160,0.9379,5.81,1.41,45.79,0.28,2.46,10.08,0.66,1.67,40.63,29.5x,65.4x,11.3x,2.5x,3.3x,-21.3x,3.8x,0.7838,9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Gildan Activewear Inc.,3.12,1.45,0.39,1.33,3.12,0.3163,0.2078,0.9317,0.1936,3.9000,0.3881,0.6119,0.6342,-36.23,1.41,1.92,0.51,2.70,8.86,0.93,2.97,802.757,20.3x,28.8x,23.5x,3.3x,3.0x,16.4x,4.4x,0.9737,10.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Gildan Activewear Inc.,2.69,0.78,0.23,0.64,2.69,0.2877,0.1671,0.9419,0.1574,3.9800,0.4529,0.5471,0.8278,-20.69,9.12,2.11,0.27,1.86,13.03,0.94,2.99,997.869,9.1x,10.6x,64.4x,2.3x,2.1x,10.8x,3.1x,0.9153,10.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
