Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Leon's Furniture Limited,0.97,0.34,0.01,0.17,0.97,0.1374,0.0404,1.0826,0.0437,0.9700,0.6820,0.3180,2.1448,-7.52,1.38,6.98,0.07,3.46,16.25,1.08,-144.68,152.924,13.4x,17.9x,10.2x,1.4x,1.1x,17.0x,2.1x,0.2,6.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Leon's Furniture Limited,1.11,0.48,0.11,0.36,1.11,0.1375,0.0376,1.2846,0.0483,1.0700,0.6488,0.3512,1.8473,-7.15,1.62,6.31,0.15,4.24,17.91,1.28,42.80,160.809,10.0x,13.4x,23.3x,1.7x,0.9x,17.7x,2.4x,0.4,7.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Leon's Furniture Limited,1.15,0.46,0.02,0.13,1.15,0.1276,0.0377,1.2831,0.0484,1.0800,0.6208,0.3792,1.6373,-6.75,1.18,6.23,0.06,3.76,17.24,1.28,31.06,157.839,8.7x,11.4x,22.9x,1.4x,0.7x,13.2x,1.7x,0.4,7.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Leon's Furniture Limited,1.30,0.58,0.10,0.39,1.30,0.1267,0.0390,1.3301,0.0519,1.1700,0.5908,0.4092,1.4436,-8.89,2.48,5.66,0.17,3.98,16.73,1.33,16.65,168.084,10.3x,13.6x,15.8x,1.6x,0.8x,17.0x,2.1x,0.4,8.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Leon's Furniture Limited,1.40,0.64,0.09,0.37,1.40,0.1250,0.0436,1.3334,0.0581,1.3200,0.5347,0.4653,1.1492,-13.51,2.75,4.88,0.18,3.97,15.99,1.33,13.13,182.018,9.0x,11.2x,19.9x,1.6x,0.7x,14.2x,2.0x,0.48,8.6,9,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Leon's Furniture Limited,1.09,0.55,0.15,0.30,1.09,0.1295,0.0495,1.3005,0.0644,1.4500,0.5026,0.4974,1.0103,-22.74,3.13,4.68,0.21,3.84,18.35,1.30,41.34,185.219,6.7x,8.3x,9.4x,1.2x,0.6x,10.7x,1.4x,0.56,8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Leon's Furniture Limited,1.17,0.61,0.15,0.39,1.17,0.1168,0.0468,1.0638,0.0498,1.3800,0.5734,0.4266,1.3439,-6.68,1.66,6.26,0.19,3.84,16.25,1.06,22.79,196.649,6.7x,10.7x,9.3x,1.2x,0.8x,12.2x,1.4x,0.56,7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Leon's Furniture Limited,1.20,0.79,0.45,0.62,1.20,0.1607,0.0735,0.9180,0.0675,2.0500,0.5799,0.4201,1.3805,-12.77,5.44,6.10,0.36,3.72,17.00,0.92,13.77,230.09,7.1x,7.7x,3.6x,1.1x,0.8x,10.9x,1.6x,1.84,6.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Leon's Furniture Limited,0.90,0.57,0.32,0.26,0.90,0.2618,0.0824,1.0243,0.0844,2.6700,0.6775,0.3225,2.1005,-19.44,3.56,5.21,0.19,3.55,15.70,1.02,-20.19,319.006,6.4x,7.2x,7.0x,1.3x,0.7x,9.3x,1.9x,1.89,5.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Leon's Furniture Limited,1.40,0.72,0.19,0.02,1.40,0.1932,0.0713,1.1477,0.0818,2.6600,0.5766,0.4234,1.3616,-11.97,0.14,4.43,0.01,3.43,13.95,1.15,10.42,285.284,5.5x,6.2x,-4.5x,1.1x,0.6x,7.0x,1.3x,0.64,7.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
