Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Linamar Corporation,1.60,1.06,0.18,0.82,1.60,0.0000,0.0000,1.3676,0.0000,3.5200,0.4856,0.5144,0.9441,0.00,6.20,4.16,0.46,8.16,6.03,1.37,8.45,306.781,6.9x,11.9x,27.8x,1.8x,1.0x,14.9x,2.3x,0,7.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Linamar Corporation,1.72,1.13,0.25,0.71,1.72,0.0000,0.0000,1.4149,0.0000,4.9000,0.4334,0.5666,0.7648,0.00,2.01,2.87,0.43,7.71,6.50,1.41,7.57,445.75,7.5x,11.8x,17.6x,2.4x,1.2x,14.5x,2.9x,0.4,8.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Linamar Corporation,1.88,1.29,0.37,0.75,1.88,0.0000,0.0000,1.3586,0.0000,6.6300,0.4056,0.5944,0.6824,0.00,1.26,2.63,0.45,7.91,6.18,1.36,6.33,586.431,6.3x,9.3x,21.5x,1.9x,1.1x,11.8x,2.3x,0.3,8.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Linamar Corporation,1.69,1.15,0.32,0.71,1.69,0.0000,0.0000,1.1489,0.0000,7.9200,0.5045,0.4955,1.0180,0.00,1.53,3.72,0.34,7.19,6.17,1.15,6.85,708.007,5.0x,7.4x,17.8x,1.2x,0.8x,7.5x,1.5x,0.4,8.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Linamar Corporation,1.91,1.30,0.34,0.49,1.91,0.0000,0.0000,1.1188,0.0000,8.3200,0.4680,0.5320,0.8797,0.00,1.15,3.76,0.23,6.91,5.52,1.12,5.54,728.905,5.5x,7.9x,11.8x,1.3x,0.9x,9.0x,1.6x,0.48,8.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Linamar Corporation,2.01,1.24,0.30,0.44,2.01,0.0000,0.0000,0.9369,0.0000,8.9400,0.5324,0.4676,1.1386,0.00,1.82,5.43,0.16,5.24,5.37,0.94,4.77,797.134,4.4x,6.3x,68.4x,0.8x,0.7x,4.9x,0.8x,0.48,8.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Linamar Corporation,1.85,1.13,0.25,0.85,1.85,0.0000,0.0000,0.9786,0.0000,6.5600,0.4683,0.5317,0.8807,0.00,21.69,5.44,0.33,6.40,6.70,0.98,6.37,652.122,4.8x,7.3x,15.5x,0.8x,0.7x,6.3x,0.8x,0.48,8.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Linamar Corporation,1.25,0.86,0.39,0.65,1.25,0.0000,0.0000,0.7696,0.0000,4.2700,0.4239,0.5761,0.7358,0.00,6.32,7.12,0.45,5.80,6.09,0.77,10.52,449.749,6.8x,14.4x,5.0x,0.9x,0.9x,20.5x,1.0x,0.48,8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Linamar Corporation,1.71,1.10,0.53,0.52,1.71,0.0000,0.0000,0.8845,0.0000,6.4100,0.3777,0.6223,0.6070,0.00,2.17,4.74,0.33,5.25,7.15,0.88,5.28,588.807,4.2x,6.9x,5.8x,0.9x,0.7x,10.1x,1.1x,0.8,9.5,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Linamar Corporation,1.71,1.01,0.40,0.22,1.71,0.0000,0.0000,0.9232,0.0000,6.6700,0.4390,0.5610,0.7824,0.00,2.05,6.66,0.12,4.60,6.68,0.92,5.15,565.077,4.4x,7.7x,65.9x,0.7x,0.6x,9.2x,0.8x,0.8,8.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
