Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Magna International Inc,1.36,1.00,0.21,0.35,1.36,0.1619,0.0448,1.9364,0.0859,3.6400,0.4642,0.5358,0.8664,-120.06,13.58,2.72,0.31,11.49,6.64,1.94,13.33,"3,261.445",6.1x,10.4x,16.1x,1.8x,0.5x,12.5x,1.9x,0.34,7.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Magna International Inc,1.29,0.96,0.16,0.37,1.29,0.2170,0.0547,1.9035,0.1040,5.2200,0.5201,0.4799,1.0839,-87.83,12.94,2.72,0.30,11.67,6.47,1.90,15.39,"4,001.132",6.3x,9.2x,13.2x,2.2x,0.6x,12.1x,2.5x,0.8801,7.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Magna International Inc,1.53,1.18,0.39,0.32,1.53,0.2208,0.0626,1.6322,0.1019,6.6300,0.5369,0.4631,1.1594,-61.25,16.31,3.27,0.22,10.75,5.91,1.63,8.31,"4,491.273",4.7x,6.5x,17.0x,1.5x,0.5x,8.3x,1.8x,0.9157,7.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Magna International Inc,1.17,0.85,0.11,0.38,1.17,0.1987,0.0557,1.6150,0.0919,6.9800,0.5472,0.4528,1.2082,-32.59,6.47,3.20,0.26,11.10,5.91,1.62,24.83,"5,177.914",4.7x,6.8x,21.3x,1.5x,0.5x,8.2x,1.7x,1.3428,6.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Magna International Inc,1.21,0.83,0.08,0.36,1.21,0.1875,0.0600,1.4366,0.0881,7.4300,0.5401,0.4599,1.1745,-43.64,18.59,3.31,0.24,8.72,5.46,1.44,18.70,"5,219.853",5.4x,7.9x,16.6x,1.6x,0.6x,9.6x,1.8x,1.3829,6.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Magna International Inc,1.15,0.82,0.07,0.36,1.15,0.2058,0.0562,1.5736,0.0899,9.0700,0.5699,0.4301,1.3250,-32.73,14.08,3.45,0.25,10.20,6.24,1.57,26.68,"5,842.114",3.9x,5.9x,15.0x,1.2x,0.4x,6.3x,1.4x,1.8018,6.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Magna International Inc,1.26,0.87,0.15,0.46,1.26,0.1586,0.0448,1.5289,0.0633,7.2800,0.5684,0.4316,1.3170,-28.11,17.14,3.68,0.27,10.30,6.65,1.53,17.79,"5,174.483",5.0x,8.1x,8.5x,1.3x,0.5x,9.4x,1.6x,1.8958,6.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Magna International Inc,1.37,1.02,0.34,0.34,1.37,0.0646,0.0232,1.1413,0.0237,3.2100,0.5903,0.4097,1.4407,-12.70,14.50,5.50,0.19,8.19,5.11,1.14,9.01,"3,903.785",9.5x,24.0x,14.9x,1.6x,0.8x,46.2x,2.1x,2.0359,6.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Magna International Inc,1.30,0.92,0.28,0.28,1.30,0.1238,0.0418,1.2460,0.0534,6.3700,0.5797,0.4203,1.3792,-25.97,14.77,4.58,0.17,7.83,5.75,1.25,11.69,"4,657.264",6.3x,10.8x,12.6x,1.5x,0.7x,13.6x,2.1x,2.175,6.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Magna International Inc,1.14,0.76,0.11,0.19,1.14,0.0522,0.0156,1.3617,0.0231,2.7600,0.5921,0.4079,1.4516,-11.84,3.90,5.21,0.13,7.94,5.57,1.36,24.78,"4,279.836",5.6x,11.3x,26.7x,1.2x,0.5x,25.4x,1.4x,2.4371,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
