Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,MTY Food Group Inc,0.70,0.67,0.19,0.82,0.70,0.1966,0.2537,0.5870,0.1486,1.3400,0.2425,0.7575,0.3202,126.24,7.79,1.07,0.63,10.71,7.53,0.59,-10.51,39.235,14.9x,17.2x,25.1x,4.4x,5.7x,24.3x,5.0x,0.14,23.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,MTY Food Group Inc,0.67,0.61,0.17,0.82,0.67,0.1686,0.2188,0.5775,0.1263,1.3200,0.2506,0.7494,0.3344,-113.86,16.82,1.17,0.66,5.43,6.85,0.58,-8.72,42.659,16.3x,19.4x,20.6x,4.2x,6.0x,24.7x,4.7x,0.34,21.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,MTY Food Group Inc,1.14,1.09,0.69,1.06,1.14,0.1537,0.1792,0.6442,0.1163,1.3600,0.2493,0.7507,0.3320,-123.96,10.89,1.11,0.91,13.16,7.75,0.64,21.51,50.682,12.2x,14.7x,12.7x,3.2x,4.4x,21.3x,3.6x,0.4,18.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,MTY Food Group Inc,0.48,0.46,0.20,0.28,0.48,0.1751,0.2845,0.2243,0.0643,2.7300,0.6354,0.3646,1.7428,-20.25,0.87,8.10,0.10,10.64,5.30,0.22,-2.00,66.883,22.1x,26.3x,9.0x,2.4x,7.8x,25.5x,3.8x,0.46,7.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,MTY Food Group Inc,0.59,0.57,0.32,0.53,0.59,0.1476,0.1793,0.3229,0.0583,2.3200,0.6078,0.3922,1.5498,-7.35,1.60,5.54,0.18,16.52,8.08,0.32,-3.81,93.805,14.6x,20.1x,14.5x,2.4x,4.8x,24.5x,3.6x,0.46,10.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,MTY Food Group Inc,0.46,0.44,0.15,0.46,0.46,0.1568,0.2323,0.3327,0.0776,3.9500,0.5072,0.4928,1.0290,-8.23,0.76,5.04,0.16,16.00,8.25,0.33,-3.62,124.851,15.8x,19.8x,19.5x,2.1x,5.1x,16.2x,2.7x,0.6,11.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,MTY Food Group Inc,0.60,0.57,0.20,0.45,0.60,0.1167,0.1410,0.3341,0.0471,3.0900,0.5964,0.4036,1.4776,-6.84,1.25,6.67,0.11,12.63,8.46,0.33,-5.45,147.395,14.1x,18.2x,19.4x,1.6x,3.8x,20.0x,2.2x,0.66,10.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,MTY Food Group Inc,0.57,0.55,0.12,0.36,0.57,-0.0637,-0.0726,0.2538,-0.0183,-1.5000,0.7107,0.2893,2.4569,1.76,0.95,11.45,0.09,7.01,3.50,0.25,-3.23,124.967,15.8x,22.9x,52.3x,1.4x,4.2x,-35.0x,2.3x,0.74,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,MTY Food Group Inc,0.65,0.62,0.17,0.39,0.65,0.1320,0.1552,0.2898,0.0451,3.4700,0.6593,0.3407,1.9351,-10.18,1.07,8.01,0.11,5.51,3.77,0.29,-4.41,156.828,14.8x,19.0x,17.0x,1.5x,4.1x,16.9x,2.2x,0.74,5.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,MTY Food Group Inc,0.61,0.57,0.14,0.33,0.61,0.1032,0.1044,0.3081,0.0323,3.0600,0.6884,0.3116,2.2090,-7.25,0.96,9.61,0.09,6.18,4.43,0.31,-4.19,166.509,13.4x,16.6x,16.4x,1.5x,3.5x,16.2x,2.1x,0.84,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
