Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Pet Valu Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2014,Pet Valu Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pet Valu Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2016,Pet Valu Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2017,Pet Valu Holdings Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0
2018,Pet Valu Holdings Ltd,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.0168,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,-1.34,0.93,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,108.134,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2019,Pet Valu Holdings Ltd,1.37,0.74,0.39,1.06,1.37,-0.0267,0.0232,1.1279,0.041,0,1.9801,-0.9801,-2.0203,-1.42,1.02,8.91,0.12,4.6,17.84,1.13,13.72,112.987,NA,NA,NM,NM,NA,NA,NA,,NA,4,0
2020,Pet Valu Holdings Ltd,1.27,0.76,0.47,1,1.27,-0.0452,0.0327,1.1536,0.0509,0.39,1.8353,-0.8353,-2.1972,-1.63,1.33,9.01,0.15,4.81,19.56,1.15,15.53,114.479,NA,NA,NM,NM,NA,NA,NA,,5,3,2
2021,Pet Valu Holdings Ltd,1.27,0.67,0.33,0.91,1.27,-1.0089,0.1229,1.2951,0.1649,1.36,1.1578,-0.1578,-7.339,-4.46,0.18,4.85,0.2,4.87,20.3,1.3,19.01,143.051,22.6x,25.0x,108.7x,6.9x,4.1x,31.3x,-19.9x,0.04,2.7,7,1
2022,Pet Valu Holdings Ltd,1.36,0.73,0.33,0.65,1.36,267.9947,0.1059,1.2858,0.1361,1.43,0.9995,0.0005,1967.5532,-8.26,1.74,4.19,0.17,4.67,19.51,1.29,14.14,176.546,17.7x,19.5x,49.9x,5.2x,3.3x,25.7x,"6,880.0x",0.24,4.1,6,2
