Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Restaurant Brands Intl,3.11,3.10,2.27,0.94,3.11,0.1541,0.2039,0.1967,0.0401,0.7100,0.7399,0.2601,2.8442,-2.67,1.30,6.66,0.08,289.71,6.56,0.20,1.57,688.303,NA,NA,NM,NM,NA,NA,0.0x,,7.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Restaurant Brands Intl,1.36,1.31,0.93,0.13,1.36,0.0211,0.1346,0.0562,-0.0126,-1.3400,0.6422,0.3578,1.7949,0.13,0.08,18.90,0.02,3.31,2.80,0.06,1.72,839.717,14.0x,15.5x,13.0x,2.2x,9.4x,44.1x,13.2x,,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Restaurant Brands Intl,1.22,1.15,0.68,1.07,1.22,0.0604,0.0926,0.2201,0.0278,0.7100,0.6627,0.3373,1.9649,-2.37,0.39,7.75,0.10,28.44,9.60,0.22,16.31,"2,185.558",15.8x,18.0x,15.3x,1.4x,6.2x,-17.9x,11.8x,0.3607,6.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Restaurant Brands Intl,1.73,1.67,1.21,1.03,1.73,0.0908,0.1486,0.2168,0.0500,1.9900,0.6452,0.3548,1.8185,-3.57,2.33,6.73,0.10,30.38,10.28,0.22,4.68,"2,462.732",13.5x,15.0x,16.0x,1.5x,5.8x,40.0x,12.9x,0.9131,7.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Restaurant Brands Intl,1.06,1.01,0.66,0.84,1.06,0.1421,0.1416,0.2156,0.0582,3.3200,0.7851,0.2149,3.6534,-3.15,0.43,8.02,0.08,29.85,9.36,0.22,48.17,"2,611.184",14.3x,15.7x,17.1x,1.5x,6.4x,42.5x,13.4x,1.056,7.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Restaurant Brands Intl,1.07,1.01,0.65,0.83,1.07,0.1692,0.1142,0.2660,0.0568,3.3500,0.8204,0.1796,4.5669,-3.58,1.91,7.77,0.07,29.87,11.85,0.27,58.23,"2,903.312",12.2x,13.4x,13.3x,1.6x,5.0x,15.6x,11.2x,2.457,7.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Restaurant Brands Intl,1.29,1.24,0.90,0.87,1.29,0.1510,0.1148,0.2506,0.0497,3.1200,0.8095,0.1905,4.2501,-3.73,0.53,8.18,0.08,38.23,10.63,0.25,11.37,"2,872.26",15.2x,16.5x,17.9x,1.8x,6.0x,29.7x,12.5x,2.597,6.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Restaurant Brands Intl,1.41,1.35,0.97,0.58,1.41,0.1306,0.0978,0.2181,0.0329,2.0500,0.8366,0.1634,5.1212,-2.61,0.18,10.71,0.05,31.20,9.27,0.22,7.49,"2,263.635",17.2x,19.1x,21.1x,1.8x,6.4x,33.2x,12.0x,2.6466,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Restaurant Brands Intl,0.97,0.92,0.58,0.92,0.97,0.2175,0.1460,0.2469,0.0539,3.4200,0.8343,0.1657,5.0332,-3.70,1.24,9.13,0.09,35.05,10.49,0.25,-92.56,"2,687.126",16.0x,17.8x,18.9x,1.8x,6.0x,25.5x,11.1x,2.6808,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Restaurant Brands Intl,0.97,0.91,0.56,0.70,0.97,0.2362,0.1550,0.2860,0.0652,4.4500,0.8124,0.1876,4.3294,-3.56,2.38,8.35,0.08,29.38,10.59,0.29,-95.66,"2,996.291",16.6x,18.1x,19.3x,2.0x,5.6x,21.5x,12.6x,2.9245,6.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
