Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Richelieu Hardware Ltd.,4.51,2.16,0.79,0.83,4.51,0.1583,0.0791,1.6467,0.1309,0.7500,0.1774,0.8226,0.2157,135.98,177.16,0.91,0.77,3.78,7.49,1.65,2.87,69.656,12.4x,13.7x,21.9x,2.8x,1.5x,19.8x,3.0x,0.0433,17.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Richelieu Hardware Ltd.,4.05,1.83,0.48,0.57,4.05,0.1671,0.0810,1.6557,0.1346,0.8900,0.1975,0.8025,0.2461,239.10,68.01,1.00,0.52,3.64,6.92,1.66,3.01,76.899,14.8x,16.2x,30.2x,3.6x,1.7x,22.3x,3.8x,0.1867,16.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Richelieu Hardware Ltd.,4.40,1.71,0.38,0.36,4.40,0.1601,0.0784,1.6667,0.1309,1.0000,0.1845,0.8155,0.2262,531.76,30.62,0.95,0.33,3.21,7.50,1.67,2.88,87.223,16.2x,17.8x,277.6x,3.9x,1.9x,24.3x,4.0x,0.2,16.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Richelieu Hardware Ltd.,4.42,1.89,0.52,0.81,4.42,0.1577,0.0744,1.7374,0.1296,1.0800,0.1805,0.8195,0.2203,"-2,736.16",218.85,0.93,0.76,3.61,7.72,1.74,3.01,93.927,17.0x,18.8x,40.5x,4.0x,1.9x,25.5x,4.2x,0.2132,16.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Richelieu Hardware Ltd.,4.03,1.67,0.29,0.56,4.03,0.1545,0.0718,1.7369,0.1252,1.1700,0.1925,0.8075,0.2384,474.20,54.64,1.02,0.54,3.59,7.02,1.74,3.14,102.488,19.2x,21.4x,48.7x,4.5x,2.1x,29.3x,4.6x,0.2268,16.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Richelieu Hardware Ltd.,4.64,1.65,0.08,0.47,4.64,0.1431,0.0675,1.7648,0.1194,1.1800,0.1680,0.8320,0.2020,"-1,427.55",10.59,0.91,0.44,3.32,7.24,1.76,3.05,105.548,13.6x,15.4x,76.0x,3.1x,1.5x,21.0x,3.1x,0.24,17.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Richelieu Hardware Ltd.,4.05,1.55,0.22,0.91,4.05,0.1325,0.0638,1.5497,0.0992,1.1700,0.2537,0.7463,0.3399,-31.05,6.11,1.55,0.59,3.33,7.57,1.55,3.11,109.816,12.8x,16.1x,23.4x,3.0x,1.5x,23.0x,3.0x,0.2532,14,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Richelieu Hardware Ltd.,3.60,1.62,0.51,1.02,3.60,0.1537,0.0756,1.4627,0.1110,1.5100,0.2809,0.7191,0.3907,-44.91,5.86,1.66,0.69,3.41,7.19,1.46,2.99,130.685,16.7x,19.5x,20.6x,3.4x,2.0x,27.6x,3.9x,0.2668,13.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Richelieu Hardware Ltd.,3.25,1.30,0.29,0.51,3.25,0.2119,0.0984,1.4939,0.1476,2.5400,0.3062,0.6938,0.4414,-73.13,3.65,1.37,0.35,3.05,7.22,1.49,3.16,215.76,12.8x,14.2x,33.0x,3.4x,1.8x,19.0x,3.8x,0.28,13.4,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Richelieu Hardware Ltd.,2.62,0.72,0.06,-0.10,2.62,0.2054,0.0934,1.4042,0.1324,3.0100,0.3614,0.6386,0.5660,-33.43,0.95,1.77,-0.08,2.30,8.11,1.40,3.20,262.156,9.1x,10.1x,-27.5x,2.4x,1.4x,13.0x,2.8x,0.52,12.1,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
