Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification
2013,Spin Master Corp,0.37,0.3,0.07,0.13,0.37,-0.1096,0.0313,1.8323,0.0689,0,1.5226,-0.5226,-2.9135,-12.48,1.04,11.48,0.12,8.92,6.52,1.83,-2.01,39.04,NA,NA,NM,NM,NA,NA,NA,,NA,5,0
2014,Spin Master Corp,0.57,0.47,0.24,0.3,0.57,-0.7836,0.0725,2.0401,0.1774,0.71,1.1888,-0.1888,-6.2969,-51.8,5.05,4.18,0.3,9.32,8.78,2.04,-3.99,115.506,NA,NA,NM,NM,NA,NA,NA,,0.1,5,0
2015,Spin Master Corp,1.4,1.12,0.26,0.32,1.4,0.2764,0.0491,2.2649,0.1212,0.66,0.5974,0.4026,1.4839,-19.21,0.53,2.56,0.24,8.56,7.16,2.26,12.46,125.861,15.7x,15.6x,-72.0x,7.2x,1.8x,25.7x,9.6x,,1.8,6,1
2016,Spin Master Corp,1.15,0.96,0.23,0.17,1.15,0.3056,0.0862,1.4885,0.1283,1.33,0.5801,0.4199,1.3815,-41.14,0.73,2.62,0.16,6.98,5.13,1.49,17.91,230.888,15.4x,18.2x,194.5x,5.3x,2.4x,29.2x,7.6x,,4.3,5,2
2017,Spin Master Corp,1.48,1.2,0.28,0.63,1.48,0.3221,0.1038,1.6532,0.1716,1.99,0.4671,0.5329,0.8765,-53.04,1.4,1.7,0.61,6.24,5.74,1.65,7.63,323.906,18.3x,20.6x,26.7x,8.4x,3.0x,30.4x,9.2x,,7.5,7,2
2018,Spin Master Corp,1.95,1.6,0.45,0.6,1.95,0.2338,0.0949,1.6328,0.155,2.08,0.337,0.663,0.5082,-174.66,2.05,1.36,0.57,7.38,6.12,1.63,5.39,338.652,9.8x,11.4x,19.7x,4.1x,1.7x,17.5x,4.3x,,9.7,5,2
2019,Spin Master Corp,1.91,1.44,0.29,0.25,1.91,0.0846,0.0407,1.2588,0.0512,0.82,0.3948,0.6052,0.6523,-21.73,5.5,3.17,0.2,4.3,4.27,1.26,4.37,203.084,20.1x,22.0x,137.8x,3.6x,2.0x,33.5x,4.1x,,8.1,3,2
2020,Spin Master Corp,1.94,1.69,0.79,0.77,1.94,0.054,0.029,1.1703,0.0339,0.57,0.372,0.628,0.5922,-2.4,14.19,4.63,0.62,8.26,5.67,1.17,4.12,137.294,30.5x,72.4x,16.5x,2.5x,1.4x,83.1x,2.9x,,8,5,2
2021,Spin Master Corp,1.99,1.75,1,0.75,1.99,0.1887,0.0972,1.176,0.1144,2.45,0.394,0.606,0.6502,-28.29,15.41,2.1,0.61,7.17,5.8,1.18,3.66,411.731,12.2x,14.2x,17.7x,3.3x,1.9x,22.5x,3.8x,,9.6,8,2
2022,Spin Master Corp,2.67,2.42,1.52,0.59,2.67,0.2103,0.1293,1.1271,0.1458,3.44,0.3068,0.6932,0.4427,-122.57,13.4,1.63,0.45,8.72,6.5,1.13,2.85,455.74,6.3x,7.0x,13.1x,1.6x,1.1x,10.3x,2.2x,0.24,11.7,7,2
