Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Uni-Select Inc.,2.15,0.69,0.00,0.23,2.15,0.0436,0.0119,1.4828,0.0177,0.5300,0.5947,0.4053,1.4673,-2.02,0.29,8.75,0.12,2.35,8.68,1.48,4.28,87.057,11.2x,15.7x,6.2x,1.1x,0.5x,36.8x,1.2x,0.13,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Uni-Select Inc.,1.79,0.57,0.00,0.29,1.79,0.0977,0.0281,1.4991,0.0421,1.3700,0.5690,0.4310,1.3203,-6.33,0.83,7.34,0.18,2.36,8.58,1.50,5.19,106.79,9.1x,12.0x,14.2x,1.1x,0.4x,11.5x,1.1x,0.3,8.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Uni-Select Inc.,1.81,0.86,0.32,0.07,1.81,-0.0920,-0.0297,1.6230,-0.0482,-1.3000,0.4768,0.5232,0.9112,16.31,0.05,4.43,0.05,3.53,12.10,1.62,5.92,124.646,11.4x,12.5x,3.0x,2.3x,0.7x,-24.7x,2.5x,0.32,9.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Uni-Select Inc.,1.54,0.60,0.06,0.38,1.54,0.1233,0.0487,1.2210,0.0594,1.8400,0.5183,0.4817,1.0760,-22.68,1.26,4.88,0.26,2.51,8.85,1.22,6.25,139.737,10.5x,11.8x,-72.1x,1.7x,0.9x,15.6x,2.0x,0.34,9.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Uni-Select Inc.,1.49,0.61,0.06,0.24,1.49,0.0861,0.0308,0.9678,0.0298,1.3300,0.6538,0.3462,1.8889,-6.76,0.75,8.57,0.13,2.15,6.67,0.97,5.69,143.513,12.2x,15.3x,84.3x,1.4x,1.0x,19.7x,1.9x,0.37,7.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Uni-Select Inc.,1.41,0.50,0.01,0.16,1.41,0.0702,0.0208,1.0744,0.0224,1.1800,0.6811,0.3189,2.1362,-3.23,0.30,9.73,0.09,2.24,7.68,1.07,7.37,155.692,7.8x,10.7x,11.0x,1.0x,0.5x,12.6x,1.1x,0.37,7.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Uni-Select Inc.,1.65,0.61,0.07,0.07,1.65,-0.0391,-0.0114,1.0966,-0.0125,-0.6100,0.6804,0.3196,2.1290,-0.41,0.10,11.25,0.03,2.30,7.54,1.10,5.40,124.582,8.8x,13.5x,61.9x,0.8x,0.5x,13.6x,0.7x,0.37,7.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Uni-Select Inc.,1.74,0.71,0.15,0.37,1.74,-0.0665,-0.0214,1.0702,-0.0229,-0.9500,0.6553,0.3447,1.9011,0.06,0.20,17.89,0.15,2.81,8.52,1.07,5.55,64.092,13.4x,31.5x,8.6x,0.8x,0.5x,-3.6x,0.6x,0.37,7.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Uni-Select Inc.,1.59,0.65,0.08,0.31,1.59,0.0018,0.0006,1.2398,0.0007,0.0260,0.6187,0.3813,1.6228,-1.07,0.50,9.93,0.14,3.26,8.87,1.24,7.48,102.519,17.5x,28.9x,11.6x,1.4x,0.8x,-67.6x,1.8x,0,7.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Uni-Select Inc.,1.45,0.53,0.06,0.42,1.45,0.1160,0.0375,1.2992,0.0488,2.0200,0.5794,0.4206,1.3775,-5.78,0.50,5.87,0.23,2.96,9.72,1.30,8.98,178.073,13.5x,16.6x,15.6x,2.0x,1.0x,23.3x,2.7x,0,8.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
